commission_profile,target_min,threshold,sl_frac,tp_frac,trades,wins,precision,trades_per_day,avg_pnl,total_pnl
current_broker,1,0.5,,,218641,30,0.00013721122753737863,100.98891454965359,-43.10220518832135,-1187293.3441175
current_broker,1,0.5,,0.0006,218641,0,0.0,100.98891454965359,-43.54913603744645,-1199604.5012875
current_broker,1,0.5,,0.001,218641,0,0.0,100.98891454965359,-43.248260985896316,-1191316.5971175
current_broker,1,0.5,0.0003,,218641,30,0.00013721122753737863,100.98891454965359,-41.8369290130146,-1152440.0465925
current_broker,1,0.5,0.0003,0.0006,218641,0,0.0,100.98891454965359,-42.2838598621397,-1164751.2037625
current_broker,1,0.5,0.0003,0.001,218641,0,0.0,100.98891454965359,-41.98298481058956,-1156463.2995925
current_broker,1,0.5,0.0005,,218641,30,0.00013721122753737863,100.98891454965359,-42.43916025711538,-1169029.1084425002
current_broker,1,0.5,0.0005,0.0006,218641,0,0.0,100.98891454965359,-42.88609110624048,-1181340.2656125003
current_broker,1,0.5,0.0005,0.001,218641,0,0.0,100.98891454965359,-42.585216054690335,-1173052.3614425
current_broker,1,0.52,,,118927,15,0.0001261277926795429,54.93163972286374,-43.07789122975146,-696741.81275
current_broker,1,0.52,,0.0006,118927,0,0.0,54.93163972286374,-43.48876602633857,-703387.30171
current_broker,1,0.52,,0.001,118927,0,0.0,54.93163972286374,-43.215985581797945,-698975.3508
current_broker,1,0.52,0.0003,,118927,15,0.0001261277926795429,54.93163972286374,-41.92644723846916,-678118.3576350001
current_broker,1,0.52,0.0003,0.0006,118927,0,0.0,54.93163972286374,-42.33732203505627,-684763.8465950001
current_broker,1,0.52,0.0003,0.001,118927,0,0.0,54.93163972286374,-42.06454159051565,-680351.8956850001
current_broker,1,0.52,0.0005,,118927,15,0.0001261277926795429,54.93163972286374,-42.502783278718944,-687440.0167500002
current_broker,1,0.52,0.0005,0.0006,118927,0,0.0,54.93163972286374,-42.91365807530606,-694085.5057100002
current_broker,1,0.52,0.0005,0.001,118927,0,0.0,54.93163972286374,-42.64087763076543,-689673.5548
current_broker,1,0.54,,,57818,8,0.0001383652149849528,26.70577367205543,-43.02301605161575,-390089.68653999997
current_broker,1,0.54,,0.0006,57818,0,0.0,26.70577367205543,-43.39797169956987,-393489.4094
current_broker,1,0.54,,0.001,57818,0,0.0,26.70577367205543,-43.14314084482188,-391178.85803999996
current_broker,1,0.54,0.0003,,57818,8,0.0001383652149849528,26.70577367205543,-41.93762783666042,-380248.471595
current_broker,1,0.54,0.0003,0.0006,57818,0,0.0,26.70577367205543,-42.31258348461454,-383648.19445500005
current_broker,1,0.54,0.0003,0.001,57818,0,0.0,26.70577367205543,-42.057752629866556,-381337.64309500006
current_broker,1,0.54,0.0005,,57818,8,0.0001383652149849528,26.70577367205543,-42.48258837432447,-385189.62879
current_broker,1,0.54,0.0005,0.0006,57818,0,0.0,26.70577367205543,-42.857544022278596,-388589.35165
current_broker,1,0.54,0.0005,0.001,57818,0,0.0,26.70577367205543,-42.6027131675306,-386278.80029
current_broker,1,0.56,,,24095,3,0.0001245071591616518,11.129330254041571,-42.88551362288134,-212540.60551499992
current_broker,1,0.56,,0.0006,24095,0,0.0,11.129330254041571,-43.20502981133978,-214124.12774499995
current_broker,1,0.56,,0.001,24095,0,0.0,11.129330254041571,-42.96962698042775,-212957.47131499992
current_broker,1,0.56,0.0003,,24095,3,0.0001245071591616518,11.129330254041571,-41.91952796307505,-207753.18058499994
current_broker,1,0.56,0.0003,0.0006,24095,0,0.0,11.129330254041571,-42.23904415153349,-209336.70281499997
current_broker,1,0.56,0.0003,0.001,24095,0,0.0,11.129330254041571,-42.00364132062146,-208170.04638499997
current_broker,1,0.56,0.0005,,24095,3,0.0001245071591616518,11.129330254041571,-42.41627817594833,-210215.07463999992
current_broker,1,0.56,0.0005,0.0006,24095,0,0.0,11.129330254041571,-42.73579436440677,-211798.59686999995
current_broker,1,0.56,0.0005,0.001,24095,0,0.0,11.129330254041571,-42.500391533494735,-210631.94043999992
current_broker,1,0.58,,,8843,0,0.0,4.084526558891455,-42.83053661150147,-115813.77099749999
