feature,importance,fold
atm_itm_spread_ce_lag3,418.6133556365967,1
atm_itm_spread_pe_lag1,261.2143621444702,1
atm_itm_spread_pe_lag2,226.37891006469727,1
atm_itm_spread_pe_lag3,272.38347148895264,1
atm_ce_oi_z60_lag1,421.00373935699463,1
atm_ce_oi_z60_lag2,274.1707835197449,1
atm_ce_oi_z60_lag3,306.8832297325134,1
atm_pe_oi_z60_lag1,187.68597984313965,1
atm_pe_oi_z60_lag2,255.4063220024109,1
atm_pe_oi_z60_lag3,276.18924140930176,1
itm_ce_oi_z60_lag1,327.75181007385254,1
itm_ce_oi_z60_lag2,231.67659950256348,1
itm_ce_oi_z60_lag3,414.7414231300354,1
itm_pe_oi_z60_lag1,399.1211910247803,1
itm_pe_oi_z60_lag2,467.43112993240356,1
itm_pe_oi_z60_lag3,342.75406789779663,1
nifty_ret_1,2637.573122024536,2
nifty_ret_3,2255.5343701839447,2
ce_ret_1,1108.0566074848175,2
pe_ret_1,1245.2858653068542,2
itm_ce_ret_1,1027.4895777702332,2
itm_pe_ret_1,1496.3879783153534,2
ce_pe_ratio,1296.4229969978333,2
ce_minus_pe,1305.5935456752777,2
atm_itm_spread_ce,1163.6877572536469,2
atm_itm_spread_pe,1340.3515181541443,2
atm_ce_oi_z60,1396.9732475280762,2
atm_pe_oi_z60,1013.5032000541687,2
itm_ce_oi_z60,1389.1849389076233,2
itm_pe_oi_z60,1157.0461387634277,2
oi_ce_change_1,960.9272179603577,2
oi_pe_change_1,895.0955896377563,2
nifty_vol_5,1959.8803069591522,2
nifty_vol_15,1612.6969954967499,2
atr_5,1507.7241778373718,2
vol_regime,2236.6766200065613,2
minute_of_day,4184.174010753632,2
sin_md,1612.6711707115173,2
cos_md,1541.823789358139,2
atm_shift,0.0,2
mom_delta,998.7726101875305,2
mom_3_sum,2090.581132411957,2
atm_itm_ce_ratio,944.3917608261108,2
atm_itm_pe_ratio,936.3705320358276,2
above_breakout_15,0.0,2
below_breakout_15,0.0,2
nifty_ret_1_lag1,2581.204001426697,2
nifty_ret_1_lag2,1998.83846616745,2
nifty_ret_1_lag3,1844.0761787891388,2
nifty_ret_3_lag1,3212.758900165558,2
nifty_ret_3_lag2,2246.955752849579,2
nifty_ret_3_lag3,2631.7433683872223,2
ce_ret_1_lag1,1001.9357466697693,2
ce_ret_1_lag2,1291.6326189041138,2
ce_ret_1_lag3,1203.3505914211273,2
pe_ret_1_lag1,1289.933040857315,2
pe_ret_1_lag2,1116.0607514381409,2
pe_ret_1_lag3,1195.496327638626,2
itm_ce_ret_1_lag1,988.2023406028748,2
itm_ce_ret_1_lag2,1144.762324810028,2
itm_ce_ret_1_lag3,1054.963320016861,2
itm_pe_ret_1_lag1,1185.4074277877808,2
itm_pe_ret_1_lag2,923.4601283073425,2
itm_pe_ret_1_lag3,1059.527368068695,2
ce_pe_ratio_lag1,665.2723274230957,2
ce_pe_ratio_lag2,749.5374886989594,2
ce_pe_ratio_lag3,1029.636753320694,2
ce_minus_pe_lag1,941.5260901451111,2
ce_minus_pe_lag2,772.5026478767395,2
ce_minus_pe_lag3,1212.4039101600647,2
atm_itm_spread_ce_lag1,1206.916958808899,2
atm_itm_spread_ce_lag2,1298.8258576393127,2
atm_itm_spread_ce_lag3,1249.1108026504517,2
atm_itm_spread_pe_lag1,1186.8542313575745,2
atm_itm_spread_pe_lag2,1011.1379241943359,2
atm_itm_spread_pe_lag3,1283.2339646816254,2
atm_ce_oi_z60_lag1,1216.0545675754547,2
atm_ce_oi_z60_lag2,1199.8431844711304,2
atm_ce_oi_z60_lag3,1330.3341448307037,2
atm_pe_oi_z60_lag1,1063.2385568618774,2
atm_pe_oi_z60_lag2,1034.6797170639038,2
atm_pe_oi_z60_lag3,1193.7646698951721,2
itm_ce_oi_z60_lag1,967.2154297828674,2
itm_ce_oi_z60_lag2,1083.1806406974792,2
itm_ce_oi_z60_lag3,1247.1886594295502,2
itm_pe_oi_z60_lag1,1001.2702703475952,2
itm_pe_oi_z60_lag2,1313.0707893371582,2
itm_pe_oi_z60_lag3,1489.1419048309326,2
nifty_ret_1,1491.6309695243835,3
nifty_ret_3,1463.1109628677368,3
ce_ret_1,714.6184115409851,3
pe_ret_1,533.126145362854,3
itm_ce_ret_1,681.8247714042664,3
itm_pe_ret_1,765.57270860672,3
ce_pe_ratio,429.99704122543335,3
ce_minus_pe,411.6903109550476,3
atm_itm_spread_ce,635.7193036079407,3
atm_itm_spread_pe,324.85923862457275,3
atm_ce_oi_z60,557.9044713973999,3
atm_pe_oi_z60,329.6560707092285,3
itm_ce_oi_z60,563.5302195549011,3
itm_pe_oi_z60,432.60405254364014,3
oi_ce_change_1,657.3303165435791,3
oi_pe_change_1,544.0675268173218,3
nifty_vol_5,974.8689470291138,3
nifty_vol_15,960.6448521614075,3
atr_5,957.1654744148254,3
vol_regime,1075.557294368744,3
minute_of_day,2979.5290932655334,3
sin_md,652.2794284820557,3
cos_md,510.93026065826416,3
atm_shift,9.860369682312012,3
mom_delta,385.3605179786682,3
mom_3_sum,1015.2816619873047,3
atm_itm_ce_ratio,454.17049980163574,3
atm_itm_pe_ratio,530.6227478981018,3
above_breakout_15,0.0,3
below_breakout_15,0.0,3
nifty_ret_1_lag1,1322.1937251091003,3
nifty_ret_1_lag2,623.5271196365356,3
nifty_ret_1_lag3,720.3895106315613,3
nifty_ret_3_lag1,2259.3094725608826,3
nifty_ret_3_lag2,1326.435091972351,3
nifty_ret_3_lag3,1482.5252084732056,3
ce_ret_1_lag1,353.3203992843628,3
ce_ret_1_lag2,477.554160118103,3
ce_ret_1_lag3,232.3351926803589,3
pe_ret_1_lag1,387.94353771209717,3
pe_ret_1_lag2,335.3544521331787,3
pe_ret_1_lag3,329.2190179824829,3
itm_ce_ret_1_lag1,320.76278734207153,3
itm_ce_ret_1_lag2,424.35541248321533,3
itm_ce_ret_1_lag3,430.53257942199707,3
itm_pe_ret_1_lag1,474.03821086883545,3
itm_pe_ret_1_lag2,412.2450008392334,3
itm_pe_ret_1_lag3,380.076030254364,3
ce_pe_ratio_lag1,305.15057134628296,3
ce_pe_ratio_lag2,324.08908796310425,3
ce_pe_ratio_lag3,468.71980714797974,3
ce_minus_pe_lag1,433.52682161331177,3
ce_minus_pe_lag2,281.4683885574341,3
ce_minus_pe_lag3,278.2477493286133,3
atm_itm_spread_ce_lag1,462.47027111053467,3
atm_itm_spread_ce_lag2,399.3057804107666,3
atm_itm_spread_ce_lag3,521.2816491127014,3
atm_itm_spread_pe_lag1,402.5001401901245,3
atm_itm_spread_pe_lag2,350.3330020904541,3
atm_itm_spread_pe_lag3,444.9978723526001,3
atm_ce_oi_z60_lag1,607.0571217536926,3
atm_ce_oi_z60_lag2,262.12301874160767,3
atm_ce_oi_z60_lag3,515.4706792831421,3
atm_pe_oi_z60_lag1,527.1737780570984,3
atm_pe_oi_z60_lag2,389.14156007766724,3
atm_pe_oi_z60_lag3,414.424711227417,3
itm_ce_oi_z60_lag1,331.4797191619873,3
itm_ce_oi_z60_lag2,455.46977615356445,3
itm_ce_oi_z60_lag3,478.51854181289673,3
itm_pe_oi_z60_lag1,443.3135623931885,3
itm_pe_oi_z60_lag2,556.1703681945801,3
itm_pe_oi_z60_lag3,439.5767993927002,3
nifty_ret_1,1009.5770177841187,4
nifty_ret_3,1222.2245659828186,4
ce_ret_1,594.2847986221313,4
pe_ret_1,363.93879222869873,4
itm_ce_ret_1,613.5793294906616,4
itm_pe_ret_1,539.6966791152954,4
ce_pe_ratio,374.685827255249,4
ce_minus_pe,220.15182209014893,4
atm_itm_spread_ce,266.29622077941895,4
atm_itm_spread_pe,201.0446605682373,4
atm_ce_oi_z60,554.2187633514404,4
atm_pe_oi_z60,221.1623191833496,4
itm_ce_oi_z60,260.1111583709717,4
itm_pe_oi_z60,251.73609828948975,4
oi_ce_change_1,505.6890172958374,4
oi_pe_change_1,444.06299209594727,4
nifty_vol_5,698.1217861175537,4
nifty_vol_15,592.2501850128174,4
atr_5,771.9232788085938,4
vol_regime,736.2126111984253,4
minute_of_day,2702.736472129822,4
sin_md,396.51071071624756,4
cos_md,540.2643480300903,4
atm_shift,0.0,4
mom_delta,277.7343397140503,4
mom_3_sum,536.619930267334,4
atm_itm_ce_ratio,235.66241073608398,4
atm_itm_pe_ratio,161.63962936401367,4
above_breakout_15,0.0,4
below_breakout_15,0.0,4
nifty_ret_1_lag1,1073.7764921188354,4
nifty_ret_1_lag2,339.82480907440186,4
nifty_ret_1_lag3,489.1194200515747,4
nifty_ret_3_lag1,1974.8516426086426,4
nifty_ret_3_lag2,783.9319219589233,4
nifty_ret_3_lag3,1152.4622082710266,4
ce_ret_1_lag1,248.61354064941406,4
ce_ret_1_lag2,233.05998039245605,4
ce_ret_1_lag3,202.8100299835205,4
pe_ret_1_lag1,197.66645908355713,4
pe_ret_1_lag2,159.0166482925415,4
pe_ret_1_lag3,187.97360038757324,4
itm_ce_ret_1_lag1,246.9477767944336,4
itm_ce_ret_1_lag2,304.3922996520996,4
itm_ce_ret_1_lag3,368.667028427124,4
itm_pe_ret_1_lag1,240.18753814697266,4
itm_pe_ret_1_lag2,253.34751319885254,4
itm_pe_ret_1_lag3,215.1090316772461,4
ce_pe_ratio_lag1,168.14230012893677,4
ce_pe_ratio_lag2,204.51812934875488,4
ce_pe_ratio_lag3,192.01257133483887,4
ce_minus_pe_lag1,185.23178100585938,4
ce_minus_pe_lag2,179.62625980377197,4
ce_minus_pe_lag3,127.66068077087402,4
atm_itm_spread_ce_lag1,239.90637016296387,4
atm_itm_spread_ce_lag2,268.93237018585205,4
atm_itm_spread_ce_lag3,239.6263828277588,4
atm_itm_spread_pe_lag1,303.39550971984863,4
atm_itm_spread_pe_lag2,252.20319938659668,4
atm_itm_spread_pe_lag3,211.5071792602539,4
atm_ce_oi_z60_lag1,264.33850860595703,4
atm_ce_oi_z60_lag2,331.56633853912354,4
atm_ce_oi_z60_lag3,259.09408950805664,4
atm_pe_oi_z60_lag1,265.2964792251587,4
atm_pe_oi_z60_lag2,114.69140911102295,4
atm_pe_oi_z60_lag3,244.8975009918213,4
itm_ce_oi_z60_lag1,201.41145038604736,4
itm_ce_oi_z60_lag2,212.4363989830017,4
itm_ce_oi_z60_lag3,254.07383966445923,4
itm_pe_oi_z60_lag1,332.1863431930542,4
itm_pe_oi_z60_lag2,430.9961109161377,4
itm_pe_oi_z60_lag3,229.5375213623047,4
nifty_ret_1,1356.8475561141968,5
nifty_ret_3,1283.1701736450195,5
ce_ret_1,578.6121182441711,5
pe_ret_1,506.28529834747314,5
itm_ce_ret_1,599.7251205444336,5
itm_pe_ret_1,818.4574785232544,5
ce_pe_ratio,509.7572498321533,5
ce_minus_pe,407.8722610473633,5
atm_itm_spread_ce,324.6672501564026,5
atm_itm_spread_pe,253.15374851226807,5
atm_ce_oi_z60,625.6771893501282,5
atm_pe_oi_z60,295.4160900115967,5
itm_ce_oi_z60,452.7828621864319,5
itm_pe_oi_z60,409.35705184936523,5
oi_ce_change_1,643.6257576942444,5
oi_pe_change_1,455.13982248306274,5
nifty_vol_5,1038.5393085479736,5
nifty_vol_15,795.6312828063965,5
atr_5,744.5223994255066,5
vol_regime,708.4592018127441,5
minute_of_day,2956.4547457695007,5
sin_md,518.8826093673706,5
cos_md,699.8154292106628,5
atm_shift,0.0,5
mom_delta,298.9792785644531,5
mom_3_sum,873.8835926055908,5
atm_itm_ce_ratio,328.1957702636719,5
atm_itm_pe_ratio,409.5518789291382,5
above_breakout_15,0.0,5
below_breakout_15,0.0,5
nifty_ret_1_lag1,1230.4172439575195,5
nifty_ret_1_lag2,501.311270236969,5
nifty_ret_1_lag3,634.9263100624084,5
nifty_ret_3_lag1,1666.7332615852356,5
nifty_ret_3_lag2,843.6538310050964,5
nifty_ret_3_lag3,1228.7718510627747,5
ce_ret_1_lag1,447.86611795425415,5
ce_ret_1_lag2,351.5910978317261,5
ce_ret_1_lag3,354.7545704841614,5
pe_ret_1_lag1,251.66385126113892,5
pe_ret_1_lag2,423.56841802597046,5
pe_ret_1_lag3,239.44128894805908,5
itm_ce_ret_1_lag1,269.02178955078125,5
itm_ce_ret_1_lag2,266.86908769607544,5
itm_ce_ret_1_lag3,322.14471912384033,5
itm_pe_ret_1_lag1,381.2378692626953,5
itm_pe_ret_1_lag2,261.6213798522949,5
itm_pe_ret_1_lag3,387.78720140457153,5
ce_pe_ratio_lag1,299.6269292831421,5
ce_pe_ratio_lag2,171.11031007766724,5
ce_pe_ratio_lag3,217.44443941116333,5
ce_minus_pe_lag1,418.3744230270386,5
ce_minus_pe_lag2,240.06810998916626,5
ce_minus_pe_lag3,216.82103204727173,5
atm_itm_spread_ce_lag1,254.85264778137207,5
atm_itm_spread_ce_lag2,442.45580196380615,5
atm_itm_spread_ce_lag3,240.12890148162842,5
atm_itm_spread_pe_lag1,302.3588891029358,5
atm_itm_spread_pe_lag2,293.43561840057373,5
atm_itm_spread_pe_lag3,257.83342838287354,5
atm_ce_oi_z60_lag1,478.4039807319641,5
atm_ce_oi_z60_lag2,434.50939893722534,5
atm_ce_oi_z60_lag3,530.4852991104126,5
atm_pe_oi_z60_lag1,359.6040720939636,5
atm_pe_oi_z60_lag2,295.18079137802124,5
atm_pe_oi_z60_lag3,275.2686791419983,5
itm_ce_oi_z60_lag1,357.5862898826599,5
itm_ce_oi_z60_lag2,213.0129590034485,5
itm_ce_oi_z60_lag3,339.744580745697,5
itm_pe_oi_z60_lag1,429.7339391708374,5
itm_pe_oi_z60_lag2,426.03782749176025,5
itm_pe_oi_z60_lag3,475.3433418273926,5
nifty_ret_1,1430.7863717079163,6
nifty_ret_3,1363.5624132156372,6
ce_ret_1,646.9122700691223,6
pe_ret_1,582.5540084838867,6
itm_ce_ret_1,655.0172815322876,6
itm_pe_ret_1,902.2129092216492,6
ce_pe_ratio,471.6542091369629,6
ce_minus_pe,410.79905700683594,6
atm_itm_spread_ce,515.5224523544312,6
atm_itm_spread_pe,321.18874883651733,6
atm_ce_oi_z60,591.5693397521973,6
atm_pe_oi_z60,292.49854040145874,6
itm_ce_oi_z60,396.65137910842896,6
