fold_id,auc,accuracy,precision,recall
0,0.5431158289415865,0.5325230399358889,0.5343383584589615,0.5109450080085425
1,0.5365595178175324,0.5272701714928311,0.5304964539007092,0.5226383454443824
2,0.5316823505995624,0.5209154481881755,0.5189003436426117,0.5390107088220296
3,0.5352986342056828,0.5300730747611018,0.5288353863381859,0.532112676056338
4,0.5299589043672339,0.5130771283693621,0.5232042565770026,0.46505517603783497
5,0.5340234054665346,0.5251728739536576,0.5259533898305084,0.4832116788321168
6,0.5436031234740584,0.534316217590239,0.5317687464224384,0.4781266083376222
7,0.5409801786936465,0.5283426537874937,0.5351708297444732,0.4711830131445905
8,0.5369605158360744,0.5287312484108823,0.5302829939169532,0.509400406504065
9,0.5334353968237647,0.5215068127170719,0.5125,0.5024509803921569
10,0.5458268478265161,0.5291555430658985,0.5295339863460967,0.5025352112676056
11,0.5521040640947285,0.5420875420875421,0.5409877800407332,0.49812470698546646
12,0.5352024109828272,0.5253739316239316,0.5309114085404716,0.4445037353255069
13,0.5273928328908377,0.5221628838451269,0.519492025989368,0.473996227431959
14,0.5369818344878817,0.5278334000800962,0.5224959828602035,0.5265856950067477
15,0.5375694546593341,0.5293869516310461,0.5304402123009678,0.47967250141163187
16,0.518397135270197,0.5109897090585694,0.5048543689320388,0.5348418616610954
17,0.5442900771620733,0.533640441265608,0.5217282089927154,0.5166666666666667
18,0.5606056152694814,0.5436523065192528,0.5444674250258531,0.5351969504447268
19,0.5530332390974015,0.5435014678409394,0.5568693693693694,0.517124183006536
20,0.5430979453755552,0.5301964588891583,0.5330341560708053,0.5165498912780865
21,0.5473756336751152,0.5383246849518162,0.5418040155828588,0.5328617742410846
22,0.5564568223238635,0.5437214031520081,0.5505711897464475,0.49987351378699724
23,0.5476610816480237,0.532880368842514,0.5252322370072809,0.5164156998272031
24,0.5402823493773629,0.5304955527318933,0.5120685180378926,0.5208553326293559
25,0.5316572677957839,0.5223422702414299,0.5160122528543581,0.5013528138528138
26,0.550467733706857,0.5366412213740458,0.5266457680250783,0.5241809672386896
27,0.5472576715844629,0.5356693903205532,0.544243577545195,0.5306122448979592
28,0.5604796991137541,0.5435810401260759,0.5446428571428571,0.5592279855247286
29,0.5585787955033952,0.542624825308093,0.5423813074819787,0.553666582085765
30,0.5697959346596142,0.5547510162601627,0.5694407981097401,0.5376797223599405
31,0.5601599960993755,0.5437469704314105,0.5426797723745473,0.5123321123321123
32,0.563305190737542,0.5419389251900253,0.5497277156778446,0.5071390798519302
33,0.5758434240739145,0.5576589788028263,0.5539118065433855,0.526643224235867
34,0.5782862881527124,0.5530666666666667,0.5624496373892023,0.5485983756877129
35,0.5677687052255238,0.5457455321419045,0.5591608391608391,0.5220684251762863
36,0.5509108195528472,0.5326682078111692,0.5330862890418211,0.4923001711073087
37,0.5388794949872908,0.5276190476190477,0.5353379593934721,0.5214017521902378
38,0.565332381616934,0.5479614529280948,0.5574954846478025,0.5397843194403964
39,0.5504650723703195,0.5343654077138663,0.5379109225874867,0.5374834437086092
40,0.547175808162367,0.5323174603174603,0.5268866835910455,0.5829928498467825
41,0.5421204649313648,0.5331836677423881,0.5392836510687464,0.5187552097804946
42,0.5399143670066957,0.5291338582677165,0.5374608528065526,0.5314435445450214
43,0.5524066583375065,0.5403277022735933,0.5372986369268897,0.5530612244897959
44,0.5567605217323155,0.5371921807565372,0.5376175548589341,0.5231316725978647
45,0.554866596167464,0.5352556336321783,0.5186960690316395,0.5420841683366734
46,0.5274682884655768,0.5242186342764035,0.5164666051092643,0.5055739680626695
47,0.5461567310621904,0.5340865811857306,0.5164294954721863,0.5256781669739268
48,0.5450627135171345,0.5381046282333836,0.5312426314548455,0.5304921120791146
49,0.5375268319164088,0.526336844912655,0.5184985147177964,0.5204662510165357
50,0.537468712467577,0.5254070746771476,0.5378675378675378,0.49807480748074806
51,0.5524589033185962,0.5369174620999438,0.5464628297362111,0.5051260737046274
52,0.5366567035672581,0.5275060348113327,0.5163057657187582,0.5148283038501561
53,0.5492479975066149,0.5379319138084917,0.545927660681759,0.5275333165702791
54,0.5507416762959181,0.5350023180343069,0.5275974025974026,0.5352941176470588
55,0.5408843577566187,0.5282264039116906,0.5247755237778516,0.4734473447344735
56,0.5576849802234477,0.5383392928088995,0.5495728708257831,0.5487205996381493
57,0.5574896133129759,0.5439584877687176,0.5529279279279279,0.5689455388180765
58,0.5566925442745143,0.541678360931799,0.5427852348993288,0.5433930571108623
