Entry_Time,Exit_Time,Symbol,Type,Entry_Price,Exit_Price,Max_Price_Reached,Final_SL,PnL,Balance,Exit_Reason
2025-12-17 13:00:00,2025-12-17 13:35:00,NSE-NIFTY-23Dec25-25800-CE,CE,130.3,135.3,145.75,135.3,375.0,10375.0,SL Hit
2025-12-18 11:15:00,2025-12-18 11:22:00,NSE-NIFTY-23Dec25-25850-PE,PE,97.95,87.95,101.75,87.95,-750.0,9625.0,SL Hit
2025-12-18 12:15:00,2025-12-18 13:00:00,NSE-NIFTY-23Dec25-25900-PE,PE,95.35,95.7,99.05,85.35,26.25000000000064,9651.25,Time Stop (45m)
2025-12-18 14:30:00,2025-12-18 14:34:00,NSE-NIFTY-23Dec25-25800-CE,CE,115.1,120.1,125.55,120.1,375.0,10026.25,SL Hit
2025-12-18 14:40:00,2025-12-18 15:20:00,NSE-NIFTY-23Dec25-25800-CE,CE,112.75,120.65,126.15,117.75,592.5000000000005,10618.75,EOD Force
2025-12-19 12:00:00,2025-12-19 12:12:00,NSE-NIFTY-23Dec25-25900-CE,CE,104.9,109.9,115.95,109.9,375.0,10993.75,SL Hit
2025-12-19 14:25:00,2025-12-19 15:10:00,NSE-NIFTY-23Dec25-26000-PE,PE,86.1,85.55,95.85,76.1,-41.24999999999979,10952.5,Time Stop (45m)
