Time_Entry,Time_Exit,Strike,Spot_Entry,Entry_Px,Exit_Px,PnL,Balance,Reason
2025-12-15 10:30:00,2025-12-15T10:37:00,NSE-NIFTY-16Dec25-26000-CE,25975.35,57.95,49.05,-667.5000000000005,9332.5,SL Hit
2025-12-15 10:45:00,2025-12-15T11:20:00,NSE-NIFTY-16Dec25-26000-CE,25989.6,52.9,53.6,52.50000000000021,9385.0,SL Hit
2025-12-15 10:50:00,2025-12-15T11:20:00,NSE-NIFTY-16Dec25-26000-CE,25992.35,62.0,53.6,-629.9999999999999,8755.0,SL Hit
2025-12-15 11:00:00,2025-12-15T11:20:00,NSE-NIFTY-16Dec25-26000-CE,25987.85,61.65,53.6,-603.7499999999998,8151.25,SL Hit
2025-12-15 11:45:00,2025-12-15T12:27:00,NSE-NIFTY-16Dec25-26000-CE,25995.85,50.3,76.3,1950.0,10101.25,SL Hit
2025-12-15 11:55:00,2025-12-15T12:40:00,NSE-NIFTY-16Dec25-26000-CE,26016.1,75.5,79.8,322.4999999999998,10423.75,Time Exit
2025-12-15 12:00:00,2025-12-15T12:42:00,NSE-NIFTY-16Dec25-26000-CE,26013.05,79.75,71.35,-630.0000000000005,9793.75,SL Hit
2025-12-15 12:15:00,2025-12-15T12:42:00,NSE-NIFTY-16Dec25-26000-CE,26014.7,81.8,71.35,-783.7500000000002,9010.0,SL Hit
2025-12-15 12:30:00,2025-12-15T13:15:00,NSE-NIFTY-16Dec25-26050-CE,26025.6,54.0,58.25,318.75,9328.75,Time Exit
2025-12-15 12:55:00,2025-12-15T13:27:00,NSE-NIFTY-16Dec25-26000-CE,26016.0,75.8,76.25,33.75000000000021,9362.5,SL Hit
2025-12-15 13:00:00,2025-12-15T13:26:00,NSE-NIFTY-16Dec25-26000-CE,26024.8,76.45,78.1,123.74999999999936,9486.25,SL Hit
2025-12-15 13:15:00,2025-12-15T13:26:00,NSE-NIFTY-16Dec25-26050-CE,26031.9,60.35,52.15,-615.0000000000002,8871.25,SL Hit
2025-12-15 13:45:00,2025-12-15T14:09:00,NSE-NIFTY-16Dec25-26050-CE,26032.9,50.2,42.15,-603.7500000000003,8267.5,SL Hit
2025-12-15 14:00:00,2025-12-15T14:45:00,NSE-NIFTY-16Dec25-26050-CE,26032.15,47.8,54.65,513.7500000000001,8781.25,Time Exit
2025-12-16 13:45:00,2025-12-16T13:57:00,NSE-NIFTY-16Dec25-25900-CE,25923.7,32.3,34.0,127.50000000000021,8908.75,SL Hit
2025-12-17 09:20:00,2025-12-17T09:29:00,NSE-NIFTY-23Dec25-25900-CE,25919.7,133.9,146.45,941.2499999999987,9849.999999999998,SL Hit
2025-12-17 09:30:00,2025-12-17T09:43:00,NSE-NIFTY-23Dec25-25950-CE,25921.95,119.65,110.05,-720.0000000000007,9129.999999999998,SL Hit
2025-12-17 09:35:00,2025-12-17T09:42:00,NSE-NIFTY-23Dec25-25950-CE,25914.7,127.1,118.0,-682.4999999999995,8447.499999999998,SL Hit
2025-12-18 11:50:00,2025-12-18T12:35:00,NSE-NIFTY-23Dec25-25850-CE,25870.0,125.2,141.35,1211.2499999999993,9658.749999999998,Time Exit
2025-12-18 12:00:00,2025-12-18T12:45:00,NSE-NIFTY-23Dec25-25850-CE,25864.2,134.25,147.1,963.7499999999995,10622.499999999998,Time Exit
2025-12-18 12:05:00,2025-12-18T12:50:00,NSE-NIFTY-23Dec25-25850-CE,25873.5,134.05,138.8,356.25,10978.749999999998,Time Exit
2025-12-18 12:30:00,2025-12-18T12:57:00,NSE-NIFTY-23Dec25-25900-CE,25887.5,111.35,103.3,-603.7499999999998,10374.999999999998,SL Hit
2025-12-18 12:40:00,2025-12-18T12:53:00,NSE-NIFTY-23Dec25-25900-CE,25893.85,114.95,106.9,-603.7499999999998,9771.249999999998,SL Hit
2025-12-18 12:45:00,2025-12-18T12:53:00,NSE-NIFTY-23Dec25-25900-CE,25889.45,116.8,106.9,-742.4999999999993,9028.749999999998,SL Hit
2025-12-18 13:00:00,2025-12-18T13:32:00,NSE-NIFTY-23Dec25-25900-CE,25885.05,105.8,95.0,-809.9999999999998,8218.749999999998,SL Hit
