Date,Time,Type,Strike,Nifty_Ref,Buy_Price,Sell_Price,Gross_PnL,Net_PnL,Balance,Reason
2025-12-01,11:45,PE,NSE-NIFTY-02Dec25-26200-PE,26212.4,63.3,76.65,1001.25,951.25,10951.25,SL/TRAIL
2025-12-01,12:35,PE,NSE-NIFTY-02Dec25-26150-PE,26162.8,61.45,57.45,-300.0,-350.0,10601.25,SL/TRAIL
2025-12-01,13:20,CE,NSE-NIFTY-02Dec25-26200-CE,26195.2,72.75,68.75,-300.0,-350.0,10251.25,SL/TRAIL
2025-12-01,13:25,PE,NSE-NIFTY-02Dec25-26200-PE,26176.2,80.85,76.85,-300.0,-350.0,9901.25,SL/TRAIL
2025-12-01,13:45,CE,NSE-NIFTY-02Dec25-26200-CE,26192.8,70.4,66.4,-300.0,-350.0,9551.25,SL/TRAIL
2025-12-02,11:00,CE,NSE-NIFTY-02Dec25-26100-CE,26098.4,47.45,43.45,-300.0,-350.0,9201.25,SL/TRAIL
2025-12-02,11:20,PE,NSE-NIFTY-02Dec25-26100-PE,26081.1,47.85,48.45,45.0,-5.0,9196.25,SL/TRAIL
2025-12-02,12:35,CE,NSE-NIFTY-02Dec25-26050-CE,26073.8,57.4,60.7,247.5,197.5,9393.75,SL/TRAIL
2025-12-02,12:50,PE,NSE-NIFTY-02Dec25-26050-PE,26050.2,29.8,25.8,-300.0,-350.0,9043.75,SL/TRAIL
2025-12-02,13:15,PE,NSE-NIFTY-02Dec25-26050-PE,26035.4,32.95,28.95,-300.0,-350.0,8693.75,SL/TRAIL
2025-12-03,10:40,PE,NSE-NIFTY-09Dec25-25900-PE,25913.0,108.85,110.75,142.5,92.5,8786.25,SL/TRAIL
2025-12-03,11:10,PE,NSE-NIFTY-09Dec25-25900-PE,25913.4,107.1,103.1,-300.0,-350.0,8436.25,SL/TRAIL
2025-12-03,11:20,PE,NSE-NIFTY-09Dec25-25900-PE,25912.0,107.35,110.55,240.0,190.0,8626.25,SL/TRAIL
2025-12-03,11:40,CE,NSE-NIFTY-09Dec25-26050-CE,25943.6,100.15,96.15,-300.0,-350.0,8276.25,SL/TRAIL
2025-12-03,12:05,CE,NSE-NIFTY-09Dec25-26050-CE,25946.0,99.9,95.9,-300.0,-350.0,7926.25,SL/TRAIL
2025-12-04,11:40,PE,NSE-NIFTY-09Dec25-26050-PE,26035.0,104.5,105.6,82.5,32.5,7958.75,SL/TRAIL
2025-12-04,13:35,PE,NSE-NIFTY-09Dec25-26000-PE,26003.1,95.25,101.45,465.0,415.0,8373.75,SL/TRAIL
2025-12-04,14:20,CE,NSE-NIFTY-09Dec25-26050-CE,26001.1,95.65,97.8,161.25,111.25,8485.0,SL/TRAIL
2025-12-04,14:55,CE,NSE-NIFTY-09Dec25-26050-CE,26025.8,109.3,115.45,461.25,411.25,8896.25,SL/TRAIL
2025-12-05,12:05,CE,NSE-NIFTY-09Dec25-26150-CE,26139.4,95.2,94.55,-48.75,-98.75,8797.5,SL/TRAIL
2025-12-05,12:20,CE,NSE-NIFTY-09Dec25-26150-CE,26142.2,97.85,104.75,517.5,467.5,9265.0,SL/TRAIL
2025-12-05,14:00,PE,NSE-NIFTY-09Dec25-26150-PE,26164.2,66.6,62.6,-300.0,-350.0,8915.0,SL/TRAIL
