Timestamp,Spot,RSI,ATM,PCR,CE_LTP,PE_LTP,CE_OI,PE_OI,CE_Delta,PE_Delta,Status,Trade_PnL,Reason
14:10:46,26130.0,40,26150,1.49,45.8,62.6,228204,238859,0.4518,-0.5482,SCAN,0,Waiting
14:10:50,26130.9,40,26150,1.49,45.8,62.7,228204,238859,0.4518,-0.5482,SCAN,0,Waiting
14:10:59,26129.95,40,26150,1.49,45.9,62.65,228204,238859,0.4516,-0.5484,SCAN,0,Waiting
14:11:02,26130.85,40,26150,1.49,45.9,62.45,228204,238859,0.4516,-0.5484,SCAN,0,Waiting
14:11:06,26130.1,40,26150,1.49,45.75,62.7,228204,238859,0.4521,-0.5479,SCAN,0,Waiting
14:11:09,26130.65,40,26150,1.49,46.25,62,228204,238859,0.4521,-0.5479,SCAN,0,Waiting
14:11:13,26133.3,42,26150,1.49,46.55,61.35,228204,238859,0.4521,-0.5479,SCAN,0,Waiting
14:11:17,26133.75,43,26150,1.49,46.5,61.55,228204,238859,0.4513,-0.5487,SCAN,0,Waiting
14:11:20,26133.6,42,26150,1.49,46.8,60.95,228204,238859,0.4513,-0.5487,SCAN,0,Waiting
14:11:24,26130.95,40,26150,1.48,46.65,61.15,228204,238859,0.4513,-0.5487,SCAN,0,Waiting
14:11:29,26130.0,40,26150,1.48,46.5,61.4,228496,239208,0.457,-0.543,SCAN,0,Waiting
14:11:32,26130.65,40,26150,1.48,46.7,61.2,228496,239208,0.457,-0.543,SCAN,0,Waiting
14:11:36,26131.0,40,26150,1.48,47.1,60.6,228496,239208,0.4595,-0.5405,SCAN,0,Waiting
14:11:38,26130.9,40,26150,1.48,47,60.85,228496,239208,0.4595,-0.5405,SCAN,0,Waiting
14:11:43,26129.9,40,26150,1.48,46.35,61.8,228496,239208,0.4605,-0.5395,SCAN,0,Waiting
14:11:48,26128.6,39,26150,1.48,46.1,62.15,228496,239208,0.4605,-0.5395,SCAN,0,Waiting
14:11:51,26129.9,40,26150,1.48,46,62.2,228496,239208,0.4605,-0.5395,SCAN,0,Waiting
14:11:55,26127.45,38,26150,1.48,46,62.25,228496,239208,0.4605,-0.5395,SCAN,0,Waiting
