Timestamp,Fut_Price,VWAP,Vol,Avg_Vol,Trend,Strike,Opt_Symbol,Opt_LTP,Current_OI,3min_OI_Drop%,Spread,Signal,PnL,Balance
14:21:49,26028.0,26019.18,7500,6213,BULLISH,26050,NIFTY25D2326050CE,47.15,100409.0,0.0,0.0,WAIT,0.0,10000.0
14:21:52,26028.0,26019.18,7500,6213,BULLISH,26050,NIFTY25D2326050CE,46.55,100409.0,0.0,0.0,WAIT,0.0,10000.0
14:21:55,26028.0,26019.18,7500,6213,BULLISH,26050,NIFTY25D2326050CE,46.05,100409.0,0.0,0.0,WAIT,0.0,10000.0
14:21:58,26028.0,26019.18,7500,6213,BULLISH,26050,NIFTY25D2326050CE,46.25,100409.0,0.0,0.0,WAIT,0.0,10000.0
14:22:01,26028.0,26019.18,7500,6213,BULLISH,26050,NIFTY25D2326050CE,46.05,100409.0,0.0,0.0,WAIT,0.0,10000.0
14:22:04,26026.2,26019.16,750,6000,BULLISH,26050,NIFTY25D2326050CE,46.05,100409.0,0.0,0.0,WAIT,0.0,10000.0
14:22:07,26022.5,26019.15,750,6000,BULLISH,26000,NIFTY25D2326000CE,66.9,283080.0,0.0,0.0,WAIT,0.0,10000.0
14:22:10,26019.8,26019.15,900,6007,BULLISH,26000,NIFTY25D2326000CE,66.95,283080.0,0.0,0.0,WAIT,0.0,10000.0
14:22:13,26019.8,26019.15,900,6007,BULLISH,26000,NIFTY25D2326000CE,67.15,283080.0,0.0,0.0,WAIT,0.0,10000.0
14:22:16,26025.0,26019.16,975,6011,BULLISH,26000,NIFTY25D2326000CE,67.35,283080.0,0.0,0.0,WAIT,0.0,10000.0
14:22:19,26025.0,26019.16,975,6011,BULLISH,26000,NIFTY25D2326000CE,67.8,283080.0,0.0,0.0,WAIT,0.0,10000.0
14:22:22,26027.0,26019.16,1125,6018,BULLISH,26050,NIFTY25D2326050CE,46.3,100409.0,0.0,0.0,WAIT,0.0,10000.0
14:22:25,26027.0,26019.16,1125,6018,BULLISH,26050,NIFTY25D2326050CE,46.5,100409.0,0.0,0.0,WAIT,0.0,10000.0
14:22:28,26021.1,26019.17,1875,6056,BULLISH,26000,NIFTY25D2326000CE,67.5,283080.0,0.0,0.0,WAIT,0.0,10000.0
14:22:31,26021.1,26019.17,1950,6060,BULLISH,26000,NIFTY25D2326000CE,67.45,283080.0,0.0,0.0,WAIT,0.0,10000.0
14:22:34,26022.2,26019.17,1950,6060,BULLISH,26000,NIFTY25D2326000CE,67.2,283080.0,0.0,0.0,WAIT,0.0,10000.0
14:22:37,26022.2,26019.17,2025,6063,BULLISH,26000,NIFTY25D2326000CE,67.3,283080.0,0.0,0.0,WAIT,0.0,10000.0
14:22:40,26022.2,26019.17,2025,6063,BULLISH,26000,NIFTY25D2326000CE,67.45,283080.0,0.0,0.0,WAIT,0.0,10000.0
14:22:43,26027.0,26019.2,2250,6075,BULLISH,26050,NIFTY25D2326050CE,46.15,100409.0,0.0,0.0,WAIT,0.0,10000.0
14:22:46,26027.0,26019.2,2250,6075,BULLISH,26050,NIFTY25D2326050CE,46.05,100409.0,0.0,0.0,WAIT,0.0,10000.0
14:22:48,26027.0,26019.2,2250,6075,BULLISH,26050,NIFTY25D2326050CE,45.95,100409.0,0.0,0.0,WAIT,0.0,10000.0
14:22:51,26025.0,26019.19,2250,6075,BULLISH,26000,NIFTY25D2326000CE,66.7,283080.0,0.0,0.0,WAIT,0.0,10000.0
14:22:54,26025.0,26019.19,2325,6078,BULLISH,26000,NIFTY25D2326000CE,67.3,283080.0,0.0,0.0,WAIT,0.0,10000.0
14:22:57,26025.0,26019.19,2325,6078,BULLISH,26000,NIFTY25D2326000CE,67.15,283080.0,0.0,0.0,WAIT,0.0,10000.0
14:23:00,26025.0,26019.19,2325,6078,BULLISH,26000,NIFTY25D2326000CE,67.25,283080.0,0.0,0.0,WAIT,0.0,10000.0
14:23:03,26027.0,26019.21,150,5801,BULLISH,26050,NIFTY25D2326050CE,46.3,100409.0,0.0,0.0,WAIT,0.0,10000.0
14:23:06,26027.0,26019.24,750,5831,BULLISH,26050,NIFTY25D2326050CE,46.45,100409.0,0.0,0.0,WAIT,0.0,10000.0
14:23:09,26027.5,26019.29,2025,5895,BULLISH,26050,NIFTY25D2326050CE,46.8,100409.0,0.0,0.0,WAIT,0.0,10000.0
