Timestamp,Spot,RSI,ATM,PCR,CE_LTP,PE_LTP,CE_OI,PE_OI,CE_Delta,PE_Delta,Status,Trade_PnL,Reason
14:12:10,26127.1,38,26150,1.48,46.85,60.85,228496,239208,0.454,-0.546,SCAN,0,Waiting
14:12:13,26126.0,37,26150,1.48,47.35,60,228496,239208,0.454,-0.546,SCAN,0,Waiting
14:12:16,26129.4,39,26150,1.48,47.2,60.2,228496,239208,0.454,-0.546,SCAN,0,Waiting
14:12:19,26128.0,38,26150,1.48,47.25,60.05,228496,239208,0.454,-0.546,SCAN,0,Waiting
14:12:24,26127.85,38,26150,1.48,47.5,60.1,228496,239208,0.4593,-0.5407,SCAN,0,Waiting
14:12:30,26126.8,38,26150,1.48,47.4,60.4,228496,239208,0.4593,-0.5407,SCAN,0,Waiting
14:12:33,26132.5,42,26150,1.48,48.45,58.05,228496,239208,0.4641,-0.5359,SCAN,0,Waiting
14:12:37,26133.0,42,26150,1.48,48.9,57.6,228496,239208,0.4641,-0.5359,SCAN,0,Waiting
14:12:40,26133.2,42,26150,1.48,48.8,58.15,228496,239208,0.4641,-0.5359,SCAN,0,Waiting
14:12:46,26134.1,43,26150,1.48,48.95,57.85,228496,239208,0.4653,-0.5347,SCAN,0,Waiting
14:12:50,26135.6,44,26150,1.48,49.2,57.55,228496,239208,0.4748,-0.5252,SCAN,0,Waiting
14:12:54,26136.0,44,26150,1.48,49.45,57.6,228496,239208,0.4748,-0.5252,SCAN,0,Waiting
14:12:58,26136.6,45,26150,1.48,49.5,57.85,228496,239208,0.4748,-0.5252,SCAN,0,Waiting
14:13:01,26134.85,43,26150,1.48,49.3,57.85,228496,239208,0.4748,-0.5252,SCAN,0,Waiting
14:13:06,26136.85,45,26150,1.48,49.55,58.05,228496,239208,0.4756,-0.5244,SCAN,0,Waiting
14:13:09,26137.2,45,26150,1.48,49.5,58.1,228496,239208,0.4756,-0.5244,SCAN,0,Waiting
14:13:12,26136.65,45,26150,1.48,49.2,58.15,228496,239208,0.4756,-0.5244,SCAN,0,Waiting
14:13:16,26138.0,46,26150,1.48,49.65,57.9,228496,239208,0.4769,-0.5231,SCAN,0,Waiting
14:13:20,26138.85,47,26150,1.48,49.55,57.85,228496,239208,0.4769,-0.5231,SCAN,0,Waiting
14:13:25,26138.4,46,26150,1.48,49.7,57.8,228496,239208,0.4769,-0.5231,SCAN,0,Waiting
14:13:28,26139.2,47,26150,1.48,49.9,57.55,228496,239208,0.4773,-0.5227,SCAN,0,Waiting
14:13:31,26139.95,47,26150,1.48,49.75,57.6,228496,239208,0.4773,-0.5227,SCAN,0,Waiting
14:13:35,26140.6,48,26150,1.48,49.8,57.5,228496,239208,0.4773,-0.5227,SCAN,0,Waiting
14:13:38,26140.55,48,26150,1.48,49.85,57.55,228496,239208,0.478,-0.522,SCAN,0,Waiting
14:13:42,26139.8,47,26150,1.48,49.55,57.7,228496,239208,0.478,-0.522,SCAN,0,Waiting
14:13:45,26139.95,47,26150,1.48,49.2,58.35,228496,239208,0.478,-0.522,SCAN,0,Waiting
14:13:48,26140.25,48,26150,1.48,49.35,58.15,228496,239208,0.4786,-0.5214,SCAN,0,Waiting
14:13:56,26140.5,48,26150,1.48,49,58.35,228496,239208,0.4786,-0.5214,SCAN,0,Waiting
14:14:00,26140.15,48,26150,1.48,49,58.1,228496,239208,0.4753,-0.5247,SCAN,0,Waiting
14:14:04,26140.85,48,26150,1.48,49.25,57.9,228496,239208,0.4753,-0.5247,SCAN,0,Waiting
14:14:07,26142.2,49,26150,1.48,49.25,58,228496,239208,0.4753,-0.5247,SCAN,0,Waiting
14:14:10,26140.65,48,26150,1.48,49.25,58.05,228496,239208,0.4736,-0.5264,SCAN,0,Waiting
