Timestamp,Fut_Price,Fut_VWAP,Vol_Ratio,Trend,Strike,Opt_Symbol,Opt_LTP,Current_OI,3min_OI_Drop%,Spread,Signal,PnL,Balance
13:43:56,26015.0,26002.44,0.73,BULLISH,26000,NIFTY25D2326000CE,65.4,307582.0,0.0,0.0,WAIT,0.0,10000.0
13:43:59,26015.0,26002.44,0.73,BULLISH,26000,NIFTY25D2326000CE,65.55,307582.0,0.0,0.0,WAIT,0.0,10000.0
13:44:01,26015.0,26002.44,0.73,BULLISH,26000,NIFTY25D2326000CE,65.8,307582.0,0.0,0.0,WAIT,0.0,10000.0
13:44:04,26015.0,26003.31,0.73,BULLISH,26000,NIFTY25D2326000CE,66.0,307582.0,0.0,0.0,WAIT,0.0,10000.0
13:44:07,26018.6,26003.33,0.05,BULLISH,26000,NIFTY25D2326000CE,66.2,307582.0,0.0,0.0,WAIT,0.0,10000.0
13:44:10,26018.6,26003.33,0.05,BULLISH,26000,NIFTY25D2326000CE,66.35,307582.0,0.0,0.0,WAIT,0.0,10000.0
13:44:13,26018.6,26003.33,0.05,BULLISH,26000,NIFTY25D2326000CE,66.35,307582.0,0.0,0.0,WAIT,0.0,10000.0
13:44:16,26018.6,26003.33,0.05,BULLISH,26000,NIFTY25D2326000CE,67.0,307582.0,0.0,0.0,WAIT,0.0,10000.0
13:44:19,26019.8,26003.39,0.19,BULLISH,26000,NIFTY25D2326000CE,67.55,304661.0,0.0,0.0,WAIT,0.0,10000.0
13:44:22,26019.8,26003.39,0.19,BULLISH,26000,NIFTY25D2326000CE,67.1,304661.0,0.0,0.0,WAIT,0.0,10000.0
13:44:25,26017.8,26003.62,0.73,BULLISH,26000,NIFTY25D2326000CE,67.15,304661.0,0.0,0.0,WAIT,0.0,10000.0
13:44:29,26020.0,26003.64,0.75,BULLISH,26000,NIFTY25D2326000CE,67.5,304661.0,0.0,0.0,WAIT,0.0,10000.0
13:44:32,26020.0,26003.67,0.81,BULLISH,26000,NIFTY25D2326000CE,67.2,304661.0,0.0,0.0,WAIT,0.0,10000.0
13:44:35,26020.0,26003.68,0.83,BULLISH,26000,NIFTY25D2326000CE,67.25,304661.0,0.0,0.0,WAIT,0.0,10000.0
13:44:38,26020.0,26003.75,0.97,BULLISH,26000,NIFTY25D2326000CE,67.5,304661.0,0.0,0.0,WAIT,0.0,10000.0
13:44:41,26020.0,26003.75,0.99,BULLISH,26000,NIFTY25D2326000CE,67.15,304661.0,0.0,0.0,WAIT,0.0,10000.0
13:44:44,26020.0,26003.83,1.15,BULLISH,26000,NIFTY25D2326000CE,66.9,304661.0,0.0,0.0,WAIT,0.0,10000.0
