Time,Action,Symbol,Price,PnL,Reason
14:12:43,BUY,NIFTY25D2326000PE,92.25,0.0,Panic_Entry
14:12:47,SELL,NIFTY25D2326000PE,88.25,-300.0,Stop_Hit
14:12:50,BUY,NIFTY25D2326000CE,65.3,0.0,Panic_Entry
14:13:19,SELL,NIFTY25D2326000CE,91.5,1965.0000000000002,Stop_Hit
14:20:20,BUY,NIFTY25D2326050CE,46.75,0.0,Panic_Entry
