Timestamp,Spot_Price,RSI,Status,Strike_Watched,CE_Price,PE_Price,Reason
11:02:28,26133.6,58,SCAN,26150,0,0,Waiting
11:02:35,26134.55,59,SCAN,26150,0,0,Waiting
11:02:42,26134.45,59,SCAN,26150,0,0,Waiting
11:02:49,26135.5,59,SCAN,26150,0,0,Waiting
11:02:55,26133.8,58,SCAN,26150,0,0,Waiting
11:03:02,26134.6,59,SCAN,26150,0,0,Waiting
11:03:09,26134.3,59,SCAN,26150,0,0,Waiting
11:03:15,26135.1,59,SCAN,26150,0,0,Waiting
11:03:23,26132.75,57,SCAN,26150,0,0,Waiting
11:03:31,26133.45,58,SCAN,26150,0,0,Waiting
11:03:37,26132.85,58,SCAN,26150,0,0,Waiting
11:03:44,26131.95,57,SCAN,26150,0,0,Waiting
