Timestamp,Fut_Price,Fut_VWAP,Vol_Ratio,Trend,Strike,Opt_Symbol,Opt_LTP,OI_Chg,Spread,Signal,PnL,Balance
13:22:43,25999.1,25991.65,0.68,BULLISH,26000,NIFTY25D2326000CE,59.0,82.25,0.0,WAIT,0.0,10000.0
13:22:45,25996.8,25991.76,1.09,BULLISH,26000,NIFTY25D2326000CE,59.15,82.25,0.0,WAIT,0.0,10000.0
13:22:47,25997.8,25991.8,1.16,BULLISH,26000,NIFTY25D2326000CE,59.3,82.25,0.0,WAIT,0.0,10000.0
13:22:50,25999.0,25991.95,1.49,BULLISH,26000,NIFTY25D2326000CE,59.35,82.25,0.0,WAIT,0.0,10000.0
13:22:52,25999.0,25991.97,1.55,BULLISH,26000,NIFTY25D2326000CE,59.45,82.25,0.0,WAIT,0.0,10000.0
13:22:54,25999.0,25991.97,1.55,BULLISH,26000,NIFTY25D2326000CE,59.45,82.25,0.0,WAIT,0.0,10000.0
13:22:57,25999.0,25991.97,1.55,BULLISH,26000,NIFTY25D2326000CE,59.5,82.25,0.0,WAIT,0.0,10000.0
13:22:59,25999.0,25991.97,1.55,BULLISH,26000,NIFTY25D2326000CE,59.2,82.25,0.0,WAIT,0.0,10000.0
13:23:02,26005.3,25992.01,0.09,BULLISH,26000,NIFTY25D2326000CE,58.95,82.25,0.0,WAIT,0.0,10000.0
13:23:05,26005.3,25991.69,0.09,BULLISH,26000,NIFTY25D2326000CE,59.2,82.25,0.0,WAIT,0.0,10000.0
13:23:07,26000.0,25991.74,0.23,BULLISH,26000,NIFTY25D2326000CE,59.8,82.25,0.0,WAIT,0.0,10000.0
13:23:10,26004.5,25991.77,0.28,BULLISH,26000,NIFTY25D2326000CE,59.4,82.25,0.0,WAIT,0.0,10000.0
13:23:13,26004.5,25991.77,0.28,BULLISH,26000,NIFTY25D2326000CE,58.8,87.55,0.0,WAIT,0.0,10000.0
13:23:16,25999.1,25991.77,0.32,BULLISH,26000,NIFTY25D2326000CE,58.8,87.55,0.0,WAIT,0.0,10000.0
13:23:19,25999.1,25991.77,0.32,BULLISH,26000,NIFTY25D2326000CE,59.2,87.55,0.0,WAIT,0.0,10000.0
13:23:22,25998.6,25991.85,0.53,BULLISH,26000,NIFTY25D2326000CE,59.15,87.55,0.0,WAIT,0.0,10000.0
13:23:25,25998.6,25991.86,0.57,BULLISH,26000,NIFTY25D2326000CE,59.15,87.55,0.0,WAIT,0.0,10000.0
13:23:28,26004.4,25991.92,0.6,BULLISH,26000,NIFTY25D2326000CE,58.95,87.55,0.0,WAIT,0.0,10000.0
13:23:30,25998.0,25991.87,0.6,BULLISH,26000,NIFTY25D2326000CE,58.85,87.55,0.0,WAIT,0.0,10000.0
13:23:32,25998.0,25991.9,0.7,BULLISH,26000,NIFTY25D2326000CE,58.7,87.55,0.0,WAIT,0.0,10000.0
13:23:35,25998.0,25991.9,0.7,BULLISH,26000,NIFTY25D2326000CE,58.55,87.55,0.0,WAIT,0.0,10000.0
