Entry_Time,Exit_Time,Symbol,Type,Entry_Price,Exit_Price,Max_Price_Reached,PnL,Balance,Exit_Reason
2025-12-15 10:35:00,2025-12-15 10:43:00,NSE-NIFTY-16Dec25-25950-PE,PE,59.3,60.35,70.95,78.75000000000031,10078.75,SL Hit
2025-12-15 11:05:00,2025-12-15 11:09:00,NSE-NIFTY-16Dec25-26000-PE,PE,80.0,83.0,83.0,225.0,10303.75,SL Hit
2025-12-15 12:35:00,2025-12-15 12:40:00,NSE-NIFTY-16Dec25-26050-PE,PE,77.15,79.6,80.4,183.74999999999915,10487.5,SL Hit
2025-12-15 12:55:00,2025-12-15 12:57:00,NSE-NIFTY-16Dec25-26000-PE,PE,55.55,57.15,59.95,120.00000000000011,10607.5,SL Hit
2025-12-16 11:05:00,2025-12-16 11:09:00,NSE-NIFTY-16Dec25-25900-CE,CE,38.55,41.3,44.2,206.25,10813.75,SL Hit
2025-12-16 11:45:00,2025-12-16 12:26:00,NSE-NIFTY-16Dec25-25900-CE,CE,26.4,29.4,29.4,225.0,11038.75,SL Hit
2025-12-17 10:55:00,2025-12-17 11:32:00,NSE-NIFTY-23Dec25-25800-CE,CE,144.5,147.5,166.25,225.0,11263.75,SL Hit
2025-12-17 13:00:00,2025-12-17 13:36:00,NSE-NIFTY-23Dec25-25800-CE,CE,130.3,132.2,144.5,142.4999999999983,11406.249999999998,SL Hit
2025-12-18 11:15:00,2025-12-18 11:20:00,NSE-NIFTY-23Dec25-25850-PE,PE,97.95,93.65,98.65,-322.4999999999998,11083.749999999998,SL Hit
2025-12-18 12:15:00,2025-12-18 12:34:00,NSE-NIFTY-23Dec25-25900-PE,PE,95.35,90.45,97.8,-367.4999999999994,10716.249999999998,SL Hit
2025-12-18 12:45:00,2025-12-18 15:20:00,NSE-NIFTY-23Dec25-25900-PE,PE,88.5,134.15,148.7,3423.7500000000005,14139.999999999998,EOD Force
2025-12-19 12:00:00,2025-12-19 12:05:00,NSE-NIFTY-23Dec25-25900-CE,CE,104.9,107.7,110.1,209.99999999999977,14349.999999999998,SL Hit
2025-12-19 14:25:00,2025-12-19 14:38:00,NSE-NIFTY-23Dec25-26000-PE,PE,86.1,87.65,93.0,116.25000000000085,14466.249999999998,SL Hit
