Timestamp,Fut_Price,Fut_VWAP,Fut_Vol,Vol_Ratio,Trend,Strike,Opt_Symbol,Opt_LTP,Opt_OI,OI_Chg,Spread,Signal,Position,PnL,Balance
13:07:44,25993.7,26003.23,2100,1.02,BEARISH,26000,NIFTY25D2326000PE,104.3,143898.0,252.12,0.0,WAIT,None,0.0,10000.0
13:07:46,25993.7,26003.23,2100,1.02,BEARISH,26000,NIFTY25D2326000PE,104.35,143898.0,252.12,0.0,WAIT,None,0.0,10000.0
13:07:48,25993.7,26003.23,2100,1.02,BEARISH,26000,NIFTY25D2326000PE,104.15,143898.0,252.12,0.0,WAIT,None,0.0,10000.0
13:07:51,25993.7,26003.23,2100,1.02,BEARISH,26000,NIFTY25D2326000PE,104.05,143898.0,252.12,0.0,WAIT,None,0.0,10000.0
13:07:53,25993.7,26003.23,2100,1.02,BEARISH,26000,NIFTY25D2326000PE,103.7,143898.0,252.12,0.0,WAIT,None,0.0,10000.0
13:07:55,25993.7,26003.23,2100,1.02,BEARISH,26000,NIFTY25D2326000PE,103.7,143898.0,252.12,0.0,WAIT,None,0.0,10000.0
13:07:58,25993.7,26003.23,2100,1.02,BEARISH,26000,NIFTY25D2326000PE,104.3,143898.0,252.12,0.0,WAIT,None,0.0,10000.0
13:08:00,25993.7,26003.23,2100,1.02,BEARISH,26000,NIFTY25D2326000PE,104.55,143898.0,252.12,0.0,WAIT,None,0.0,10000.0
13:08:02,25993.9,26003.07,300,0.15,BEARISH,26000,NIFTY25D2326000PE,104.75,143898.0,252.12,0.0,WAIT,None,0.0,10000.0
13:08:05,25993.9,26003.07,300,0.15,BEARISH,26000,NIFTY25D2326000PE,105.0,143898.0,252.12,0.0,WAIT,None,0.0,10000.0
13:08:07,25993.9,26003.06,375,0.19,BEARISH,26000,NIFTY25D2326000PE,105.85,146721.0,259.03,0.0,WAIT,None,0.0,10000.0
13:08:09,25993.9,26003.06,375,0.19,BEARISH,26000,NIFTY25D2326000PE,105.8,146721.0,259.03,0.0,WAIT,None,0.0,10000.0
13:08:12,25993.9,26003.06,375,0.19,BEARISH,26000,NIFTY25D2326000PE,106.0,146721.0,259.03,0.0,WAIT,None,0.0,10000.0
13:08:14,25993.0,26003.05,450,0.23,BEARISH,26000,NIFTY25D2326000PE,105.65,146721.0,259.03,0.0,WAIT,None,0.0,10000.0
13:08:17,25993.0,26003.05,450,0.23,BEARISH,26000,NIFTY25D2326000PE,105.7,146721.0,259.03,0.0,WAIT,None,0.0,10000.0
13:08:20,25993.0,26003.05,450,0.23,BEARISH,26000,NIFTY25D2326000PE,105.9,146721.0,259.03,0.0,WAIT,None,0.0,10000.0
13:08:23,25993.0,26003.05,450,0.23,BEARISH,26000,NIFTY25D2326000PE,106.5,146721.0,259.03,0.0,WAIT,None,0.0,10000.0
13:08:25,25996.9,26003.05,525,0.27,BEARISH,26000,NIFTY25D2326000PE,106.65,146721.0,259.03,0.0,WAIT,None,0.0,10000.0
13:08:28,25996.9,26003.05,525,0.27,BEARISH,26000,NIFTY25D2326000PE,106.6,146721.0,259.03,0.0,WAIT,None,0.0,10000.0
13:08:31,25996.9,26003.05,525,0.27,BEARISH,26000,NIFTY25D2326000PE,106.65,146721.0,259.03,0.0,WAIT,None,0.0,10000.0
13:08:33,25996.9,26003.05,525,0.27,BEARISH,26000,NIFTY25D2326000PE,105.6,146721.0,259.03,0.0,WAIT,None,0.0,10000.0
13:08:36,25996.9,26003.05,525,0.27,BEARISH,26000,NIFTY25D2326000PE,105.55,146721.0,259.03,0.0,WAIT,None,0.0,10000.0
13:08:39,25996.9,26003.05,525,0.27,BEARISH,26000,NIFTY25D2326000PE,105.85,146721.0,259.03,0.0,WAIT,None,0.0,10000.0
13:08:42,25996.9,26003.05,525,0.27,BEARISH,26000,NIFTY25D2326000PE,106.2,146721.0,259.03,0.0,WAIT,None,0.0,10000.0
13:08:45,25996.9,26003.05,525,0.27,BEARISH,26000,NIFTY25D2326000PE,106.2,146721.0,259.03,0.0,WAIT,None,0.0,10000.0
13:08:47,25991.0,26003.03,525,0.27,BEARISH,26000,NIFTY25D2326000PE,106.1,146721.0,259.03,0.0,WAIT,None,0.0,10000.0
13:08:50,25991.1,26003.02,600,0.31,BEARISH,26000,NIFTY25D2326000PE,105.85,146721.0,259.03,0.0,WAIT,None,0.0,10000.0
13:08:53,25991.1,26003.01,675,0.34,BEARISH,26000,NIFTY25D2326000PE,105.9,146721.0,259.03,0.0,WAIT,None,0.0,10000.0
13:08:56,25991.1,26003.01,675,0.34,BEARISH,26000,NIFTY25D2326000PE,105.95,146721.0,259.03,0.0,WAIT,None,0.0,10000.0
