time,close_SPOT,EMA5_SPOT,EMA13_SPOT,close_FUT,VWAP_FUT,OI_RAW,OI_CHG,OPT_CLOSE,OPT_OI
2025-12-18 09:15:00,25777.75,25777.75,25777.75,25847.0,25852.133333333335,492810.0,0.0,41.1,271914.0
2025-12-18 09:20:00,25796.55,25784.016666666666,25780.435714285715,25863.0,25854.44185251264,164335.0,-328475.0,45.7,137889.0
2025-12-18 09:25:00,25780.05,25782.694444444445,25780.3806122449,25856.0,25855.552511157206,328976.0,164641.0,42.05,278524.0
2025-12-18 09:30:00,25785.3,25783.562962962966,25781.0833819242,25858.8,25855.678740399384,329154.0,178.0,41.5,287451.0
2025-12-18 09:35:00,25774.55,25780.558641975313,25780.150041649315,25851.7,25855.435040638677,165003.0,-164151.0,40.35,144928.0
2025-12-18 09:40:00,25745.1,25768.739094650213,25775.14289284227,25820.0,25851.20035648482,330289.0,165286.0,34.0,297484.0
2025-12-18 09:45:00,25740.75,25759.40939643348,25770.229622436233,25815.6,25843.892814197054,331089.0,800.0,33.0,309604.0
2025-12-18 09:50:00,25750.25,25756.35626428899,25767.37539065963,25819.0,25842.096983723604,165786.0,-165303.0,34.1,155442.0
2025-12-18 09:55:00,25748.75,25753.820842859328,25764.7146205654,25820.8,25840.68381722719,331920.0,166134.0,33.75,314029.0
2025-12-18 10:00:00,25745.65,25751.097228572886,25761.991103341774,25815.8,25840.04004357659,331957.0,37.0,34.4,314034.0
2025-12-18 10:05:00,25774.55,25758.914819048594,25763.785231435806,25845.8,25839.839823939037,165997.0,-165960.0,38.05,156174.0
2025-12-18 10:10:00,25791.15,25769.659879365732,25767.694484087835,25864.0,25842.222786647315,331877.0,165880.0,42.3,305420.0
2025-12-18 10:15:00,25823.4,25787.57325291049,25775.652414932432,25900.0,25847.24666261275,331806.0,-71.0,54.0,295021.0
2025-12-18 10:20:00,25834.45,25803.198835273663,25784.05206994209,25908.6,25855.968100321097,165563.0,-166243.0,56.85,140866.0
2025-12-18 10:25:00,25829.75,25812.04922351578,25790.58034566465,25912.8,25858.592605952792,329796.0,164233.0,55.4,270318.0
2025-12-18 10:30:00,25855.4,25826.499482343857,25799.84029628399,25934.4,25864.41264555053,329130.0,-666.0,66.7,266456.0
2025-12-18 10:35:00,25843.35,25832.11632156257,25806.055968243418,25929.9,25869.46863235744,164106.0,-165024.0,61.0,129519.0
2025-12-18 10:40:00,25852.4,25838.877547708384,25812.676544208647,25931.2,25873.976742565057,327904.0,163798.0,61.05,258357.0
2025-12-18 10:45:00,25846.0,25841.251698472257,25817.437037893127,25928.0,25875.244960125176,327554.0,-350.0,59.5,257255.0
2025-12-18 10:50:00,25845.05,25842.517798981506,25821.38174676554,25920.1,25876.226642940113,163686.0,-163868.0,58.45,129117.0
2025-12-18 10:55:00,25850.05,25845.028532654338,25825.47721151332,25933.0,25876.755648494633,327394.0,163708.0,59.95,260075.0
2025-12-18 11:00:00,25827.5,25839.185688436228,25825.766181297135,25909.0,25877.518695386385,327304.0,-90.0,53.0,262072.0
2025-12-18 11:05:00,25835.95,25838.107125624156,25827.2210125404,25916.0,25878.580807057973,163686.0,-163618.0,54.9,132077.0
2025-12-18 11:10:00,25831.7,25835.971417082772,25827.860867891774,25909.7,25878.78146927161,327380.0,163694.0,52.0,265445.0
2025-12-18 11:15:00,25824.9,25832.28094472185,25827.43788676438,25899.8,25879.2315334332,327132.0,-248.0,50.5,269282.0
2025-12-18 11:20:00,25852.0,25838.8539631479,25830.946760083752,25936.9,25879.910556561794,163582.0,-163550.0,61.3,134193.0
2025-12-18 11:25:00,25855.35,25844.3526420986,25834.432937214646,25940.4,25881.1325417391,327219.0,163637.0,61.4,263744.0
2025-12-18 11:30:00,25853.9,25847.535094732404,25837.213946183983,25938.0,25882.035695148326,327035.0,-184.0,60.55,262432.0
2025-12-18 11:35:00,25859.75,25851.606729821608,25840.433382443414,25942.0,25882.402636136234,163488.0,-163547.0,61.75,131511.0
2025-12-18 11:40:00,25851.55,25851.587819881075,25842.021470665783,25933.0,25883.21187949981,326795.0,163307.0,57.4,261768.0
2025-12-18 11:45:00,25851.75,25851.64187992072,25843.411260570672,25935.0,25883.744561359686,326520.0,-275.0,57.65,263115.0
2025-12-18 11:50:00,25870.0,25857.76125328048,25847.20965191772,25950.1,25886.071802585004,163179.0,-163341.0,65.2,130785.0
2025-12-18 11:55:00,25866.95,25860.824168853655,25850.02970164376,25945.0,25887.155769780486,326040.0,162861.0,62.6,259170.0
2025-12-18 12:00:00,25864.2,25861.949445902435,25852.05402998037,25947.0,25888.165484468496,325856.0,-184.0,62.45,259710.0
2025-12-18 12:05:00,25873.5,25865.799630601625,25855.117739983176,25959.8,25888.78209414025,162930.0,-162926.0,65.5,129355.0
2025-12-18 12:10:00,25878.8,25870.133087067752,25858.50091998558,25961.0,25891.694661803715,325164.0,162234.0,65.7,255114.0
2025-12-18 12:15:00,25868.7,25869.655391378503,25859.957931416215,25951.9,25892.820538016775,324088.0,-1076.0,63.0,253580.0
2025-12-18 12:20:00,25867.3,25868.870260919,25861.006798356757,25955.0,25894.48835672561,162095.0,-161993.0,63.2,127461.0
2025-12-18 12:25:00,25879.85,25872.530173946,25863.698684305793,25959.8,25895.930722263845,324660.0,162565.0,65.65,253147.0
2025-12-18 12:30:00,25887.5,25877.520115964006,25867.09887226211,25966.1,25898.020047437698,162367.0,-162293.0,68.1,251003.0
2025-12-18 12:35:00,25892.8,25882.61341064267,25870.770461938955,25971.5,25900.159585987778,324703.0,162336.0,67.4,124868.0
2025-12-18 12:40:00,25893.85,25886.358940428447,25874.06753880482,25967.8,25901.180838285094,324179.0,-524.0,68.8,247594.0
2025-12-18 12:45:00,25889.45,25887.389293618966,25876.265033261276,25967.0,25902.053183502878,161999.0,-162180.0,66.65,123534.0
2025-12-18 12:50:00,25880.7,25885.159529079312,25876.89859993824,25960.0,25902.593447567255,323639.0,161640.0,62.35,247890.0
2025-12-18 12:55:00,25881.8,25884.039686052878,25877.59879994706,25957.7,25903.108099073794,323319.0,-320.0,61.55,249823.0
2025-12-18 13:00:00,25885.05,25884.376457368588,25878.66325709748,25960.0,25904.45652026262,161562.0,-161757.0,62.85,125946.0
2025-12-18 13:05:00,25882.05,25883.60097157906,25879.147077512127,25957.0,25905.041815779456,322832.0,161270.0,62.65,253008.0
2025-12-18 13:10:00,25879.8,25882.333981052707,25879.24035215325,25959.0,25905.757242567477,322170.0,-662.0,62.0,253231.0
2025-12-18 13:15:00,25867.9,25877.522654035143,25877.620301845647,25946.8,25906.20240104964,160963.0,-161207.0,60.0,127552.0
2025-12-18 13:20:00,25870.8,25875.281769356763,25876.645973010556,25950.4,25906.654216102306,321808.0,160845.0,61.05,256725.0
2025-12-18 13:25:00,25867.15,25872.571179571176,25875.28940543762,25949.4,25907.128022916088,321645.0,-163.0,57.2,256610.0
2025-12-18 13:30:00,25848.5,25864.547453047453,25871.46234751796,25926.1,25908.016776218024,160779.0,-160866.0,51.1,131113.0
