Entry_Time,Exit_Time,Type,Entry_Price,Exit_Price,PnL,Balance,Reason
2025-12-11 09:34:00,2025-12-11 09:36:00,BUY,123.0,114.85,-611.25,9388.75,SL Hit
2025-12-11 10:07:00,2025-12-11 10:16:00,BUY,115.65,129.3,1023.75,10412.5,SL Hit
2025-12-11 10:25:00,2025-12-11 10:33:00,BUY,136.65,140.45,285.0,10697.5,SL Hit
2025-12-11 10:34:00,2025-12-11 10:48:00,BUY,141.25,142.4,86.25,10783.75,SL Hit
2025-12-11 11:28:00,2025-12-11 11:33:00,BUY,133.65,133.85,15.0,10798.75,SL Hit
2025-12-11 11:40:00,2025-12-11 11:47:00,BUY,132.2,128.15,-303.75,10495.0,SL Hit
2025-12-11 11:52:00,2025-12-11 12:07:00,BUY,136.8,160.0,1740.0,12235.0,SL Hit
2025-12-11 12:16:00,2025-12-11 12:21:00,BUY,158.7,158.3,-30.0,12205.0,SL Hit
2025-12-11 12:26:00,2025-12-11 12:29:00,BUY,161.65,170.65,675.0,12880.0,SL Hit
2025-12-11 12:47:00,2025-12-11 12:49:00,BUY,165.1,163.8,-97.5,12782.5,SL Hit
2025-12-11 12:53:00,2025-12-11 12:57:00,BUY,165.0,160.0,-375.0,12407.5,SL Hit
2025-12-11 13:02:00,2025-12-11 13:03:00,BUY,159.7,154.55,-386.25,12021.25,SL Hit
2025-12-11 13:47:00,2025-12-11 13:50:00,BUY,153.15,151.9,-93.75,11927.5,SL Hit
2025-12-15 10:28:00,2025-12-15 10:32:00,BUY,154.65,154.9,18.75,11946.25,SL Hit
2025-12-15 11:04:00,2025-12-15 11:08:00,BUY,157.6,152.4,-390.0,11556.25,SL Hit
2025-12-15 11:13:00,2025-12-15 11:19:00,BUY,153.5,152.7,-60.0,11496.25,SL Hit
2025-12-16 13:47:00,2025-12-16 13:55:00,BUY,114.3,108.85,-408.75,11087.5,SL Hit
2025-12-17 09:37:00,2025-12-17 09:42:00,BUY,100.45,95.05,-405.0,10682.5,SL Hit
2025-12-18 10:19:00,2025-12-18 10:24:00,BUY,54.0,56.85,213.75,10896.25,SL Hit
2025-12-18 10:25:00,2025-12-18 10:35:00,BUY,55.2,61.75,491.25,11387.5,SL Hit
2025-12-18 10:37:00,2025-12-18 10:43:00,BUY,60.2,63.3,232.5,11620.0,SL Hit
2025-12-18 10:46:00,2025-12-18 10:52:00,BUY,62.55,57.15,-405.0,11215.0,SL Hit
2025-12-18 11:01:00,2025-12-18 11:03:00,BUY,59.35,53.55,-435.0,10780.0,SL Hit
2025-12-18 11:37:00,2025-12-18 11:41:00,BUY,60.0,59.5,-37.5,10742.5,SL Hit
2025-12-18 11:52:00,2025-12-18 11:58:00,BUY,63.3,63.45,11.25,10753.75,SL Hit
2025-12-18 12:10:00,2025-12-18 12:39:00,BUY,64.85,67.4,191.25,10945.0,SL Hit
2025-12-18 12:41:00,2025-12-18 12:48:00,BUY,67.95,67.3,-48.75,10896.25,SL Hit
2025-12-18 13:08:00,2025-12-18 13:11:00,BUY,63.75,58.55,-390.0,10506.25,SL Hit
2025-12-19 09:31:00,2025-12-19 09:48:00,BUY,82.3,76.65,-423.75,10082.5,SL Hit
2025-12-19 09:58:00,2025-12-19 10:05:00,BUY,78.8,69.1,-727.5,9355.0,SL Hit
2025-12-19 10:28:00,2025-12-19 10:41:00,BUY,75.85,75.2,-48.75,9306.25,SL Hit
2025-12-19 10:43:00,2025-12-19 10:57:00,BUY,79.35,70.3,-678.75,8627.5,SL Hit
2025-12-19 11:22:00,2025-12-19 11:26:00,BUY,69.75,64.0,-431.25,8196.25,SL Hit
2025-12-19 12:38:00,2025-12-19 12:48:00,BUY,62.35,62.2,-11.25,8185.0,SL Hit
2025-12-19 12:56:00,2025-12-19 13:12:00,BUY,61.2,53.0,-615.0,7570.0,SL Hit
2025-12-19 13:32:00,2025-12-19 13:37:00,BUY,62.95,65.05,157.5,7727.5,SL Hit
2025-12-19 13:44:00,2025-12-19 13:49:00,BUY,67.55,66.55,-75.0,7652.5,SL Hit
2025-12-19 13:59:00,2025-12-19 14:06:00,BUY,67.1,61.6,-412.5,7240.0,SL Hit
2025-12-19 14:08:00,2025-12-19 14:25:00,BUY,63.7,70.0,472.5,7712.5,SL Hit
2025-12-19 14:44:00,2025-12-19 14:50:00,BUY,66.5,65.65,-63.75,7648.75,SL Hit
