Timestamp,Spot_Price,RSI,Status,Strike_Selected,CE_Price,PE_Price,Action
2025-12-15 09:30:00,25915.0,50.0,SCAN,25900,0.0,0.0,Wait
2025-12-15 09:31:00,25920.1,50.0,SCAN,25900,0.0,0.0,Wait
2025-12-15 09:32:00,25923.4,50.0,SCAN,25900,0.0,0.0,Wait
2025-12-15 09:33:00,25928.65,50.0,SCAN,25950,0.0,0.0,Wait
2025-12-15 09:34:00,25914.75,50.0,SCAN,25900,0.0,0.0,Wait
2025-12-15 09:35:00,25915.95,50.0,SCAN,25900,0.0,0.0,Wait
2025-12-15 09:36:00,25928.95,50.0,SCAN,25950,0.0,0.0,Wait
2025-12-15 09:37:00,25923.35,50.0,SCAN,25900,0.0,0.0,Wait
2025-12-15 09:38:00,25932.5,50.0,SCAN,25950,0.0,0.0,Wait
2025-12-15 09:39:00,25928.15,50.0,SCAN,25950,0.0,0.0,Wait
2025-12-15 09:40:00,25922.7,50.0,SCAN,25900,0.0,0.0,Wait
2025-12-15 09:41:00,25930.45,50.0,SCAN,25950,0.0,0.0,Wait
2025-12-15 09:42:00,25924.6,50.0,SCAN,25900,0.0,0.0,Wait
2025-12-15 09:43:00,25918.5,50.0,SCAN,25900,0.0,0.0,Wait
2025-12-15 09:44:00,25917.15,50.0,SCAN,25900,0.0,0.0,Wait
2025-12-15 09:45:00,25906.4,50.0,SCAN,25900,0.0,0.0,Wait
2025-12-15 09:46:00,25921.5,50.0,SCAN,25900,0.0,0.0,Wait
2025-12-15 09:47:00,25934.7,50.0,SCAN,25950,0.0,0.0,Wait
2025-12-15 09:48:00,25932.9,50.0,SCAN,25950,0.0,0.0,Wait
2025-12-15 09:49:00,25937.7,50.0,SCAN,25950,0.0,0.0,Wait
2025-12-15 09:50:00,25939.85,50.0,SCAN,25950,0.0,0.0,Wait
2025-12-15 09:51:00,25940.0,50.0,SCAN,25950,0.0,0.0,Wait
2025-12-15 09:52:00,25935.55,50.0,SCAN,25950,0.0,0.0,Wait
2025-12-15 09:53:00,25943.15,50.0,SCAN,25950,0.0,0.0,Wait
2025-12-15 09:54:00,25939.15,50.0,SCAN,25950,0.0,0.0,Wait
2025-12-15 09:55:00,25935.15,50.0,SCAN,25950,0.0,0.0,Wait
2025-12-15 09:56:00,25940.1,50.0,SCAN,25950,0.0,0.0,Wait
2025-12-15 09:57:00,25939.6,50.0,SCAN,25950,0.0,0.0,Wait
2025-12-15 09:58:00,25949.9,50.0,SCAN,25950,0.0,0.0,Wait
2025-12-15 09:59:00,25951.6,50.0,SCAN,25950,0.0,0.0,Wait
2025-12-15 10:00:00,25952.65,50.0,SCAN,25950,0.0,0.0,Wait
2025-12-15 10:01:00,25956.45,50.0,SCAN,25950,0.0,0.0,Wait
2025-12-15 10:02:00,25958.55,50.0,SCAN,25950,0.0,0.0,Wait
2025-12-15 10:03:00,25945.7,50.0,SCAN,25950,0.0,0.0,Wait
2025-12-15 10:04:00,25954.55,50.0,SCAN,25950,0.0,0.0,Wait
2025-12-15 10:05:00,25945.95,50.0,SCAN,25950,0.0,0.0,Wait
2025-12-15 10:06:00,25948.65,50.0,SCAN,25950,0.0,0.0,Wait
2025-12-15 10:07:00,25958.0,50.0,SCAN,25950,0.0,0.0,Wait
2025-12-15 10:08:00,25957.75,50.0,SCAN,25950,0.0,0.0,Wait
2025-12-15 10:09:00,25949.75,50.0,SCAN,25950,0.0,0.0,Wait
2025-12-15 10:10:00,25947.25,50.0,SCAN,25950,0.0,0.0,Wait
2025-12-15 10:11:00,25944.4,50.0,SCAN,25950,0.0,0.0,Wait
2025-12-15 10:12:00,25954.95,50.0,SCAN,25950,0.0,0.0,Wait
2025-12-15 10:13:00,25956.95,50.0,SCAN,25950,0.0,0.0,Wait
2025-12-15 10:14:00,25961.35,50.0,SCAN,25950,0.0,0.0,Wait
2025-12-15 10:15:00,25961.35,50.0,SCAN,25950,0.0,0.0,Wait
2025-12-15 10:16:00,25961.7,50.0,SCAN,25950,0.0,0.0,Wait
2025-12-15 10:17:00,25964.35,50.0,SCAN,25950,0.0,0.0,Wait
2025-12-15 10:18:00,25971.15,50.0,SCAN,25950,0.0,0.0,Wait
2025-12-15 10:19:00,25969.35,50.0,SCAN,25950,0.0,0.0,Wait
2025-12-15 10:20:00,25965.75,55.91739475774509,SCAN,25950,0.0,0.0,Wait
2025-12-15 10:21:00,25969.8,55.91739475774509,SCAN,25950,0.0,0.0,Wait
2025-12-15 10:22:00,25970.0,55.91739475774509,SCAN,25950,0.0,0.0,Wait
2025-12-15 10:23:00,25969.6,55.91739475774509,SCAN,25950,0.0,0.0,Wait
2025-12-15 10:24:00,25968.2,55.91739475774509,SCAN,25950,0.0,0.0,Wait
2025-12-15 10:25:00,25961.05,58.50467289719672,SCAN,25950,0.0,0.0,Wait
2025-12-15 10:26:00,25969.4,58.50467289719672,SCAN,25950,0.0,0.0,Wait
2025-12-15 10:27:00,25964.9,58.50467289719672,SCAN,25950,0.0,0.0,Wait
2025-12-15 10:28:00,25971.25,58.50467289719672,SCAN,25950,0.0,0.0,Wait
2025-12-15 10:29:00,25976.05,58.50467289719672,SCAN,26000,0.0,0.0,Wait
2025-12-15 10:30:00,25978.9,72.7230483271376,SCAN,26000,0.0,0.0,Wait
2025-12-15 10:31:00,25978.8,72.7230483271376,SCAN,26000,0.0,0.0,Wait
2025-12-15 10:32:00,25976.65,72.7230483271376,SCAN,26000,0.0,0.0,Wait
2025-12-15 10:33:00,25976.0,72.7230483271376,SCAN,26000,0.0,0.0,Wait
