Date,Entry Time,Exit Time,Type,Strike,Opt Buy,Opt Sell,Nifty Entry,Nifty Exit,EMA5 Entry,EMA13 Entry,PnL,Balance,Reason
2025-12-19,12:56:18,13:00:59,CE,NSE-NIFTY-23Dec25-25950-CE,85.75,80.75,25953.65,25950.4,25950.94,25946.12,-375.0,9625.0,STOP/TRAIL
2025-12-19,13:11:04,13:16:59,PE,NSE-NIFTY-23Dec25-25950-PE,80.85,83.7,25938.7,25931.0,25944.66,25944.94,213.75,9838.75,STOP/TRAIL
2025-12-19,13:19:37,13:19:40,CE,NSE-NIFTY-23Dec25-25950-CE,80.65,80.85,25950.55,25949.85,25944.74,25944.7,15.0,9853.75,REVERSAL
2025-12-19,13:19:43,13:38:12,CE,NSE-NIFTY-23Dec25-25950-CE,81.0,88.45,25950.95,25968.6,25944.87,25944.76,558.75,10412.5,STOP/TRAIL
2025-12-19,14:12:35,14:25:26,CE,NSE-NIFTY-23Dec25-25950-CE,90.85,98.8,25974.45,25988.15,25971.54,25966.35,596.25,11008.75,STOP/TRAIL
