Timestamp,Nifty_Price,RSI,Status,Strike_Selected,CE_Price,PE_Price,Reason
2025-12-17 10:37:00,25815.45,24.501012438528804,SCAN,25800,0.0,0,Wait
2025-12-17 10:38:00,25812.2,24.501012438528804,SCAN,25800,0.0,0,Wait
2025-12-17 10:39:00,25815.35,24.501012438528804,SCAN,25800,0.0,0,Wait
2025-12-17 10:40:00,25812.4,17.74346044752339,SCAN,25800,0.0,0,Wait
2025-12-17 10:41:00,25814.3,17.74346044752339,SCAN,25800,0.0,0,Wait
2025-12-17 10:42:00,25817.6,17.74346044752339,SCAN,25800,0.0,0,Wait
2025-12-17 10:43:00,25823.5,17.74346044752339,SCAN,25800,0.0,0,Wait
2025-12-17 10:44:00,25819.6,17.74346044752339,SCAN,25800,0.0,0,Wait
2025-12-17 10:45:00,25818.65,23.470971747902837,SCAN,25800,0.0,0,Wait
2025-12-17 10:46:00,25820.45,23.470971747902837,SCAN,25800,0.0,0,Wait
2025-12-17 10:47:00,25828.2,23.470971747902837,SCAN,25850,0.0,0,Wait
2025-12-17 10:48:00,25832.8,23.470971747902837,SCAN,25850,0.0,0,Wait
2025-12-17 10:49:00,25829.25,23.470971747902837,SCAN,25850,0.0,0,Wait
2025-12-17 10:50:00,25829.95,27.500909421605982,SCAN,25850,0.0,0,Wait
2025-12-17 10:51:00,25825.9,27.500909421605982,SCAN,25850,0.0,0,Wait
2025-12-17 10:52:00,25819.95,27.500909421605982,SCAN,25800,0.0,0,Wait
2025-12-17 10:53:00,25823.45,27.500909421605982,SCAN,25800,0.0,0,Wait
2025-12-17 10:54:00,25818.35,27.500909421605982,SCAN,25800,0.0,0,Wait
2025-12-17 10:55:00,25807.6,32.361396303900605,SCAN,25800,144.5,0,Wait
2025-12-17 10:56:00,25805.85,32.361396303900605,SCAN,25800,0.0,0,Wait
2025-12-17 10:57:00,25807.5,32.361396303900605,SCAN,25800,0.0,0,Wait
2025-12-17 10:58:00,25814.3,32.361396303900605,SCAN,25800,0.0,0,Wait
2025-12-17 10:59:00,25819.95,32.361396303900605,SCAN,25800,0.0,0,Wait
2025-12-17 11:00:00,25817.55,32.333607230895225,SCAN,25800,0.0,0,Wait
2025-12-17 11:01:00,25817.0,32.333607230895225,SCAN,25800,0.0,0,Wait
2025-12-17 11:02:00,25829.6,32.333607230895225,SCAN,25850,0.0,0,Wait
