datetime,date,time,spot_close,fut_close,vwap,rsi,ema5,ema13,ce_oi_total,pe_oi_total,pcr,rsi_ready,in_market,in_cooldown,spot_vs_vwap,ema_crossover,rsi_zone,pcr_signal,bullish_signals,bearish_signals,market_bias,atm_strike,tried_strikes,selected_strike,strike_type,option_type,option_price,option_cost,option_oi,option_volume,expiry,entry_signal,entry_blocked_reason,entry_executed,has_position,position_type,position_strike,position_entry_price,position_current_price,position_pnl_points,position_pnl_rupees,position_pnl_pct,position_peak,trailing_active,exit_signal,exit_reason,exit_price,capital,daily_pnl,action,api_calls_total,cache_hits_total
2025-11-24 09:15:00,2025-11-24,09:15:00,26102.35,26130.8,26132.3,50.0,26102.35,26102.35,,,1.0,FALSE,TRUE,FALSE,BELOW,NEUTRAL,NEUTRAL,NEUTRAL,0,2,NEUTRAL,,,,,,,,,,,,RSI_NOT_READY,,FALSE,,,,,,,,,,,,,10000.0,0,SKIP_RSI_WARMUP,0,0
2025-11-24 09:16:00,2025-11-24,09:16:00,26097.6,26124.9,26130.6734,50.0,26100.7667,26101.6714,,,1.0,FALSE,TRUE,FALSE,BELOW,NEUTRAL,NEUTRAL,NEUTRAL,0,2,NEUTRAL,,,,,,,,,,,,RSI_NOT_READY,,FALSE,,,,,,,,,,,,,10000.0,0,SKIP_RSI_WARMUP,6,0
2025-11-24 09:17:00,2025-11-24,09:17:00,26083.85,26118.0,26128.3714,50.0,26095.1278,26099.1255,,,1.0,FALSE,TRUE,FALSE,BELOW,NEUTRAL,NEUTRAL,NEUTRAL,0,2,NEUTRAL,,,,,,,,,,,,RSI_NOT_READY,,FALSE,,,,,,,,,,,,,10000.0,0,SKIP_RSI_WARMUP,8,0
2025-11-24 09:18:00,2025-11-24,09:18:00,26113.7,26134.4,26128.3883,50.0,26101.3185,26101.2076,,,1.0,FALSE,TRUE,FALSE,ABOVE,BULLISH,NEUTRAL,NEUTRAL,3,0,BULLISH,,,,,,,,,,,,RSI_NOT_READY,,FALSE,,,,,,,,,,,,,10000.0,0,SKIP_RSI_WARMUP,9,0
2025-11-24 09:19:00,2025-11-24,09:19:00,26097.25,26125.0,26128.3078,50.0,26099.9623,26100.6422,,,1.0,FALSE,TRUE,FALSE,BELOW,NEUTRAL,NEUTRAL,NEUTRAL,0,2,NEUTRAL,,,,,,,,,,,,RSI_NOT_READY,,FALSE,,,,,,,,,,,,,10000.0,0,SKIP_RSI_WARMUP,10,0
2025-11-24 09:20:00,2025-11-24,09:20:00,26107.25,26127.2,26128.2125,50.0,26102.3916,26101.5862,,,1.0,FALSE,TRUE,FALSE,BELOW,BULLISH,NEUTRAL,NEUTRAL,1,2,NEUTRAL,,,,,,,,,,,,RSI_NOT_READY,,FALSE,,,,,,,,,,,,,10000.0,0,SKIP_RSI_WARMUP,11,0
2025-11-24 09:21:00,2025-11-24,09:21:00,26117.9,26138.8,26129.3102,50.0,26107.561,26103.9167,,,1.0,FALSE,TRUE,FALSE,ABOVE,BULLISH,NEUTRAL,NEUTRAL,3,0,BULLISH,,,,,,,,,,,,RSI_NOT_READY,,FALSE,,,,,,,,,,,,,10000.0,0,SKIP_RSI_WARMUP,12,0
2025-11-24 09:22:00,2025-11-24,09:22:00,26116.2,26138.0,26129.8811,50.0,26110.4407,26105.6715,,,1.0,FALSE,TRUE,FALSE,ABOVE,BULLISH,NEUTRAL,NEUTRAL,3,0,BULLISH,,,,,,,,,,,,RSI_NOT_READY,,FALSE,,,,,,,,,,,,,10000.0,0,SKIP_RSI_WARMUP,13,0
2025-11-24 09:23:00,2025-11-24,09:23:00,26112.3,26135.8,26130.2825,50.0,26111.0605,26106.6184,,,1.0,FALSE,TRUE,FALSE,ABOVE,BULLISH,NEUTRAL,NEUTRAL,3,0,BULLISH,,,,,,,,,,,,RSI_NOT_READY,,FALSE,,,,,,,,,,,,,10000.0,0,SKIP_RSI_WARMUP,14,0
2025-11-24 09:24:00,2025-11-24,09:24:00,26098.9,26130.0,26130.4964,50.0,26107.007,26105.5158,,,1.0,FALSE,TRUE,FALSE,BELOW,BULLISH,NEUTRAL,NEUTRAL,1,2,NEUTRAL,,,,,,,,,,,,RSI_NOT_READY,,FALSE,,,,,,,,,,,,,10000.0,0,SKIP_RSI_WARMUP,15,0
