Timestamp,Spot_LTP,Fut_LTP,Fut_Open,Fut_High,Fut_Low,RSI,RSI_Ready,VWAP,EMA5,EMA13,Candle_Body,Candle_Green,ATM_Strike,PCR,Total_CE_OI,Total_PE_OI,CE_Symbol,CE_Strike,CE_LTP,CE_OI,CE_Delta,CE_Gamma,CE_Theta,CE_Vega,CE_IV,PE_Symbol,PE_Strike,PE_LTP,PE_OI,PE_Delta,PE_Gamma,PE_Theta,PE_Vega,PE_IV
13:39:40,25916.15,26085.0,26087.0,26088.0,26085.0,71.2,True,26082.56,25915.56,25910.19,2.0,False,25900,0.69,1039999,715145,NIFTY2610625900CE,25900,153.5,42175,0.5977,0.0013,-7.9164,13.986,8.01,NIFTY2610625900PE,25900,83.95,54462,-0.4023,0.0013,-7.9164,13.986,8.01
13:39:47,25916.65,26088.0,26087.0,26088.0,26085.0,71.7,True,26082.56,25915.73,25910.26,1.0,True,25900,0.69,1039999,715104,NIFTY2610625900CE,25900,153.4,42175,0.5969,0.0013,-7.9295,13.9932,8.02,NIFTY2610625900PE,25900,83.85,54462,-0.4031,0.0013,-7.9295,13.9932,8.02
13:39:58,25918.3,26085.0,26087.0,26088.0,26085.0,73.1,True,26082.56,25916.28,25910.5,2.0,False,25900,0.69,1039999,715104,NIFTY2610625900CE,25900,154.1,42175,0.5974,0.0013,-7.915,13.9878,8.01,NIFTY2610625900PE,25900,83.05,54462,-0.4026,0.0013,-7.915,13.9878,8.01
13:40:09,25918.5,26087.3,26085.1,26089.0,26085.1,73.3,True,26082.56,25917.02,25911.64,2.2,True,25900,0.69,1040012,715098,NIFTY2610625900CE,25900,154.2,42175,0.5994,0.0013,-7.9042,13.971,8.01,NIFTY2610625900PE,25900,83.45,54462,-0.4006,0.0013,-7.9042,13.971,8.01
13:40:19,25919.65,26088.4,26085.1,26089.0,26085.1,74.2,True,26082.56,25917.4,25911.8,3.3,True,25900,0.69,1040012,715050,NIFTY2610625900CE,25900,155,42175,0.5988,0.0013,-7.9098,13.9759,8.01,NIFTY2610625900PE,25900,82.5,54462,-0.4012,0.0013,-7.9098,13.9759,8.01
13:40:32,25921.25,26088.0,26085.1,26089.4,26085.1,75.5,True,26082.57,25917.94,25912.03,2.9,True,25900,0.69,1039936,715050,NIFTY2610625900CE,25900,155.75,42175,0.6008,0.0013,-7.8864,13.9581,8.0,NIFTY2610625900PE,25900,82.05,54462,-0.3992,0.0013,-7.8864,13.9581,8.0
13:40:45,25922.95,26092.0,26085.1,26093.0,26085.1,76.7,True,26082.57,25918.5,25912.27,6.9,True,25900,0.69,1039936,715050,NIFTY2610625900CE,25900,156.5,42175,0.6029,0.0013,-7.8772,13.9398,8.0,NIFTY2610625900PE,25900,81.6,54462,-0.3971,0.0013,-7.8772,13.9398,8.0
13:40:56,25923.55,26093.0,26085.1,26093.0,26085.1,77.0,True,26082.57,25918.7,25912.36,7.9,True,25900,0.69,1039935,715065,NIFTY2610625900CE,25900,157.95,42175,0.6044,0.0013,-7.8539,13.9264,7.98,NIFTY2610625900PE,25900,80.3,54462,-0.3956,0.0013,-7.8539,13.9264,7.98
13:41:08,25924.05,26093.0,26092.5,26095.0,26092.5,77.4,True,26082.59,25920.49,25914.03,0.5,True,25900,0.69,1039932,715065,NIFTY2610625900CE,25900,156.55,42175,0.605,0.0013,-7.8559,13.9196,7.99,NIFTY2610625900PE,25900,81.1,54462,-0.395,0.0013,-7.8559,13.9196,7.99
13:41:19,25924.2,26093.0,26092.5,26095.0,26092.5,77.5,True,26082.59,25920.54,25914.05,0.5,True,25900,0.69,1039932,715065,NIFTY2610625900CE,25900,157.25,42175,0.607,0.0013,-7.8534,13.9013,7.99,NIFTY2610625900PE,25900,80.6,54462,-0.393,0.0013,-7.8534,13.9013,7.99
