Timestamp,Status,Reason,Nifty_LTP,EMA_5,EMA_13,EMA_Diff,Target_Strike,Active_Symbol,Opt_Current,Opt_Entry,Opt_Exit,Nifty_Entry,Nifty_Exit,Balance,Daily_PnL
10:46:53,SCANNING,WATCH_PE,26000.9,26012.32,26026.78,-14.46,26000,NSE-NIFTY-30Jan25-26000-PE,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
10:46:55,SCANNING,WATCH_PE,26000.95,26012.34,26026.78,-14.45,26000,NSE-NIFTY-30Jan25-26000-PE,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
10:46:58,SCANNING,WATCH_PE,26000.95,26012.34,26026.78,-14.45,26000,NSE-NIFTY-30Jan25-26000-PE,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
10:47:00,SCANNING,WATCH_PE,26000.95,26012.34,26026.78,-14.45,26000,NSE-NIFTY-30Jan25-26000-PE,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
10:47:02,SCANNING,WATCH_PE,26001.35,26012.47,26026.84,-14.37,26000,NSE-NIFTY-30Jan25-26000-PE,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
10:47:05,SCANNING,WATCH_PE,26000.9,26012.32,26026.78,-14.46,26000,NSE-NIFTY-30Jan25-26000-PE,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
10:47:08,SCANNING,WATCH_PE,26000.4,26012.15,26026.7,-14.55,26000,NSE-NIFTY-30Jan25-26000-PE,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
10:47:11,SCANNING,WATCH_PE,25997.8,26011.29,26026.33,-15.05,26000,NSE-NIFTY-30Jan25-26000-PE,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
10:47:14,SCANNING,WATCH_PE,25998.25,26011.44,26026.4,-14.96,26000,NSE-NIFTY-30Jan25-26000-PE,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
10:47:16,SCANNING,WATCH_PE,26001.0,26012.35,26026.79,-14.44,26000,NSE-NIFTY-30Jan25-26000-PE,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
10:47:19,SCANNING,WATCH_PE,25999.8,26011.95,26026.62,-14.67,26000,NSE-NIFTY-30Jan25-26000-PE,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
10:47:22,SCANNING,WATCH_PE,26001.3,26012.45,26026.83,-14.38,26000,NSE-NIFTY-30Jan25-26000-PE,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
10:47:25,SCANNING,WATCH_PE,26000.55,26012.2,26026.73,-14.52,26000,NSE-NIFTY-30Jan25-26000-PE,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
10:47:27,SCANNING,WATCH_PE,25999.3,26011.79,26026.55,-14.76,26000,NSE-NIFTY-30Jan25-26000-PE,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
10:47:30,SCANNING,WATCH_PE,26000.45,26012.17,26026.71,-14.54,26000,NSE-NIFTY-30Jan25-26000-PE,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
10:47:32,SCANNING,WATCH_PE,26001.15,26012.4,26026.81,-14.41,26000,NSE-NIFTY-30Jan25-26000-PE,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
10:47:37,SCANNING,WATCH_PE,26001.0,26012.35,26026.79,-14.44,26000,NSE-NIFTY-30Jan25-26000-PE,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
10:47:39,SCANNING,WATCH_PE,26000.95,26012.34,26026.78,-14.45,26000,NSE-NIFTY-30Jan25-26000-PE,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
10:47:41,SCANNING,WATCH_PE,25999.6,26011.89,26026.59,-14.7,26000,NSE-NIFTY-30Jan25-26000-PE,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
10:47:44,SCANNING,WATCH_PE,26001.85,26012.64,26026.91,-14.28,26000,NSE-NIFTY-30Jan25-26000-PE,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
10:47:46,SCANNING,WATCH_PE,26001.35,26012.47,26026.84,-14.37,26000,NSE-NIFTY-30Jan25-26000-PE,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
