Timestamp,Strike,Type,Symbol,LTP,OI,OI_Change,Volume,Delta,Gamma,Theta,Vega,IV
2025-12-24 11:43:32,23300.0,PE,NIFTY25DEC23300PE,1.6,293,0,987,-0.0043,0,-1.211,0.4272,34.9079
2025-12-24 11:43:32,23350.0,CE,NIFTY25DEC23350CE,2851.75,1,0,0,0.9956,0,-1.2391,0.4429,34.4524
2025-12-24 11:43:32,23350.0,PE,NIFTY25DEC23350PE,1.65,218,0,361,-0.0044,0,-1.2391,0.4429,34.4524
2025-12-24 11:43:32,23400.0,CE,NIFTY25DEC23400CE,2801.8,1,0,0,0.9957,0,-1.1726,0.429,33.6538
2025-12-24 11:43:32,23400.0,PE,NIFTY25DEC23400PE,1.55,512,0,2343,-0.0043,0,-1.1726,0.429,33.6538
2025-12-24 11:43:32,23450.0,CE,NIFTY25DEC23450CE,2751.85,8,0,0,0.9955,0,-1.2006,0.4453,33.2001
2025-12-24 11:43:32,23450.0,PE,NIFTY25DEC23450PE,1.6,242,0,337,-0.0045,0,-1.2006,0.4453,33.2001
2025-12-24 11:43:32,23500.0,CE,NIFTY25DEC23500CE,2725,2089,0,110,0.9956,0,-1.1657,0.4414,32.5196
2025-12-24 11:43:32,23500.0,PE,NIFTY25DEC23500PE,1.55,22561,0,39775,-0.0044,0,-1.1657,0.4414,32.5196
2025-12-24 11:43:32,23550.0,CE,NIFTY25DEC23550CE,2652,1,0,0,0.9953,0,-1.2244,0.4687,32.1713
2025-12-24 11:43:32,23550.0,PE,NIFTY25DEC23550PE,1.65,227,0,294,-0.0047,0,-1.2244,0.4687,32.1713
2025-12-24 11:43:32,23600.0,CE,NIFTY25DEC23600CE,2617,31,0,0,0.9953,0,-1.1897,0.4651,31.4957
2025-12-24 11:43:32,23600.0,PE,NIFTY25DEC23600PE,1.6,978,0,2672,-0.0047,0,-1.1897,0.4651,31.4957
2025-12-24 11:43:32,23650.0,CE,NIFTY25DEC23650CE,2552.1,2,0,0,0.995,0,-1.2474,0.4933,31.1353
2025-12-24 11:43:32,23650.0,PE,NIFTY25DEC23650PE,1.7,147,0,171,-0.005,0,-1.2474,0.4933,31.1353
2025-12-24 11:43:32,23700.0,CE,NIFTY25DEC23700CE,2502.15,43,0,0,0.995,0,-1.2128,0.4902,30.464
2025-12-24 11:43:32,23700.0,PE,NIFTY25DEC23700PE,1.65,1213,0,2849,-0.005,0,-1.2128,0.4902,30.464
2025-12-24 11:43:32,23750.0,CE,NIFTY25DEC23750CE,2452.2,4,0,0,0.9948,0,-1.2391,0.5087,29.9948
2025-12-24 11:43:32,23750.0,PE,NIFTY25DEC23750PE,1.7,155,0,282,-0.0052,0,-1.2391,0.5087,29.9948
2025-12-24 11:43:32,23800.0,CE,NIFTY25DEC23800CE,2402.25,46,0,0,0.9946,0,-1.265,0.5277,29.5207
2025-12-24 11:43:32,23800.0,PE,NIFTY25DEC23800PE,1.75,6637,0,7215,-0.0054,0,-1.265,0.5277,29.5207
2025-12-24 11:43:32,23850.0,CE,NIFTY25DEC23850CE,2352.3,1,0,0,0.9944,0,-1.2904,0.5471,29.0418
2025-12-24 11:43:32,23850.0,PE,NIFTY25DEC23850PE,1.8,238,0,623,-0.0056,0,-1.2904,0.5471,29.0418
2025-12-24 11:43:32,23900.0,CE,NIFTY25DEC23900CE,2302.35,15,0,0,0.9945,0,-1.2262,0.5338,28.2857
2025-12-24 11:43:32,23900.0,PE,NIFTY25DEC23900PE,1.7,1672,0,5523,-0.0055,0,-1.2262,0.5338,28.2857
2025-12-24 11:43:32,23950.0,CE,NIFTY25DEC23950CE,2252.4,1,0,0,0.9947,0,-1.1616,0.5196,27.528
2025-12-24 11:43:32,23950.0,PE,NIFTY25DEC23950PE,1.6,325,0,960,-0.0053,0,-1.1616,0.5196,27.528
2025-12-24 11:43:32,24000.0,CE,NIFTY25DEC24000CE,2224.8,11319,0,555,0.9942,0,-1.2467,0.5636,27.2366
2025-12-24 11:43:32,24000.0,PE,NIFTY25DEC24000PE,1.75,65447,0,38373,-0.0058,0,-1.2467,0.5636,27.2366
2025-12-24 11:43:32,24050.0,CE,NIFTY25DEC24050CE,2152.5,3,0,0,0.9939,0,-1.2712,0.5851,26.7522
2025-12-24 11:43:32,24050.0,PE,NIFTY25DEC24050PE,1.8,474,0,1580,-0.0061,0,-1.2712,0.5851,26.7522
2025-12-24 11:43:32,24100.0,CE,NIFTY25DEC24100CE,2102.55,24,0,0,0.9939,0,-1.2369,0.5837,26.0952
2025-12-24 11:43:32,24100.0,PE,NIFTY25DEC24100PE,1.75,2380,0,7012,-0.0061,0,-1.2369,0.5837,26.0952
2025-12-24 11:43:32,24150.0,CE,NIFTY25DEC24150CE,2052.6,2,0,0,0.9935,0,-1.2898,0.6183,25.6894
2025-12-24 11:43:32,24150.0,PE,NIFTY25DEC24150PE,1.85,439,0,1628,-0.0065,0,-1.2898,0.6183,25.6894
2025-12-24 11:43:32,24200.0,CE,NIFTY25DEC24200CE,2042.65,71,0,10,0.9935,0,-1.2556,0.6176,25.0355
2025-12-24 11:43:32,24200.0,PE,NIFTY25DEC24200PE,1.8,4542,0,11836,-0.0065,0,-1.2556,0.6176,25.0355
2025-12-24 11:43:32,24250.0,CE,NIFTY25DEC24250CE,1952.7,3,0,0,0.9933,0,-1.2788,0.6416,24.5418
2025-12-24 11:43:32,24250.0,PE,NIFTY25DEC24250PE,1.8,914,0,4412,-0.0067,0,-1.2788,0.6416,24.5418
2025-12-24 11:43:32,24300.0,CE,NIFTY25DEC24300CE,1902.75,25,0,0,0.9931,0,-1.2731,0.6541,23.9679
2025-12-24 11:43:32,24300.0,PE,NIFTY25DEC24300PE,1.85,3462,0,7387,-0.0069,0,-1.2731,0.6541,23.9679
2025-12-24 11:43:32,24350.0,CE,NIFTY25DEC24350CE,1890.9,8,0,1,0.9927,0,-1.3234,0.6922,23.5409
2025-12-24 11:43:32,24350.0,PE,NIFTY25DEC24350PE,1.95,689,0,1790,-0.0073,0,-1.3234,0.6922,23.5409
2025-12-24 11:43:32,24400.0,CE,NIFTY25DEC24400CE,1856.75,40,0,3,0.9925,0,-1.317,0.7062,22.9636
2025-12-24 11:43:32,24400.0,PE,NIFTY25DEC24400PE,1.95,3252,0,6859,-0.0075,0,-1.317,0.7062,22.9636
2025-12-24 11:43:32,24450.0,CE,NIFTY25DEC24450CE,1752.95,6,0,0,0.9925,0,-1.2829,0.7079,22.3161
2025-12-24 11:43:32,24450.0,PE,NIFTY25DEC24450PE,1.9,794,0,2305,-0.0075,0,-1.2829,0.7079,22.3161
2025-12-24 11:43:32,24500.0,CE,NIFTY25DEC24500CE,1746.9,2304,0,64,0.9923,0,-1.2763,0.723,21.7397
2025-12-24 11:43:32,24500.0,PE,NIFTY25DEC24500PE,1.95,54535,0,54239,-0.0077,0,-1.2763,0.723,21.7397
2025-12-24 11:43:32,24550.0,CE,NIFTY25DEC24550CE,1653.05,13,0,0,0.9918,0,-1.3242,0.7657,21.2959
2025-12-24 11:43:32,24550.0,PE,NIFTY25DEC24550PE,2,1508,0,6837,-0.0082,0,-1.3242,0.7657,21.2959
2025-12-24 11:43:32,24600.0,CE,NIFTY25DEC24600CE,1603.1,112,0,0,0.9916,0,-1.317,0.7829,20.7158
2025-12-24 11:43:32,24600.0,PE,NIFTY25DEC24600PE,2,8046,0,20869,-0.0084,0,-1.317,0.7829,20.7158
2025-12-24 11:43:32,24650.0,CE,NIFTY25DEC24650CE,1570.5,25,0,1,0.991,0,-1.3629,0.8284,20.258
2025-12-24 11:43:32,24650.0,PE,NIFTY25DEC24650PE,2.1,1780,0,7564,-0.009,0,-1.3629,0.8284,20.258
2025-12-24 11:43:32,24700.0,CE,NIFTY25DEC24700CE,1558.25,119,0,11,0.9906,0,-1.3811,0.8619,19.7325
2025-12-24 11:43:32,24700.0,PE,NIFTY25DEC24700PE,2.15,14992,0,30534,-0.0094,0,-1.3811,0.8619,19.7325
2025-12-24 11:43:32,24750.0,CE,NIFTY25DEC24750CE,1453.25,18,0,0,0.9901,0,-1.3986,0.8969,19.2026
2025-12-24 11:43:32,24750.0,PE,NIFTY25DEC24750PE,2.2,4060,0,9464,-0.0099,0,-1.3986,0.8969,19.2026
2025-12-24 11:43:32,24800.0,CE,NIFTY25DEC24800CE,1430,320,0,74,0.9897,0,-1.4153,0.9336,18.6684
2025-12-24 11:43:32,24800.0,PE,NIFTY25DEC24800PE,2.25,27455,0,55481,-0.0103,0,-1.4153,0.9336,18.6684
2025-12-24 11:43:32,24850.0,CE,NIFTY25DEC24850CE,1353.4,9,0,0,0.9892,0,-1.4312,0.9721,18.1299
2025-12-24 11:43:32,24850.0,PE,NIFTY25DEC24850PE,2.3,3988,0,7451,-0.0108,0,-1.4312,0.9721,18.1299
2025-12-24 11:43:32,24900.0,CE,NIFTY25DEC24900CE,1342,328,0,9,0.9887,0,-1.4462,1.0126,17.587
2025-12-24 11:43:32,24900.0,PE,NIFTY25DEC24900PE,2.3,16334,0,40096,-0.0113,0,-1.4462,1.0126,17.587
2025-12-24 11:43:32,24950.0,CE,NIFTY25DEC24950CE,1279.25,14,0,4,0.9877,0.0001,-1.5093,1.0848,17.1331
2025-12-24 11:43:32,24950.0,PE,NIFTY25DEC24950PE,2.45,4954,0,15994,-0.0123,0.0001,-1.5093,1.0848,17.1331
2025-12-24 11:43:32,25000.0,CE,NIFTY25DEC25000CE,1228.35,19117,0,797,0.9869,0.0001,-1.5458,1.1452,16.6215
2025-12-24 11:43:32,25000.0,PE,NIFTY25DEC25000PE,2.55,121170,0,175240,-0.0131,0.0001,-1.5458,1.1452,16.6215
2025-12-24 11:43:32,25050.0,CE,NIFTY25DEC25050CE,1195.65,18,0,2,0.9865,0.0001,-1.5333,1.1788,16.0176
2025-12-24 11:43:32,25050.0,PE,NIFTY25DEC25050PE,2.6,5345,0,22673,-0.0135,0.0001,-1.5333,1.1788,16.0176
2025-12-24 11:43:32,25100.0,CE,NIFTY25DEC25100CE,1136.95,547,0,42,0.9858,0.0001,-1.5437,1.2301,15.4532
2025-12-24 11:43:32,25100.0,PE,NIFTY25DEC25100PE,2.65,22872,0,59480,-0.0142,0.0001,-1.5437,1.2301,15.4532
2025-12-24 11:43:32,25150.0,CE,NIFTY25DEC25150CE,1048.9,18,0,0,0.9844,0.0001,-1.6216,1.3314,14.9988
2025-12-24 11:43:32,25150.0,PE,NIFTY25DEC25150PE,2.9,7187,0,27767,-0.0156,0.0001,-1.6216,1.3314,14.9988
2025-12-24 11:43:32,25200.0,CE,NIFTY25DEC25200CE,1046.3,1344,0,139,0.9834,0.0001,-1.651,1.4064,14.4558
2025-12-24 11:43:32,25200.0,PE,NIFTY25DEC25200PE,2.95,58392,0,137260,-0.0166,0.0001,-1.651,1.4064,14.4558
2025-12-24 11:43:32,25250.0,CE,NIFTY25DEC25250CE,980.25,77,0,21,0.9816,0.0001,-1.7434,1.533,14.0038
2025-12-24 11:43:32,25250.0,PE,NIFTY25DEC25250PE,3.15,13893,0,38862,-0.0184,0.0001,-1.7434,1.533,14.0038
2025-12-24 11:43:32,25300.0,CE,NIFTY25DEC25300CE,937.7,1237,0,225,0.9806,0.0001,-1.7458,1.6034,13.4079
2025-12-24 11:43:32,25300.0,PE,NIFTY25DEC25300PE,3.25,55230,0,155566,-0.0194,0.0001,-1.7458,1.6034,13.4079
2025-12-24 11:43:32,25350.0,CE,NIFTY25DEC25350CE,890.9,59,0,11,0.9786,0.0001,-1.8295,1.7432,12.9237
2025-12-24 11:43:32,25350.0,PE,NIFTY25DEC25350PE,3.5,12853,0,51353,-0.0214,0.0001,-1.8295,1.7432,12.9237
2025-12-24 11:43:32,25400.0,CE,NIFTY25DEC25400CE,849.8,2363,0,522,0.9769,0.0001,-1.8673,1.8594,12.3661
2025-12-24 11:43:32,25400.0,PE,NIFTY25DEC25400PE,3.65,48988,0,159159,-0.0231,0.0001,-1.8673,1.8594,12.3661
2025-12-24 11:43:32,25450.0,CE,NIFTY25DEC25450CE,791.65,92,0,78,0.9744,0.0001,-1.9595,2.0325,11.8715
2025-12-24 11:43:32,25450.0,PE,NIFTY25DEC25450PE,4,17622,0,65469,-0.0256,0.0001,-1.9595,2.0325,11.8715
2025-12-24 11:43:32,25500.0,CE,NIFTY25DEC25500CE,726.95,8234,0,1548,0.9733,0.0002,-1.9118,2.1034,11.1921
2025-12-24 11:43:32,25500.0,PE,NIFTY25DEC25500PE,4.25,110669,0,196332,-0.0267,0.0002,-1.9118,2.1034,11.1921
2025-12-24 11:43:32,25550.0,CE,NIFTY25DEC25550CE,688.85,239,0,168,0.968,0.0002,-2.156,2.4455,10.8562
2025-12-24 11:43:32,25550.0,PE,NIFTY25DEC25550PE,4.65,26130,0,69469,-0.032,0.0002,-2.156,2.4455,10.8562
2025-12-24 11:43:32,25600.0,CE,NIFTY25DEC25600CE,630,4441,0,1131,0.9645,0.0002,-2.2222,2.6586,10.2928
2025-12-24 11:43:32,25600.0,PE,NIFTY25DEC25600PE,4.95,46853,0,105260,-0.0355,0.0002,-2.2222,2.6586,10.2928
2025-12-24 11:43:32,25650.0,CE,NIFTY25DEC25650CE,597,487,0,353,0.9602,0.0003,-2.312,2.922,9.7431
2025-12-24 11:43:32,25650.0,PE,NIFTY25DEC25650PE,5.4,18538,0,58105,-0.0398,0.0003,-2.312,2.922,9.7431
2025-12-24 11:43:32,25700.0,CE,NIFTY25DEC25700CE,528.35,9331,0,2516,0.9657,0.0003,-1.7943,2.5855,8.5457
2025-12-24 11:43:32,25700.0,PE,NIFTY25DEC25700PE,6.15,68977,0,151268,-0.0343,0.0003,-1.7943,2.5855,8.5457
2025-12-24 11:43:32,25750.0,CE,NIFTY25DEC25750CE,477.8,1635,0,749,0.9444,0.0004,-2.7432,3.8225,8.8369
2025-12-24 11:43:32,25750.0,PE,NIFTY25DEC25750PE,7.2,31359,0,92957,-0.0556,0.0004,-2.7432,3.8225,8.8369
2025-12-24 11:43:32,25800.0,CE,NIFTY25DEC25800CE,429.55,16430,0,12801,0.9356,0.0004,-2.8826,4.2878,8.2785
2025-12-24 11:43:32,25800.0,PE,NIFTY25DEC25800PE,8.75,109969,0,229239,-0.0644,0.0004,-2.8826,4.2878,8.2785
2025-12-24 11:43:32,25850.0,CE,NIFTY25DEC25850CE,384.1,2602,0,3066,0.9131,0.0006,-3.5643,5.3875,8.1467
