datetime,open,high,low,close,volume,oi
2025-12-17T09:15:00,85.2,85.8,75.8,79.95,2385150,
2025-12-17T09:16:00,81.55,87.85,79.8,87.85,2220000,84146.0
2025-12-17T09:17:00,88.0,89.55,85.8,88.2,1761750,
2025-12-17T09:18:00,87.75,89.0,85.15,87.2,1232475,
2025-12-17T09:19:00,88.2,88.2,84.3,85.15,903750,92843.0
2025-12-17T09:20:00,85.6,88.7,83.85,87.95,1174275,
2025-12-17T09:21:00,88.3,91.55,88.05,90.8,1694025,
2025-12-17T09:22:00,91.15,100.75,91.15,100.0,2669025,96092.0
2025-12-17T09:23:00,100.85,100.85,97.35,97.5,1485000,
2025-12-17T09:24:00,97.4,102.6,97.2,101.3,1614600,
2025-12-17T09:25:00,101.45,102.4,99.05,99.5,1427025,99954.0
2025-12-17T09:26:00,99.85,103.0,99.25,100.15,1121250,
2025-12-17T09:27:00,100.7,103.1,100.45,100.65,749475,
2025-12-17T09:28:00,100.1,101.75,99.2,99.75,679425,102663.0
2025-12-17T09:29:00,99.5,100.9,95.95,95.95,995325,
2025-12-17T09:30:00,95.9,97.7,91.5,93.75,1693275,
2025-12-17T09:31:00,93.85,95.35,92.55,94.9,971775,107293.0
2025-12-17T09:32:00,94.8,99.25,93.7,99.0,1169325,
2025-12-17T09:33:00,98.75,100.0,97.95,99.1,1350150,
2025-12-17T09:34:00,98.65,103.6,98.0,102.55,1522425,113262.0
2025-12-17T09:35:00,101.95,104.8,101.8,103.0,1517175,
2025-12-17T09:36:00,103.15,103.75,100.05,100.05,899550,
2025-12-17T09:37:00,100.25,103.85,100.25,100.45,875700,113704.0
2025-12-17T09:38:00,100.6,101.95,99.25,99.75,628350,
2025-12-17T09:39:00,99.5,100.2,97.2,98.0,665025,
2025-12-17T09:40:00,97.85,99.5,96.15,99.4,698550,114248.0
2025-12-17T09:41:00,99.45,100.35,97.45,98.3,640500,
2025-12-17T09:42:00,97.95,98.65,94.1,95.05,906300,
2025-12-17T09:43:00,94.55,94.7,86.45,88.0,1881900,115655.0
2025-12-17T09:44:00,87.9,88.45,82.95,83.45,1769625,
2025-12-17T09:45:00,82.75,85.5,81.9,83.6,1110450,
2025-12-17T09:46:00,83.65,87.5,83.05,85.15,1179750,121110.0
2025-12-17T09:47:00,85.2,85.65,81.65,81.65,855450,
2025-12-17T09:48:00,81.0,81.0,76.4,77.0,1819200,
2025-12-17T09:49:00,76.8,80.25,76.8,78.3,948000,125227.0
2025-12-17T09:50:00,78.1,79.2,77.5,78.4,594600,
2025-12-17T09:51:00,78.65,79.0,77.45,77.85,514725,
2025-12-17T09:52:00,77.25,77.75,74.2,75.85,1277700,132064.0
2025-12-17T09:53:00,75.5,76.65,75.3,75.9,610050,
2025-12-17T09:54:00,75.65,79.45,75.65,78.8,818925,
2025-12-17T09:55:00,78.45,79.55,76.95,79.55,737850,133431.0
2025-12-17T09:56:00,79.2,81.0,78.75,80.35,1049325,
2025-12-17T09:57:00,80.45,81.9,78.5,78.5,926400,
2025-12-17T09:58:00,78.7,79.45,76.85,79.1,707475,135728.0
2025-12-17T09:59:00,79.2,81.6,77.45,77.45,655875,
2025-12-17T10:00:00,77.8,79.1,76.85,77.0,460875,
2025-12-17T10:01:00,76.9,77.15,75.55,76.3,640650,137517.0
2025-12-17T10:02:00,76.1,77.0,75.05,75.9,458925,
2025-12-17T10:03:00,76.3,76.4,71.85,73.8,1007025,
2025-12-17T10:04:00,74.15,74.3,70.15,70.2,1218150,137554.0
2025-12-17T10:05:00,70.0,71.25,68.7,70.4,1057125,
2025-12-17T10:06:00,70.65,70.8,64.9,64.9,1333050,
2025-12-17T10:07:00,65.15,65.9,64.5,65.6,1054875,138410.0
2025-12-17T10:08:00,65.7,68.8,65.5,68.05,704850,
2025-12-17T10:09:00,68.35,69.6,67.95,69.1,596925,
2025-12-17T10:10:00,68.9,69.15,66.5,66.6,467625,141848.0
2025-12-17T10:11:00,66.7,67.75,66.5,66.95,335400,
2025-12-17T10:12:00,67.0,69.75,66.25,69.3,563100,
2025-12-17T10:13:00,69.25,69.9,68.35,68.6,417900,144064.0
2025-12-17T10:14:00,68.55,69.55,67.1,68.5,344025,
2025-12-17T10:15:00,68.8,68.8,66.85,67.5,306150,
2025-12-17T10:16:00,67.6,68.0,67.0,67.15,242850,145337.0
2025-12-17T10:17:00,67.05,68.3,66.0,66.3,411075,
2025-12-17T10:18:00,67.15,70.4,66.9,70.0,600525,
2025-12-17T10:19:00,70.25,72.15,70.1,71.05,886200,144549.0
2025-12-17T10:20:00,71.0,71.15,69.1,70.65,396900,
2025-12-17T10:21:00,70.6,71.25,67.65,67.75,460125,
2025-12-17T10:22:00,67.6,68.7,66.05,66.25,408300,146295.0
2025-12-17T10:23:00,66.1,66.85,65.5,65.8,365775,
2025-12-17T10:24:00,66.2,66.3,63.9,63.9,526050,
2025-12-17T10:25:00,63.45,65.25,63.2,64.65,754200,146358.0
2025-12-17T10:26:00,64.6,66.55,64.6,66.55,410325,
2025-12-17T10:27:00,66.75,66.95,64.6,65.1,413250,
2025-12-17T10:28:00,65.05,65.75,63.15,63.15,411075,148577.0
2025-12-17T10:29:00,62.45,62.75,61.1,62.5,781200,
2025-12-17T10:30:00,62.8,63.8,61.95,63.35,422850,
2025-12-17T10:31:00,63.3,64.1,62.75,63.9,308025,150054.0
2025-12-17T10:32:00,64.0,64.55,63.3,64.2,320100,
2025-12-17T10:33:00,63.9,64.95,63.9,64.75,353400,
2025-12-17T10:34:00,65.2,66.7,63.95,63.95,533100,150501.0
2025-12-17T10:35:00,64.1,64.7,62.75,62.8,302250,
2025-12-17T10:36:00,63.0,63.9,62.55,63.6,247500,
2025-12-17T10:37:00,64.0,64.65,63.3,63.55,260475,151545.0
2025-12-17T10:38:00,63.9,64.1,62.85,63.25,260400,
2025-12-17T10:39:00,63.4,64.6,62.9,64.15,187500,
2025-12-17T10:40:00,64.55,64.55,62.75,63.2,301350,152244.0
2025-12-17T10:41:00,63.1,64.6,63.1,64.2,182100,
2025-12-17T10:42:00,64.35,65.4,63.65,65.15,260025,
2025-12-17T10:43:00,65.1,66.25,64.6,64.95,534675,151579.0
2025-12-17T10:44:00,64.75,65.4,63.5,65.4,258450,
2025-12-17T10:45:00,65.15,65.4,63.2,64.85,248925,
2025-12-17T10:46:00,65.0,65.95,64.0,65.4,267150,154626.0
2025-12-17T10:47:00,65.55,67.3,65.55,66.35,467700,
2025-12-17T10:48:00,66.6,67.1,66.15,66.5,327075,
2025-12-17T10:49:00,66.45,67.2,65.05,65.5,366150,155046.0
2025-12-17T10:50:00,65.95,66.65,65.5,65.85,149400,
2025-12-17T10:51:00,65.65,65.95,63.65,64.65,441600,
2025-12-17T10:52:00,64.4,64.75,63.05,63.5,317475,156013.0
2025-12-17T10:53:00,63.3,65.8,62.7,65.8,296625,
2025-12-17T10:54:00,65.75,65.8,62.45,62.45,214050,
2025-12-17T10:55:00,62.8,63.0,59.15,59.15,988650,156626.0
2025-12-17T10:56:00,59.4,60.9,59.0,60.9,631425,
2025-12-17T10:57:00,60.8,61.55,58.75,61.45,605475,
2025-12-17T10:58:00,61.6,63.5,61.5,62.9,524400,155358.0
2025-12-17T10:59:00,63.15,64.35,62.4,63.9,465525,
2025-12-17T11:00:00,64.35,65.4,63.2,63.25,480975,
2025-12-17T11:01:00,63.3,64.8,63.15,64.2,384900,156870.0
2025-12-17T11:02:00,64.45,66.45,64.05,66.15,411225,
2025-12-17T11:03:00,66.25,66.25,63.35,64.95,399375,
2025-12-17T11:04:00,65.2,65.2,63.75,63.9,186375,156309.0
2025-12-17T11:05:00,63.8,64.95,63.25,64.75,157875,
2025-12-17T11:06:00,64.7,65.85,63.9,65.6,206325,
2025-12-17T11:07:00,65.5,66.8,64.85,66.2,347700,156562.0
2025-12-17T11:08:00,66.15,66.75,65.65,65.8,265350,
2025-12-17T11:09:00,66.0,66.35,65.35,65.9,182925,
2025-12-17T11:10:00,65.75,67.2,65.75,65.95,313950,155752.0
2025-12-17T11:11:00,65.75,66.0,64.5,65.7,332250,
2025-12-17T11:12:00,65.6,67.35,65.45,66.2,351225,
2025-12-17T11:13:00,66.25,67.5,65.25,67.1,260775,156293.0
2025-12-17T11:14:00,67.3,69.55,66.7,69.55,964875,
2025-12-17T11:15:00,69.25,70.0,68.8,69.2,710925,
2025-12-17T11:16:00,69.05,69.85,69.0,69.4,546150,153394.0
2025-12-17T11:17:00,69.2,70.5,69.0,69.6,474675,
2025-12-17T11:18:00,69.55,70.4,67.3,68.05,625800,
2025-12-17T11:19:00,68.25,68.3,66.2,67.3,487725,152559.0
2025-12-17T11:20:00,67.15,67.15,64.3,64.3,632100,
2025-12-17T11:21:00,64.25,66.65,63.3,66.4,500325,
2025-12-17T11:22:00,66.3,66.95,65.8,66.8,317250,151249.0
2025-12-17T11:23:00,65.8,66.0,63.8,63.8,280425,
2025-12-17T11:24:00,64.05,64.95,63.4,64.6,236850,
2025-12-17T11:25:00,64.7,65.2,62.9,63.1,307875,150508.0
