timestamp,nifty_ltp,expiry,atm_strike,ce_symbol,pe_symbol,atm_ce_ltp,atm_pe_ltp,open,high,low,close
2025-11-07 14:13:00,25473.7,11Nov25,25450,NSE-NIFTY-11Nov25-25450-CE,NSE-NIFTY-11Nov25-25450-PE,109.8,72.7,25472.7,25475.05,25471.65,25473.7
2025-11-07 14:14:00,25474.0,11Nov25,25450,NSE-NIFTY-11Nov25-25450-CE,NSE-NIFTY-11Nov25-25450-PE,111.7,71.55,25474.35,25476.35,25472.6,25474.0
2025-11-07 14:15:00,25470.55,11Nov25,25450,NSE-NIFTY-11Nov25-25450-CE,NSE-NIFTY-11Nov25-25450-PE,109.6,73.4,25474.95,25480.4,25469.3,25470.55
2025-11-07 14:16:00,25479.7,11Nov25,25500,NSE-NIFTY-11Nov25-25500-CE,NSE-NIFTY-11Nov25-25500-PE,85.85,93.5,25470.45,25481.8,25470.45,25479.7
2025-11-07 14:17:00,25474.6,11Nov25,25450,NSE-NIFTY-11Nov25-25450-CE,NSE-NIFTY-11Nov25-25450-PE,111.7,71.0,25480.2,25483.45,25473.65,25474.6
2025-11-07 14:18:00,25476.75,11Nov25,25500,NSE-NIFTY-11Nov25-25500-CE,NSE-NIFTY-11Nov25-25500-PE,87.65,90.75,25474.6,25477.8,25474.1,25476.75
2025-11-07 14:19:00,25482.2,11Nov25,25500,NSE-NIFTY-11Nov25-25500-CE,NSE-NIFTY-11Nov25-25500-PE,88.95,88.8,25476.8,25482.75,25476.6,25482.2
2025-11-07 14:20:00,25489.5,11Nov25,25500,NSE-NIFTY-11Nov25-25500-CE,NSE-NIFTY-11Nov25-25500-PE,91.3,86.1,25482.5,25490.35,25482.5,25489.5
2025-11-07 14:21:00,25490.0,11Nov25,25500,NSE-NIFTY-11Nov25-25500-CE,NSE-NIFTY-11Nov25-25500-PE,90.95,85.9,25489.55,25492.8,25488.4,25490.0
2025-11-07 14:22:00,25490.4,11Nov25,25500,NSE-NIFTY-11Nov25-25500-CE,NSE-NIFTY-11Nov25-25500-PE,92.0,86.0,25489.75,25490.7,25487.2,25490.4
2025-11-07 14:23:00,25512.5,11Nov25,25500,NSE-NIFTY-11Nov25-25500-CE,NSE-NIFTY-11Nov25-25500-PE,109.4,73.2,25490.55,25513.55,25490.55,25512.5
2025-11-07 14:24:00,25516.2,11Nov25,25500,NSE-NIFTY-11Nov25-25500-CE,NSE-NIFTY-11Nov25-25500-PE,109.05,72.3,25513.15,25518.3,25512.85,25516.2
2025-11-07 14:25:00,25516.0,11Nov25,25500,NSE-NIFTY-11Nov25-25500-CE,NSE-NIFTY-11Nov25-25500-PE,107.4,72.65,25515.9,25520.65,25515.7,25516.0
2025-11-07 14:26:00,25521.3,11Nov25,25500,NSE-NIFTY-11Nov25-25500-CE,NSE-NIFTY-11Nov25-25500-PE,112.15,69.55,25516.2,25522.35,25515.3,25521.3
