Entry_Time,Exit_Time,Symbol,Type,Strike,Entry_Price,Exit_Price,Max_Price,PnL,PnL_Pct,Balance,Exit_Reason
10:49:25,11:06:17,NIFTY2610626200CE,CE,26200,80.4,77.6,85.1,-210.0,-3.48,19647.5,STOP_LOSS
11:11:24,11:12:30,NIFTY2610626150PE,PE,26150,67.2,63.75,67.8,-258.75,-5.13,19388.75,STOP_LOSS
11:14:07,11:15:00,NIFTY2610626150CE,CE,26150,110.75,108.2,110.75,-191.25,-2.3,19197.5,STOP_LOSS
11:16:26,11:16:55,NIFTY2610626150PE,PE,26150,68,65.2,68,-210.0,-4.12,18987.5,STOP_LOSS
11:21:27,11:22:28,NIFTY2610626150CE,CE,26150,110.25,107,110.35,-243.75,-2.95,18743.75,STOP_LOSS
11:27:52,11:29:07,NIFTY2610626150CE,CE,26150,109.7,105.4,110.9,-322.5,-3.92,18421.25,STOP_LOSS
11:33:10,11:38:18,NIFTY2610626150PE,PE,26150,68.05,65.2,70.45,-213.75,-4.19,18207.5,STOP_LOSS
11:39:59,11:43:54,NIFTY2610626150PE,PE,26150,68,73,73,375,7.35,18582.5,TARGET
11:44:59,11:54:41,NIFTY2610626150PE,PE,26150,76.25,73.3,78.95,-221.25,-3.87,18361.25,STOP_LOSS
11:56:47,11:59:05,NIFTY2610626150PE,PE,26150,75.4,72,75.4,-255.0,-4.51,18106.25,STOP_LOSS
12:01:25,12:01:42,NIFTY2610626150CE,CE,26150,98.65,95.8,98.65,-213.75,-2.89,17892.5,STOP_LOSS
12:38:23,12:45:46,NIFTY2610626150PE,PE,26150,76.95,74.25,79.95,-202.5,-3.51,19797.5,STOP_LOSS
13:12:35,13:14:12,NIFTY2610626150PE,PE,26150,72.95,69.4,73.05,-266.25,-4.87,19531.25,STOP_LOSS
13:15:52,13:20:56,NIFTY2610626150CE,CE,26150,95.8,92.35,96.65,-258.75,-3.6,19272.5,STOP_LOSS
13:22:06,13:29:38,NIFTY2610626150PE,PE,26150,72.2,69.4,76.6,-210.0,-3.88,19062.5,STOP_LOSS
13:38:12,13:39:52,NIFTY2610626150PE,PE,26150,73.65,71.15,73.8,-187.5,-3.39,18875.0,STOP_LOSS
13:40:52,13:45:06,NIFTY2610626150PE,PE,26150,72.85,69.5,73.6,-251.25,-4.6,18623.75,STOP_LOSS
13:46:42,13:57:55,NIFTY2610626150PE,PE,26150,71.65,68.85,74.95,-210.0,-3.91,18413.75,STOP_LOSS
14:04:33,14:20:51,NIFTY2610626150CE,CE,26150,96,102.25,102.25,468.75,6.51,18882.5,TARGET
14:21:56,14:22:17,NIFTY2610626150CE,CE,26150,98.65,96.15,98.65,-187.5,-2.53,18695.0,STOP_LOSS
14:23:54,14:50:15,NIFTY2610626150PE,PE,26150,64.15,69.55,69.55,405.0,8.42,19100.0,TARGET
14:51:23,14:52:28,NIFTY2610626150PE,PE,26150,68.2,65.65,68.2,-191.25,-3.74,18908.75,STOP_LOSS
14:58:51,15:02:40,NIFTY2610626150CE,CE,26150,93.9,91.3,94.9,-195.0,-2.77,18713.75,STOP_LOSS
15:03:47,15:04:41,NIFTY2610626150PE,PE,26150,70.3,67.25,70.3,-228.75,-4.34,18485.0,STOP_LOSS
15:09:56,15:25:00,NIFTY2610626150PE,PE,26150,69.75,69.95,73.15,15.0,0.29,18500.0,EOD_EXIT
