Entry_Time,Exit_Time,Signal,Strike,Entry_Price,Exit_Price,PnL,Reason,Spot_at_Entry,VWAP_at_Entry,RSI_at_Entry
09:29:05,09:34:31,BUY_PE,25900,44.3,32.4,-892.5,STOP_LOSS,25883.7,25898.57,34.97
09:34:38,09:42:14,BUY_CE,25900,40.7,61.05,1526.25,TARGET,25901.15,25896.76,60.47
09:42:21,09:42:28,BUY_CE,25900,60.25,33.55,-2002.5,STOP_LOSS,25925.0,25904.55,71.93
09:42:35,09:46:27,BUY_CE,25950,33.6,56.9,1747.5,TARGET,25925.45,25904.65,72.18
09:46:33,09:48:35,BUY_CE,25900,58.45,47.85,-795.0,STOP_LOSS,25924.2,25909.02,60.38
09:52:06,10:01:54,BUY_CE,25950,35.45,60.25,1860.0,TARGET,25929.3,25910.19,61.41
