Timestamp,Spot_LTP,Fut_LTP,Fut_Open,Fut_High,Fut_Low,RSI,RSI_Ready,VWAP,EMA5,EMA13,Candle_Body,Candle_Green,ATM_Strike,PCR,Total_CE_OI,Total_PE_OI,CE_Symbol,CE_Strike,CE_LTP,CE_OI,CE_Delta,CE_Gamma,CE_Theta,CE_Vega,CE_IV,PE_Symbol,PE_Strike,PE_LTP,PE_OI,PE_Delta,PE_Gamma,PE_Theta,PE_Vega,PE_IV
09:29:27,26018.05,26175.0,26170.0,26177.8,26169.8,59.1,True,26162.2,26009.05,26007.23,5.0,True,26000,0.76,1571283,1199683,NIFTY2610626000CE,26000,143.95,170696,0.5895,0.0014,-8.4199,13.256,7.94,NIFTY2610626000PE,26000,77.8,148607,-0.4105,0.0014,-8.4199,13.256,7.94
09:29:39,26019.15,26178.8,26170.0,26181.2,26169.8,59.8,True,26162.65,26009.41,26007.39,8.8,True,26000,0.76,1571283,1199698,NIFTY2610626000CE,26000,144.55,170696,0.5991,0.0014,-8.3586,13.1812,7.93,NIFTY2610626000PE,26000,77.3,148607,-0.4009,0.0014,-8.3586,13.1812,7.93
09:29:55,26016.3,26177.0,26170.0,26181.2,26169.8,57.8,True,26162.72,26008.46,26006.98,7.0,True,26000,0.76,1571283,1199698,NIFTY2610626000CE,26000,144.8,170696,0.6005,0.0014,-8.3442,13.1699,7.92,NIFTY2610626000PE,26000,76.95,148607,-0.3995,0.0014,-8.3442,13.1699,7.92
09:30:08,26018.05,26183.8,26179.0,26185.0,26176.2,59.2,True,26163.71,26011.66,26008.56,4.8,True,26000,0.76,1571283,1199698,NIFTY2610626000CE,26000,144.25,170696,0.5949,0.0014,-8.3679,13.2138,7.92,NIFTY2610626000PE,26000,77.65,148607,-0.4051,0.0014,-8.3679,13.2138,7.92
09:30:22,26019.65,26176.7,26179.0,26185.0,26176.2,60.3,True,26163.74,26012.19,26008.79,2.3,False,26000,0.76,1571283,1199698,NIFTY2610626000CE,26000,143.9,170696,0.6021,0.0014,-8.3149,13.1556,7.9,NIFTY2610626000PE,26000,77.4,148607,-0.3979,0.0014,-8.3149,13.1556,7.9
09:30:35,26012.1,26178.9,26179.0,26185.0,26176.2,53.6,True,26163.96,26009.68,26007.71,0.1,False,26000,0.78,1614634,1260193,NIFTY2610626000CE,26000,140.3,182165,0.6001,0.0014,-8.3248,13.1723,7.9,NIFTY2610626000PE,26000,79.55,156786,-0.3999,0.0014,-8.3248,13.1723,7.9
09:30:48,26012.45,26181.8,26179.0,26185.0,26175.0,53.9,True,26164.09,26009.79,26007.76,2.8,True,26000,0.78,1614360,1260578,NIFTY2610626000CE,26000,141.6,182165,0.5976,0.0014,-8.2859,13.1922,7.85,NIFTY2610626000PE,26000,78.4,156786,-0.4024,0.0014,-8.2859,13.1922,7.85
09:31:04,26014.25,26178.2,26176.8,26178.2,26175.0,55.4,True,26164.15,26011.28,26008.69,1.4,True,26000,0.78,1614350,1260582,NIFTY2610626000CE,26000,142.5,182165,0.5896,0.0014,-8.3607,13.2544,7.88,NIFTY2610626000PE,26000,77.45,156786,-0.4104,0.0014,-8.3607,13.2544,7.88
09:31:18,26017.05,26176.9,26176.8,26184.0,26175.0,57.6,True,26164.27,26012.21,26009.09,0.1,True,26000,0.78,1614970,1260763,NIFTY2610626000CE,26000,143.15,182165,0.5981,0.0014,-8.2988,13.1876,7.86,NIFTY2610626000PE,26000,77,156786,-0.4019,0.0014,-8.2988,13.1876,7.86
09:31:33,26022.15,26186.2,26176.8,26186.2,26175.0,61.1,True,26164.45,26013.91,26009.82,9.4,True,26000,0.78,1614970,1260721,NIFTY2610626000CE,26000,145.8,182165,0.5992,0.0014,-8.2835,13.1784,7.86,NIFTY2610626000PE,26000,75.05,156786,-0.4008,0.0014,-8.2835,13.1784,7.86
09:31:47,26020.05,26185.0,26176.8,26187.2,26175.0,59.7,True,26164.71,26013.21,26009.52,8.2,True,26000,0.78,1614970,1260721,NIFTY2610626000CE,26000,144.45,182165,0.605,0.0014,-8.2367,13.1291,7.84,NIFTY2610626000PE,26000,76.15,156786,-0.395,0.0014,-8.2367,13.1291,7.84
09:32:01,26019.55,26176.2,26185.6,26186.7,26176.2,59.0,True,26164.87,26015.46,26011.02,9.4,False,26000,0.78,1615100,1260717,NIFTY2610626000CE,26000,143.25,182165,0.6021,0.0014,-8.3026,13.1534,7.89,NIFTY2610626000PE,26000,77.1,156786,-0.3979,0.0014,-8.3026,13.1534,7.89
09:32:15,26014.85,26178.0,26185.6,26186.7,26176.2,54.5,True,26164.98,26013.89,26010.35,7.6,False,26000,0.78,1615100,1260780,NIFTY2610626000CE,26000,141.2,182165,0.6008,0.0014,-8.2865,13.1643,7.87,NIFTY2610626000PE,26000,78.1,156786,-0.3992,0.0014,-8.2865,13.1643,7.87
09:32:30,26012.15,26176.0,26185.6,26186.7,26176.0,52.3,True,26165.0,26012.99,26009.97,9.6,False,26000,0.78,1615100,1260780,NIFTY2610626000CE,26000,140,182165,0.5975,0.0014,-8.3004,13.1918,7.86,NIFTY2610626000PE,26000,78.5,156786,-0.4025,0.0014,-8.3004,13.1918,7.86
09:32:42,26015.35,26178.0,26185.6,26186.7,26176.0,55.0,True,26165.1,26014.06,26010.42,7.6,False,26000,0.78,1615100,1260780,NIFTY2610626000CE,26000,141.4,182165,0.5934,0.0015,-8.2899,13.2239,7.83,NIFTY2610626000PE,26000,78.05,156786,-0.4066,0.0015,-8.2899,13.2239,7.83
09:32:58,26013.9,26178.0,26185.6,26186.7,26176.0,53.7,True,26165.11,26013.57,26010.22,7.6,False,26000,0.78,1615100,1260780,NIFTY2610626000CE,26000,139.55,182165,0.5969,0.0014,-8.2968,13.1965,7.86,NIFTY2610626000PE,26000,78.7,156786,-0.4031,0.0014,-8.2968,13.1965,7.86
09:33:11,26010.55,26171.1,26176.0,26176.8,26171.1,50.8,True,26165.17,26012.57,26010.27,4.9,False,26000,0.78,1615100,1260772,NIFTY2610626000CE,26000,136.95,182165,0.5938,0.0015,-8.285,13.2201,7.83,NIFTY2610626000PE,26000,80.1,156786,-0.4062,0.0015,-8.285,13.2201,7.83
09:33:23,26012.7,26174.0,26176.0,26176.8,26170.0,52.7,True,26165.24,26013.28,26010.57,2.0,False,26000,0.78,1615100,1260772,NIFTY2610626000CE,26000,138,182165,0.5864,0.0015,-8.3314,13.275,7.84,NIFTY2610626000PE,26000,79.9,156786,-0.4136,0.0015,-8.3314,13.275,7.84
09:33:35,26012.65,26170.3,26176.0,26178.0,26170.0,52.6,True,26165.29,26013.27,26010.57,5.7,False,26000,0.8,1643719,1310841,NIFTY2610626000CE,26000,138.7,183091,0.5864,0.0015,-8.3314,13.275,7.84,NIFTY2610626000PE,26000,79.5,167726,-0.4136,0.0015,-8.3314,13.275,7.84
09:33:46,26013.1,26170.0,26176.0,26178.0,26170.0,53.0,True,26165.3,26013.42,26010.63,6.0,False,26000,0.8,1643737,1311118,NIFTY2610626000CE,26000,139.3,183091,0.5878,0.0015,-8.326,13.2646,7.84,NIFTY2610626000PE,26000,78.55,167726,-0.4122,0.0015,-8.326,13.2646,7.84
09:34:01,26012.5,26174.0,26174.9,26178.0,26169.6,52.5,True,26165.47,26013.01,26010.84,0.9,False,26000,0.8,1644265,1311202,NIFTY2610626000CE,26000,138.75,183091,0.588,0.0015,-8.319,13.2636,7.84,NIFTY2610626000PE,26000,79.1,167726,-0.412,0.0015,-8.319,13.2636,7.84
09:34:15,26011.9,26173.6,26174.9,26178.0,26168.0,51.9,True,26165.5,26012.81,26010.76,1.3,False,26000,0.8,1644267,1311211,NIFTY2610626000CE,26000,137.2,183091,0.5888,0.0015,-8.3185,13.2572,7.84,NIFTY2610626000PE,26000,80.25,167726,-0.4112,0.0015,-8.3185,13.2572,7.84
09:34:29,26009.75,26168.0,26174.9,26178.0,26168.0,50.0,True,26165.48,26012.09,26010.45,6.9,False,26000,0.8,1644277,1311219,NIFTY2610626000CE,26000,132.85,183091,0.5862,0.0015,-8.3184,13.2753,7.83,NIFTY2610626000PE,26000,81.55,167726,-0.4138,0.0015,-8.3184,13.2753,7.83
09:34:43,26005.8,26166.9,26174.9,26178.0,26162.0,46.9,True,26165.45,26010.78,26009.88,8.0,False,26000,0.8,1644277,1311219,NIFTY2610626000CE,26000,132.6,183091,0.5872,0.0015,-8.3101,13.2687,7.82,NIFTY2610626000PE,26000,83.05,167726,-0.4128,0.0015,-8.3101,13.2687,7.82
09:34:55,26004.8,26163.0,26174.9,26178.0,26162.0,46.1,True,26165.42,26010.44,26009.74,11.9,False,26000,0.8,1644305,1311231,NIFTY2610626000CE,26000,130.15,183091,0.5803,0.0015,-8.2945,13.3155,7.78,NIFTY2610626000PE,26000,84.15,167726,-0.4197,0.0015,-8.2945,13.3155,7.78
09:35:08,25998.3,26158.0,26162.1,26162.1,26155.4,41.6,True,26165.38,26006.4,26008.11,4.1,False,26000,0.8,1644305,1311232,NIFTY2610626000CE,26000,127.05,183091,0.5671,0.0015,-8.3435,13.3939,7.78,NIFTY2610626000PE,26000,86.8,167726,-0.4329,0.0015,-8.3435,13.3939,7.78
09:35:22,25998.0,26155.0,26162.1,26162.1,26154.0,41.4,True,26165.34,26006.3,26008.06,7.1,False,26000,0.8,1644305,1311232,NIFTY2610626000CE,26000,126.1,183091,0.5637,0.0015,-8.3603,13.4117,7.79,NIFTY2610626000PE,26000,88.55,167726,-0.4363,0.0015,-8.3603,13.4117,7.79
09:35:36,25996.2,26152.0,26162.1,26162.1,26150.0,40.3,True,26165.23,26005.7,26007.81,10.1,False,26000,0.8,1644303,1311229,NIFTY2610626000CE,26000,126.6,183091,0.5607,0.0015,-8.3757,13.4267,7.79,NIFTY2610626000PE,26000,88.6,167726,-0.4393,0.0015,-8.3757,13.4267,7.79
09:35:49,25996.45,26151.8,26162.1,26162.1,26150.0,40.4,True,26165.14,26005.78,26007.84,10.3,False,26000,0.8,1644303,1311229,NIFTY2610626000CE,26000,126.25,183091,0.5605,0.0015,-8.3791,13.4279,7.79,NIFTY2610626000PE,26000,88.95,167726,-0.4395,0.0015,-8.3791,13.4279,7.79
09:36:04,25998.8,26153.0,26150.0,26153.0,26148.1,42.6,True,26164.92,26003.45,26006.55,3.0,True,26000,0.8,1644303,1311228,NIFTY2610626000CE,26000,127.6,183091,0.5586,0.0015,-8.4091,13.436,7.82,NIFTY2610626000PE,26000,87.8,167726,-0.4414,0.0015,-8.4091,13.436,7.82
09:36:17,26000.5,26160.0,26150.0,26160.0,26148.1,44.1,True,26164.94,26004.02,26006.79,10.0,True,26000,0.8,1644273,1311228,NIFTY2610626000CE,26000,130.9,183091,0.5606,0.0015,-8.4361,13.4266,7.85,NIFTY2610626000PE,26000,85.35,167726,-0.4394,0.0015,-8.4361,13.4266,7.85
09:36:31,26000.15,26154.0,26150.0,26162.0,26148.1,43.8,True,26164.86,26003.9,26006.74,4.0,True,26000,0.8,1672696,1335070,NIFTY2610626000CE,26000,128.7,185101,0.5697,0.0015,-8.4098,13.3789,7.85,NIFTY2610626000PE,26000,86.95,172845,-0.4303,0.0015,-8.4098,13.3789,7.85
09:36:47,25999.85,26157.8,26150.0,26162.0,26148.1,43.5,True,26164.87,26003.8,26006.7,7.8,True,26000,0.8,1673037,1336094,NIFTY2610626000CE,26000,131.75,185101,0.5701,0.0015,-8.345,13.3768,7.79,NIFTY2610626000PE,26000,84.2,172845,-0.4299,0.0015,-8.345,13.3768,7.79
09:37:02,26001.25,26164.9,26158.0,26165.0,26158.0,44.8,True,26164.86,26002.83,26005.85,6.9,True,26000,0.8,1673049,1336160,NIFTY2610626000CE,26000,133,185101,0.5738,0.0015,-8.3315,13.354,7.79,NIFTY2610626000PE,26000,82.6,172845,-0.4262,0.0015,-8.3315,13.354,7.79
09:37:19,26002.0,26167.8,26158.0,26169.2,26157.8,45.4,True,26164.87,26003.08,26005.96,9.8,True,26000,0.8,1673049,1336160,NIFTY2610626000CE,26000,134.35,185101,0.5814,0.0015,-8.3092,13.306,7.8,NIFTY2610626000PE,26000,82.5,172845,-0.4186,0.0015,-8.3092,13.306,7.8
09:37:34,25997.1,26163.5,26158.0,26169.2,26157.8,41.5,True,26164.85,26001.45,26005.26,5.5,True,26000,0.8,1673049,1336086,NIFTY2610626000CE,26000,130.5,185101,0.5789,0.0015,-8.3435,13.3224,7.82,NIFTY2610626000PE,26000,85.7,172845,-0.4211,0.0015,-8.3435,13.3224,7.82
09:37:48,25997.25,26160.0,26158.0,26169.2,26157.8,41.6,True,26164.83,26001.5,26005.28,2.0,True,26000,0.8,1673049,1336086,NIFTY2610626000CE,26000,131.85,185101,0.5741,0.0015,-8.3989,13.3523,7.86,NIFTY2610626000PE,26000,85.2,172845,-0.4259,0.0015,-8.3989,13.3523,7.86
09:38:01,26001.25,26164.0,26161.0,26167.0,26161.0,45.2,True,26164.82,26001.55,26004.78,3.0,True,26000,0.8,1673049,1336089,NIFTY2610626000CE,26000,133.8,185101,0.5683,0.0015,-8.4092,13.3861,7.85,NIFTY2610626000PE,26000,83.35,172845,-0.4317,0.0015,-8.4092,13.3861,7.85
09:38:16,26006.6,26165.1,26161.0,26170.0,26161.0,49.6,True,26164.83,26003.33,26005.54,4.1,True,26000,0.8,1673049,1336039,NIFTY2610626000CE,26000,136.35,185101,0.5754,0.0015,-8.3863,13.344,7.85,NIFTY2610626000PE,26000,80.9,172845,-0.4246,0.0015,-8.3863,13.344,7.85
09:38:29,26005.55,26168.2,26161.0,26170.0,26161.0,48.8,True,26164.84,26002.98,26005.39,7.2,True,26000,0.8,1673062,1336039,NIFTY2610626000CE,26000,134.4,185101,0.5799,0.0015,-8.3634,13.3155,7.84,NIFTY2610626000PE,26000,82.4,172845,-0.4201,0.0015,-8.3634,13.3155,7.84
09:38:46,26005.05,26166.7,26161.0,26170.0,26161.0,48.4,True,26164.84,26002.81,26005.32,5.7,True,26000,0.8,1673286,1336040,NIFTY2610626000CE,26000,133.3,185101,0.5799,0.0015,-8.3634,13.3155,7.84,NIFTY2610626000PE,26000,83.9,172845,-0.4201,0.0015,-8.3634,13.3155,7.84
09:39:02,26006.05,26169.9,26164.1,26169.9,26162.1,49.4,True,26164.84,26003.35,26005.13,5.8,True,26000,0.8,1673286,1336040,NIFTY2610626000CE,26000,135.95,185101,0.5766,0.0015,-8.3874,13.3358,7.85,NIFTY2610626000PE,26000,81.9,172845,-0.4234,0.0015,-8.3874,13.3358,7.85
09:39:16,26009.4,26163.3,26164.1,26169.9,26162.1,52.0,True,26164.84,26004.47,26005.61,0.8,False,26000,0.8,1673286,1336040,NIFTY2610626000CE,26000,136.25,185101,0.5809,0.0015,-8.3735,13.3084,7.86,NIFTY2610626000PE,26000,81.85,172845,-0.4191,0.0015,-8.3735,13.3084,7.86
09:39:30,26013.2,26170.0,26164.1,26170.0,26162.1,54.7,True,26164.85,26005.73,26006.15,5.9,True,26000,0.79,1707096,1356384,NIFTY2610626000CE,26000,136.2,193983,0.5791,0.0015,-8.3943,13.3201,7.87,NIFTY2610626000PE,26000,80.35,175303,-0.4209,0.0015,-8.3943,13.3201,7.87
09:39:43,26011.3,26167.4,26164.1,26170.6,26162.1,53.4,True,26164.85,26005.1,26005.88,3.3,True,26000,0.79,1707280,1356687,NIFTY2610626000CE,26000,134.05,193983,0.5878,0.0015,-8.3259,13.2603,7.84,NIFTY2610626000PE,26000,83.2,175303,-0.4122,0.0015,-8.3259,13.2603,7.84
09:39:55,26006.9,26166.1,26164.1,26170.6,26160.0,50.1,True,26164.84,26003.63,26005.25,2.0,True,26000,0.79,1707301,1356691,NIFTY2610626000CE,26000,134.95,193983,0.5829,0.0015,-8.3637,13.2946,7.86,NIFTY2610626000PE,26000,82.1,175303,-0.4171,0.0015,-8.3637,13.2946,7.86
09:40:10,26000.25,26162.9,26165.1,26166.1,26160.0,45.0,True,26164.84,26002.5,26004.53,2.2,False,26000,0.79,1707349,1356802,NIFTY2610626000CE,26000,131.4,193983,0.5783,0.0015,-8.361,13.3242,7.83,NIFTY2610626000PE,26000,84.7,175303,-0.4217,0.0015,-8.361,13.3242,7.83
09:40:25,26000.4,26164.4,26165.1,26166.1,26158.0,45.1,True,26164.84,26002.55,26004.56,0.7,False,26000,0.79,1707349,1356802,NIFTY2610626000CE,26000,132.75,193983,0.5814,0.0015,-8.3665,13.3043,7.85,NIFTY2610626000PE,26000,83.1,175303,-0.4186,0.0015,-8.3665,13.3043,7.85
09:40:38,26001.95,26162.1,26165.1,26168.4,26158.0,46.2,True,26164.83,26003.07,26004.78,3.0,False,26000,0.79,1707354,1356852,NIFTY2610626000CE,26000,133,193983,0.5761,0.0015,-8.3514,13.3379,7.82,NIFTY2610626000PE,26000,83.4,175303,-0.4239,0.0015,-8.3514,13.3379,7.82
09:40:53,26001.65,26160.4,26165.1,26168.4,26158.0,46.0,True,26164.83,26002.97,26004.73,4.7,False,26000,0.79,1707354,1356852,NIFTY2610626000CE,26000,133.6,193983,0.5755,0.0015,-8.3757,13.3419,7.84,NIFTY2610626000PE,26000,82.4,175303,-0.4245,0.0015,-8.3757,13.3419,7.84
09:41:07,26002.0,26160.9,26165.4,26167.2,26160.0,46.3,True,26164.83,26002.65,26004.34,4.5,False,26000,0.79,1707354,1356853,NIFTY2610626000CE,26000,131.7,193983,0.5777,0.0015,-8.3375,13.3271,7.81,NIFTY2610626000PE,26000,83.2,175303,-0.4223,0.0015,-8.3375,13.3271,7.81
09:41:21,26002.4,26163.0,26165.4,26167.2,26160.0,46.6,True,26164.82,26002.78,26004.4,2.4,False,26000,0.79,1707354,1356861,NIFTY2610626000CE,26000,131.35,193983,0.5777,0.0015,-8.3375,13.3271,7.81,NIFTY2610626000PE,26000,83.7,175303,-0.4223,0.0015,-8.3375,13.3271,7.81
09:41:35,25996.9,26161.9,26165.4,26167.2,26160.0,42.5,True,26164.82,26000.95,26003.62,3.5,False,26000,0.79,1707354,1356861,NIFTY2610626000CE,26000,130.05,193983,0.5782,0.0015,-8.3129,13.3243,7.79,NIFTY2610626000PE,26000,85,175303,-0.4218,0.0015,-8.3129,13.3243,7.79
09:41:51,25996.5,26162.0,26165.4,26167.2,26160.0,42.3,True,26164.82,26000.81,26003.56,3.4,False,26000,0.79,1707354,1356861,NIFTY2610626000CE,26000,131.45,193983,0.5712,0.0015,-8.3377,13.3668,7.79,NIFTY2610626000PE,26000,83.75,175303,-0.4288,0.0015,-8.3377,13.3668,7.79
09:42:04,26001.6,26161.6,26163.7,26163.7,26161.0,46.8,True,26164.81,26001.08,26003.28,2.1,False,26000,0.79,1707354,1356861,NIFTY2610626000CE,26000,133.6,193983,0.5712,0.0015,-8.3377,13.3668,7.79,NIFTY2610626000PE,26000,82.05,175303,-0.4288,0.0015,-8.3377,13.3668,7.79
09:42:19,25997.35,26165.0,26163.7,26166.0,26160.3,43.1,True,26164.82,25999.66,26002.67,1.3,True,26000,0.79,1707356,1356869,NIFTY2610626000CE,26000,130.75,193983,0.5766,0.0015,-8.3358,13.3333,7.8,NIFTY2610626000PE,26000,84.75,175303,-0.4234,0.0015,-8.3358,13.3333,7.8
09:42:33,25994.8,26157.4,26163.7,26166.0,26157.4,41.1,True,26164.8,25998.81,26002.31,6.3,False,26000,0.8,1731269,1376855,NIFTY2610626000CE,26000,131.2,197296,0.5653,0.0015,-8.3722,13.3984,7.8,NIFTY2610626000PE,26000,84.35,180342,-0.4347,0.0015,-8.3722,13.3984,7.8
09:42:48,25995.3,26162.6,26163.7,26166.0,26157.0,41.4,True,26164.8,25998.98,26002.38,1.1,False,26000,0.79,1733271,1377124,NIFTY2610626000CE,26000,130.75,197296,0.5716,0.0015,-8.3687,13.3637,7.82,NIFTY2610626000PE,26000,84.6,180342,-0.4284,0.0015,-8.3687,13.3637,7.82
09:43:06,25987.95,26155.0,26158.0,26159.6,26152.5,36.6,True,26164.78,25995.3,26000.32,3.0,False,26000,0.79,1733734,1377124,NIFTY2610626000CE,26000,127.55,197296,0.57,0.0015,-8.35,13.3719,7.79,NIFTY2610626000PE,26000,87.35,180342,-0.43,0.0015,-8.35,13.3719,7.79
09:43:27,25985.05,26149.7,26158.0,26159.6,26149.7,35.0,True,26164.7,25994.33,25999.9,8.3,False,26000,0.79,1733737,1377124,NIFTY2610626000CE,26000,126.85,197296,0.5622,0.0015,-8.3874,13.4134,7.8,NIFTY2610626000PE,26000,87.15,180342,-0.4378,0.0015,-8.3874,13.4134,7.8
09:43:41,25983.25,26148.8,26158.0,26159.6,26148.8,34.1,True,26164.64,25993.73,25999.65,9.2,False,26000,0.79,1733736,1377123,NIFTY2610626000CE,26000,124.8,197296,0.5591,0.0015,-8.3991,13.4286,7.81,NIFTY2610626000PE,26000,89.35,180342,-0.4409,0.0015,-8.3991,13.4286,7.81
09:44:05,25983.7,26145.0,26151.0,26151.0,26145.0,34.3,True,26164.55,25990.5,25997.43,6.0,False,26000,0.79,1733736,1377123,NIFTY2610626000CE,26000,124.05,197296,0.5564,0.0015,-8.4169,13.4408,7.82,NIFTY2610626000PE,26000,91.1,180342,-0.4436,0.0015,-8.4169,13.4408,7.82
09:44:18,25983.15,26145.0,26151.0,26151.0,26145.0,34.0,True,26164.5,25990.32,25997.35,6.0,False,26000,0.79,1733736,1377123,NIFTY2610626000CE,26000,120.45,197296,0.5509,0.0015,-8.4779,13.4636,7.86,NIFTY2610626000PE,26000,94.45,180342,-0.4491,0.0015,-8.4779,13.4636,7.86
09:44:36,25974.85,26139.0,26151.0,26151.0,26133.7,30.1,True,26164.03,25987.55,25996.16,12.0,False,25950,0.79,1733749,1377123,NIFTY2610625950CE,25950,148.45,43520,0.6124,0.0014,-8.3292,13.0287,7.98,NIFTY2610625950PE,25950,75.35,62672,-0.3876,0.0014,-8.3292,13.0287,7.98
