Entry_Time,Exit_Time,Symbol,Type,Strike,Entry_Price,Exit_Price,Max_Price,PnL,PnL_Pct,Balance,Exit_Reason
09:29:12,09:32:40,NIFTY2610626200CE,CE,26200,85.45,93.5,93.5,603.75,9.42,20603.75,TARGET
09:33:45,09:34:07,NIFTY2610626200CE,CE,26200,94.4,91.1,94.4,-247.5,-3.5,20356.25,STOP_LOSS
09:35:10,09:40:07,NIFTY2610626200CE,CE,26200,90.25,95.75,95.75,412.5,6.09,20768.75,TARGET
09:41:12,09:41:34,NIFTY2610626200CE,CE,26200,94.55,101.05,101.05,487.5,6.87,21256.25,TARGET
09:53:55,09:54:23,NIFTY2610626250CE,CE,26250,90.55,95.75,95.75,390.0,5.74,21646.25,TARGET
09:55:30,09:59:03,NIFTY2610626250CE,CE,26250,93.95,91.4,95.25,-191.25,-2.71,21455.0,STOP_LOSS
10:00:08,10:04:06,NIFTY2610626250CE,CE,26250,90.7,87.9,93.8,-210.0,-3.09,21245.0,STOP_LOSS
10:05:09,10:08:04,NIFTY2610626250CE,CE,26250,91.3,88.7,91.65,-195.0,-2.85,21050.0,STOP_LOSS
10:14:38,10:18:18,NIFTY2610626250CE,CE,26250,89.6,86,94.1,-270.0,-4.02,20780.0,STOP_LOSS
10:24:46,10:25:54,NIFTY2610626250CE,CE,26250,89.4,86.65,89.65,-206.25,-3.08,20573.75,STOP_LOSS
10:39:50,10:43:22,NIFTY2610626250CE,CE,26250,91.1,88,92.8,-232.5,-3.4,20341.25,STOP_LOSS
10:44:52,10:50:26,NIFTY2610626250CE,CE,26250,88.45,93.5,93.5,378.75,5.71,20720.0,TARGET
10:51:34,10:56:23,NIFTY2610626250CE,CE,26250,91.45,88.45,92.3,-225.0,-3.28,20495.0,STOP_LOSS
10:59:08,11:02:40,NIFTY2610626250CE,CE,26250,91.95,88.85,92.25,-232.5,-3.37,20262.5,STOP_LOSS
11:17:22,11:21:55,NIFTY2610626250CE,CE,26250,90.3,96,96,427.5,6.31,20690.0,TARGET
11:23:13,11:28:47,NIFTY2610626250CE,CE,26250,91.7,97.15,97.15,408.75,5.94,21098.75,TARGET
11:29:49,11:31:32,NIFTY2610626250CE,CE,26250,99.45,106.3,106.3,513.75,6.89,21612.5,TARGET
11:32:36,11:52:31,NIFTY2610626300CE,CE,26300,71.75,77.8,77.8,453.75,8.43,22066.25,TARGET
13:05:43,13:35:48,NIFTY2610626300CE,CE,26300,75.4,77.9,79.35,187.5,3.32,20187.5,TIME_EXIT
13:36:51,13:38:38,NIFTY2610626300CE,CE,26300,77.55,74.05,77.6,-262.5,-4.51,19925.0,STOP_LOSS
14:56:54,15:00:04,NIFTY2610626300CE,CE,26300,69.45,74.85,74.85,405.0,7.78,20405.0,TARGET
15:01:20,15:10:03,NIFTY2610626300CE,CE,26300,75.15,81,81,438.75,7.78,20843.75,TARGET
15:14:39,15:15:37,NIFTY2610626350CE,CE,26350,54.3,51.25,54.3,-228.75,-5.62,20615.0,STOP_LOSS
15:16:40,15:23:36,NIFTY2610626300CE,CE,26300,78.8,83.8,83.8,375.0,6.35,20990.0,TARGET
