timestamp,o,h,l,close,v
2025-12-17 09:15:00,182.5,189.7,172.8,182.0,585075
2025-12-17 09:16:00,184.15,197.9,182.2,197.9,734325
2025-12-17 09:17:00,198.2,200.05,194.3,197.8,581700
2025-12-17 09:18:00,197.05,199.25,192.6,196.35,357150
2025-12-17 09:19:00,196.85,197.4,191.7,192.95,237975
2025-12-17 09:20:00,195.2,198.95,190.45,198.35,342675
2025-12-17 09:21:00,198.9,204.6,197.8,203.25,704025
2025-12-17 09:22:00,203.5,217.95,203.5,217.25,1006575
2025-12-17 09:23:00,216.75,217.0,212.3,212.7,487875
2025-12-17 09:24:00,214.0,222.0,212.55,219.45,572550
2025-12-17 09:25:00,219.95,220.95,215.1,215.75,417975
2025-12-17 09:26:00,216.95,221.85,215.8,216.8,260700
2025-12-17 09:27:00,218.0,221.3,217.6,218.0,193650
2025-12-17 09:28:00,217.1,220.0,215.25,216.35,152700
2025-12-17 09:29:00,216.1,218.55,210.0,210.3,253275
2025-12-17 09:30:00,209.85,213.1,202.75,207.1,447075
2025-12-17 09:31:00,208.05,209.4,204.8,208.25,261225
2025-12-17 09:32:00,207.75,215.0,206.5,215.0,357975
2025-12-17 09:33:00,214.55,216.75,212.55,214.65,376725
2025-12-17 09:34:00,215.0,223.05,213.0,221.5,418200
2025-12-17 09:35:00,221.6,224.95,220.25,222.45,501375
2025-12-17 09:36:00,222.6,223.45,217.95,217.95,279675
2025-12-17 09:37:00,218.1,223.6,218.05,218.35,248175
2025-12-17 09:38:00,218.85,220.3,216.05,216.65,155175
2025-12-17 09:39:00,217.45,217.45,212.95,213.85,203550
2025-12-17 09:40:00,214.45,216.7,211.05,216.45,162675
2025-12-17 09:41:00,216.5,217.95,213.15,214.45,133200
2025-12-17 09:42:00,213.9,215.0,207.4,208.35,224775
2025-12-17 09:43:00,208.2,208.4,195.1,196.95,515925
2025-12-17 09:44:00,197.1,198.15,189.05,189.95,472950
2025-12-17 09:45:00,188.95,193.8,187.25,190.5,378975
2025-12-17 09:46:00,189.7,196.35,189.3,191.85,371250
2025-12-17 09:47:00,192.2,193.6,185.55,185.55,225375
