timestamp,open,high,low,close,volume,open_interest
2025-12-15 12:20:00,26023.05,26025.75,26020.75,26023.4,,
2025-12-15 12:25:00,26023.7,26025.85,26011.45,26018.6,,
2025-12-15 12:30:00,26020.1,26027.65,26017.45,26025.6,,
2025-12-15 12:35:00,26025.85,26029.65,26019.95,26022.2,,
2025-12-15 12:40:00,26021.85,26024.3,26007.7,26010.15,,
2025-12-15 12:45:00,26009.95,26014.65,26003.45,26012.4,,
2025-12-15 12:50:00,26011.95,26022.85,26011.75,26014.35,,
2025-12-15 12:55:00,26014.65,26017.0,26006.7,26016.0,,
2025-12-15 13:00:00,26016.2,26024.8,26015.35,26024.8,,
2025-12-15 13:05:00,26023.95,26034.45,26022.95,26030.45,,
2025-12-15 13:10:00,26030.5,26044.6,26029.4,26042.1,,
2025-12-15 13:15:00,26041.95,26043.95,26029.2,26031.9,,
2025-12-15 13:20:00,26031.75,26035.9,26027.9,26034.95,,
2025-12-15 13:25:00,26034.65,26036.25,26024.4,26025.7,,
2025-12-15 13:30:00,26025.7,26031.6,26023.65,26031.6,,
2025-12-15 13:35:00,26031.1,26035.45,26027.5,26030.35,,
2025-12-15 13:40:00,26031.1,26036.0,26023.4,26025.45,,
2025-12-15 13:45:00,26025.6,26033.5,26023.5,26032.9,,
2025-12-15 13:50:00,26032.85,26034.05,26019.85,26032.95,,
2025-12-15 13:55:00,26033.0,26033.4,26018.65,26022.2,,
2025-12-15 14:00:00,26022.0,26038.05,26021.85,26032.15,,
2025-12-15 14:05:00,26032.15,26035.55,26005.5,26005.9,,
2025-12-15 14:10:00,26005.85,26011.25,25990.15,26009.85,,
2025-12-15 14:15:00,26009.5,26018.3,26007.4,26014.15,,
2025-12-15 14:20:00,26013.95,26020.35,26008.8,26013.7,,
2025-12-15 14:25:00,26013.55,26019.8,26011.15,26016.65,,
2025-12-15 14:30:00,26016.45,26018.05,26010.0,26015.05,,
2025-12-15 14:35:00,26014.9,26016.45,26008.5,26013.25,,
2025-12-15 14:40:00,26014.8,26035.65,26012.45,26035.65,,
2025-12-15 14:45:00,26035.2,26047.0,26028.05,26028.55,,
2025-12-15 14:50:00,26029.5,26037.0,26028.35,26034.35,,
2025-12-15 14:55:00,26035.4,26037.75,26028.95,26036.5,,
2025-12-15 15:00:00,26035.1,26037.6,26022.0,26024.3,,
2025-12-15 15:05:00,26024.1,26034.5,26019.55,26031.95,,
2025-12-15 15:10:00,26032.35,26035.8,26027.8,26030.05,,
2025-12-15 15:15:00,26029.85,26029.9,26021.65,26023.55,,
2025-12-15 15:20:00,26023.45,26025.5,26018.2,26023.75,,
2025-12-15 15:25:00,26023.2,26031.55,26013.35,26014.0,,
2025-12-15 15:30:00,26015.65,26027.35,26015.65,26027.3,,
2025-12-15 15:35:00,26027.3,26027.3,26027.3,26027.3,,
2025-12-15 15:40:00,26027.3,26027.3,26027.3,26027.3,,
2025-12-15 15:45:00,26027.3,26027.3,26027.3,26027.3,,
2025-12-15 15:50:00,26027.3,26027.3,26027.3,26027.3,,
2025-12-15 15:55:00,26027.3,26027.3,26027.3,26027.3,,
2025-12-16 09:00:00,26027.3,26044.45,25874.6,25981.25,,
2025-12-16 09:05:00,25981.35,25990.05,25934.0,25951.5,,
2025-12-16 09:10:00,25951.5,25951.5,25951.5,25951.5,,
2025-12-16 09:15:00,25966.75,25970.0,25923.2,25943.3,,
2025-12-16 09:20:00,25938.35,25947.65,25928.55,25931.35,,
2025-12-16 09:25:00,25930.85,25935.2,25920.1,25923.1,,
2025-12-16 09:30:00,25922.75,25925.0,25908.1,25916.7,,
2025-12-16 09:35:00,25915.95,25917.2,25902.3,25917.0,,
2025-12-16 09:40:00,25916.1,25930.8,25912.05,25926.65,,
2025-12-16 09:45:00,25926.0,25942.95,25920.1,25936.4,,
2025-12-16 09:50:00,25936.35,25943.75,25930.3,25942.0,,
