Timestamp	Spot	RSI	ATM_Strike	PCR	CE_Price	PE_Price	CE_OI	PE_OI	CE_Delta	PE_Delta	Status	PnL	Reason
9:55:58	26215.75	73	26200	1.19	121.75	77.75	169176	221796	0.571	-0.429	SCANNING_NEUTRAL	0	Waiting for entry
9:56:05	26215.8	73	26200	1.19	121	78.4	169176	221796	0.571	-0.429	SCANNING_NEUTRAL	0	Waiting for entry
9:56:12	26215	72	26200	1.19	121.3	78.05	169176	221796	0.5718	-0.4282	SCANNING_NEUTRAL	0	Waiting for entry
9:56:20	26214.95	72	26200	1.19	120.4	79	169176	221796	0.5686	-0.4314	SCANNING_NEUTRAL	0	Waiting for entry
9:56:30	26214.4	72	26200	1.19	120.75	79	169176	221796	0.5686	-0.4314	SCANNING_NEUTRAL	0	Waiting for entry
9:56:36	26213.9	71	26200	1.19	120.6	78.8	169176	221796	0.5686	-0.4314	SCANNING_NEUTRAL	0	Waiting for entry
9:56:43	26213.25	71	26200	1.19	120.5	78.8	169176	221796	0.5702	-0.4298	SCANNING_NEUTRAL	0	Waiting for entry
9:56:51	26213.65	71	26200	1.19	117.8	80.4	169176	221796	0.5686	-0.4314	SCANNING_NEUTRAL	0	Waiting for entry
9:56:58	26212.35	70	26200	1.19	118.7	79.7	169176	221796	0.5686	-0.4314	SCANNING_NEUTRAL	0	Waiting for entry
9:57:05	26212.6	70	26200	1.19	119.5	79.5	169176	221796	0.5617	-0.4383	SCANNING_NEUTRAL	0	Waiting for entry
9:57:11	26213.7	71	26200	1.19	119.35	79.6	169176	221796	0.5635	-0.4365	SCANNING_NEUTRAL	0	Waiting for entry
9:57:18	26214.2	72	26200	1.19	117.95	80.8	169176	221796	0.5635	-0.4365	SCANNING_NEUTRAL	0	Waiting for entry
9:57:25	26211.65	70	26200	1.19	118.5	80.15	169176	221796	0.5667	-0.4333	SCANNING_NEUTRAL	0	Waiting for entry
9:57:33	26211.9	70	26200	1.19	118.1	80.5	169176	221796	0.5636	-0.4364	SCANNING_NEUTRAL	0	Waiting for entry
9:57:40	26211.4	69	26200	1.19	119	79.75	169176	221796	0.5636	-0.4364	SCANNING_NEUTRAL	0	Waiting for entry
9:57:48	26213.55	71	26200	1.19	120.95	78	169176	221796	0.5636	-0.4364	SCANNING_NEUTRAL	0	Waiting for entry
9:57:57	26214.15	72	26200	1.19	120.2	78.7	169176	221796	0.5698	-0.4302	SCANNING_NEUTRAL	0	Waiting for entry
9:58:04	26215.4	73	26200	1.19	120.8	78.45	169176	221796	0.5706	-0.4294	SCANNING_NEUTRAL	0	Waiting for entry
9:58:11	26215.6	73	26200	1.19	122.1	77	169176	221796	0.5706	-0.4294	SCANNING_NEUTRAL	0	Waiting for entry
9:58:18	26216.95	74	26200	1.2	120.9	77.85	169769	226453	0.5715	-0.4285	SCANNING_NEUTRAL	0	Waiting for entry
9:58:25	26216.75	74	26200	1.2	121.2	77.75	169769	226453	0.5747	-0.4253	SCANNING_NEUTRAL	0	Waiting for entry
9:58:33	26216.15	73	26200	1.2	122.05	76.9	169769	226453	0.5747	-0.4253	SCANNING_NEUTRAL	0	Waiting for entry
9:58:40	26219.05	76	26200	1.2	122.25	76.55	169769	226453	0.5738	-0.4262	SCANNING_NEUTRAL	0	Waiting for entry
9:58:48	26219.7	77	26200	1.2	123.4	75.85	169769	226453	0.5738	-0.4262	SCANNING_NEUTRAL	0	Waiting for entry
9:58:55	26219.45	76	26200	1.2	123.55	76.05	169769	226453	0.5758	-0.4242	SCANNING_NEUTRAL	0	Waiting for entry
9:59:04	26224.4	78	26200	1.2	125	74.85	169769	226453	0.5778	-0.4222	SCANNING_NEUTRAL	0	Waiting for entry
9:59:11	26223.2	78	26200	1.2	123.85	75.95	169769	226453	0.5778	-0.4222	SCANNING_NEUTRAL	0	Waiting for entry
9:59:18	26221.45	78	26200	1.2	123.75	76	169769	226453	0.5791	-0.4209	SCANNING_NEUTRAL	0	Waiting for entry
9:59:27	26222.6	78	26200	1.2	124.2	75.6	169769	226453	0.5791	-0.4209	SCANNING_NEUTRAL	0	Waiting for entry
9:59:33	26222.55	78	26200	1.2	124.65	75.35	169769	226453	0.5802	-0.4198	SCANNING_NEUTRAL	0	Waiting for entry
9:59:41	26222.3	78	26200	1.2	123.95	76	169769	226453	0.5802	-0.4198	SCANNING_NEUTRAL	0	Waiting for entry
9:59:47	26222.8	78	26200	1.2	124.55	75.6	169769	226453	0.5801	-0.4199	SCANNING_NEUTRAL	0	Waiting for entry
9:59:56	26221.05	78	26200	1.2	123.4	76.35	169769	226453	0.5791	-0.4209	SCANNING_NEUTRAL	0	Waiting for entry
10:00:03	26222.75	78	26200	1.2	123.85	75.8	169769	226453	0.5791	-0.4209	SCANNING_NEUTRAL	0	Waiting for entry
10:00:10	26221.65	78	26200	1.2	123.6	76.1	169769	226453	0.5798	-0.4202	SCANNING_NEUTRAL	0	Waiting for entry
10:00:17	26225.1	79	26250	1.2	95.35	97.55	84365	61260	0.4979	-0.5021	SCANNING_NEUTRAL	0	Waiting for entry
