option_type,strike,entry_time,entry_price,entry_spot,entry_fut,exit_time,exit_price,exit_reason,pnl_points,pnl_rupees,hold_minutes,is_winner,peak_price,expiry,capital_after
PE,26100,2025-12-26 09:30:00,60.75,26112.9,26122.5,2025-12-26 09:39:00,70.95,TARGET,10.2,765.0,9.0,True,70.95,2025-12-30,23350.0
PE,26100,2025-12-26 09:42:00,73.7,26085.7,26095.4,2025-12-26 10:00:00,77.1,TRAILING_STOP,3.4,255.0,18.0,True,80.35,2025-12-30,23605.0
PE,26100,2025-12-26 10:09:00,73.0,26089.6,26102.6,2025-12-26 10:39:00,68.1,STOP_LOSS,-4.9,-367.5,30.0,False,74.75,2025-12-30,23237.5
PE,26100,2025-12-26 10:45:00,70.7,26089.05,26105.4,2025-12-26 11:12:00,80.8,TARGET,10.1,757.5,27.0,True,80.8,2025-12-30,23995.0
PE,26050,2025-12-26 11:15:00,56.55,26066.9,26081.0,2025-12-26 11:45:00,54.85,TIME_EXIT,-1.7,-127.5,30.0,False,56.55,2025-12-30,23867.5
PE,26050,2025-12-26 11:48:00,55.6,26053.5,26078.0,2025-12-26 11:57:00,51.1,STOP_LOSS,-4.5,-337.5,9.0,False,55.6,2025-12-30,23530.0
PE,26050,2025-12-26 12:03:00,52.65,26055.95,26081.9,2025-12-26 12:33:00,63.5,TARGET,10.85,813.75,30.0,True,63.5,2025-12-30,24343.75
PE,26050,2025-12-26 12:36:00,68.15,26039.3,26059.6,2025-12-26 12:54:00,63.95,STOP_LOSS,-4.2,-315.0,18.0,False,68.15,2025-12-30,24028.75
PE,26050,2025-12-26 12:57:00,64.45,26038.25,26059.9,2025-12-26 13:15:00,59.1,STOP_LOSS,-5.35,-401.25,18.0,False,64.45,2025-12-30,23627.5
PE,26050,2025-12-26 14:06:00,60.0,26042.9,26061.5,2025-12-26 14:30:00,63.5,TRAILING_STOP,3.5,262.5,24.0,True,67.75,2025-12-30,23890.0
PE,26000,2025-12-26 14:33:00,45.3,26014.85,26048.0,2025-12-26 15:00:00,40.75,STOP_LOSS,-4.55,-341.25,27.0,False,45.3,2025-12-30,23548.75
