entry_time,exit_time,option_type,strike,strike_type,expiry,entry_price,exit_price,entry_spot,exit_spot,pnl_points,pnl,exit_reason,hold_time_minutes,is_winner
2025-11-24 09:30:00,2025-11-24 09:32:00,CE,26100,ATM,2025-11-25,103.55,94.0,26115.05,26100.25,-9.549999999999997,-716.2499999999998,STOP_LOSS,2.0,False
2025-11-24 09:34:00,2025-11-24 09:45:00,PE,26100,ATM,2025-11-25,72.95,87.8,26092.95,26071.95,14.849999999999994,1113.7499999999995,TARGET,11.0,True
2025-11-24 09:50:00,2025-11-24 09:54:00,CE,26100,ATM,2025-11-25,95.0,84.65,26103.1,26087.25,-10.349999999999994,-776.2499999999995,STOP_LOSS,4.0,False
2025-11-24 10:02:00,2025-11-24 10:37:00,CE,26100,ATM,2025-11-25,98.1,115.0,26106.75,26140.25,16.900000000000006,1267.5000000000005,TARGET,35.0,True
2025-11-24 10:39:00,2025-11-24 10:54:00,CE,26150,ATM,2025-11-25,78.45,67.4,26137.45,26114.1,-11.049999999999997,-828.7499999999998,STOP_LOSS,15.0,False
2025-11-24 10:59:00,2025-11-24 11:25:00,PE,26100,ATM,2025-11-25,58.7,58.9,26108.4,26104.5,0.19999999999999574,14.99999999999968,TRAILING_STOP,26.0,True
2025-11-24 11:27:00,2025-11-24 11:46:00,CE,26100,ATM,2025-11-25,92.85,88.05,26110.0,26106.5,-4.799999999999997,-359.9999999999998,TRAILING_STOP,19.0,False
2025-11-24 11:59:00,2025-11-24 12:20:00,PE,26100,ATM,2025-11-25,73.1,68.6,26077.4,26084.55,-4.5,-337.5,TRAILING_STOP,21.0,False
2025-11-24 12:31:00,2025-11-24 12:34:00,PE,26050,ATM,2025-11-25,61.85,52.4,26058.7,26077.6,-9.450000000000003,-708.7500000000002,STOP_LOSS,3.0,False
2025-11-24 12:36:00,2025-11-24 13:20:00,PE,26100,ATM,2025-11-25,70.5,65.3,26079.9,26093.55,-5.200000000000003,-390.0000000000002,TRAILING_STOP,44.0,False
2025-11-25 09:15:00,2025-11-25 09:18:00,PE,25950,ATM,2025-11-25,63.25,48.2,25935.1,25957.35,-15.049999999999997,-1128.7499999999998,STOP_LOSS,3.0,False
2025-11-25 09:20:00,2025-11-25 09:21:00,CE,25950,ATM,2025-11-25,61.9,51.05,25960.7,25943.7,-10.850000000000001,-813.7500000000001,STOP_LOSS,1.0,False
2025-11-27 10:27:00,2025-11-27 10:46:00,PE,26200,OTM,2025-12-02,78.3,69.65,26267.5,26292.5,-8.649999999999991,-648.7499999999993,STOP_LOSS,19.0,False
2025-11-27 14:18:00,2025-11-27 14:24:00,PE,26100,OTM,2025-12-02,71.85,62.6,26174.0,26199.2,-9.249999999999993,-693.7499999999994,STOP_LOSS,6.0,False
2025-11-28 09:45:00,2025-11-28 09:52:00,PE,26150,OTM,2025-12-02,62.1,53.3,26215.2,26245.85,-8.800000000000004,-660.0000000000003,STOP_LOSS,7.0,False
2025-11-28 13:38:00,2025-11-28 13:52:00,PE,26150,OTM,2025-12-02,52.1,64.85,26224.15,26197.35,12.749999999999993,956.2499999999994,TARGET,14.0,True
2025-11-28 13:54:00,2025-11-28 14:01:00,PE,26150,OTM,2025-12-02,57.0,53.3,26212.25,26217.1,-3.700000000000003,-277.5000000000002,TRAILING_STOP,7.0,False
2025-11-28 14:08:00,2025-11-28 14:32:00,PE,26150,OTM,2025-12-02,57.0,51.45,26208.35,26216.0,-5.549999999999997,-416.2499999999998,TRAILING_STOP,24.0,False
2025-11-28 14:45:00,2025-11-28 15:21:00,PE,26150,OTM,2025-12-02,56.25,48.2,26206.75,26204.0,-8.049999999999997,-603.7499999999998,STOP_LOSS,36.0,False
2025-12-01 09:54:00,2025-12-01 10:01:00,PE,26200,OTM,2025-12-02,38.65,37.65,26273.55,26277.4,-1.0,-75.0,TRAILING_STOP,7.0,False
2025-12-01 10:25:00,2025-12-01 10:53:00,PE,26200,OTM,2025-12-02,38.35,50.35,26273.15,26234.15,12.0,900.0,TARGET,28.0,True
2025-12-01 10:59:00,2025-12-01 11:13:00,PE,26200,OTM,2025-12-02,47.45,44.25,26238.95,26242.9,-3.200000000000003,-240.00000000000023,TRAILING_STOP,14.0,False
