Timestamp,Spot,RSI,RSI_Ready,VWAP,ATM_Strike,PCR,CE_Price,PE_Price,CE_OI,PE_OI,CE_Delta,PE_Delta,Status,PnL,Reason
14:36:02,0.0,50,False,0.0,0,0.0,0,0,0,0,0,0,SCANNING_NEUTRAL_EARLY,0,Waiting for entry (EARLY mode)
14:36:08,0.0,50,False,0.0,0,0.0,0,0,0,0,0,0,SCANNING_NEUTRAL_EARLY,0,Waiting for entry (EARLY mode)
14:36:14,0.0,50,False,0.0,0,0.0,0,0,0,0,0,0,SCANNING_NEUTRAL_EARLY,0,Waiting for entry (EARLY mode)
14:36:21,0.0,50,False,0.0,0,0.0,0,0,0,0,0,0,SCANNING_NEUTRAL_EARLY,0,Waiting for entry (EARLY mode)
14:40:02,26023.9,50,True,26051.65,26000,0.68,95,43.8,220758,295214,0.6224,-0.3776,IN_POSITION_PE@26000,-7.5,Monitoring @ Rs. 43.80
14:40:09,26020.65,50,True,26051.88,26000,0.68,95,43.9,220758,295214,0.6217,-0.3783,IN_POSITION_PE@26000,0.0,Monitoring @ Rs. 43.90
14:40:16,26019.3,50,True,26052.18,26000,0.68,95.2,43.7,220758,295214,0.6217,-0.3783,IN_POSITION_PE@26000,-15.0,Monitoring @ Rs. 43.70
14:40:24,26022.6,50,True,26052.27,26000,0.68,95.25,43.7,220758,295214,0.6229,-0.3771,IN_POSITION_PE@26000,-15.0,Monitoring @ Rs. 43.70
14:40:31,26018.95,50,True,26051.96,26000,0.68,94.95,43.95,220758,295214,0.6217,-0.3783,IN_POSITION_PE@26000,3.75,Monitoring @ Rs. 43.95
14:40:38,26020.4,50,True,26052.04,26000,0.68,94.55,44.05,220758,295214,0.6226,-0.3774,IN_POSITION_PE@26000,11.25,Monitoring @ Rs. 44.05
14:40:44,26019.15,50,True,26051.83,26000,0.68,94.65,44.05,220758,295214,0.6226,-0.3774,IN_POSITION_PE@26000,11.25,Monitoring @ Rs. 44.05
14:40:51,26018.25,50,True,26051.23,26000,0.68,94.1,44.55,220758,295214,0.6211,-0.3789,IN_POSITION_PE@26000,48.75,Monitoring @ Rs. 44.55
14:40:58,26017.3,50,True,26050.65,26000,0.68,93.85,44.55,220758,295214,0.6211,-0.3789,IN_POSITION_PE@26000,48.75,Monitoring @ Rs. 44.55
14:41:05,26016.8,50,True,26050.56,26000,0.68,94.15,44.45,220758,295214,0.6194,-0.3806,IN_POSITION_PE@26000,41.25,Monitoring @ Rs. 44.45
14:41:12,26016.95,50,True,26050.52,26000,0.68,94.7,44.25,220758,295214,0.6176,-0.3824,IN_POSITION_PE@26000,26.25,Monitoring @ Rs. 44.25
14:41:18,26019.15,50,True,26050.49,26000,0.68,94.85,44.4,220758,295214,0.6182,-0.3818,IN_POSITION_PE@26000,37.5,Monitoring @ Rs. 44.40
14:41:25,26017.15,50,True,26050.46,26000,0.68,94.5,44.35,220758,295214,0.6182,-0.3818,IN_POSITION_PE@26000,33.75,Monitoring @ Rs. 44.35
14:41:31,26019.4,50,True,26050.42,26000,0.68,94.6,44.15,220758,295214,0.6182,-0.3818,IN_POSITION_PE@26000,18.75,Monitoring @ Rs. 44.15
14:41:38,26018.6,50,True,26050.37,26000,0.67,95.05,44.1,221617,295203,0.62,-0.38,IN_POSITION_PE@26000,15.0,Monitoring @ Rs. 44.10
14:41:45,26018.05,50,True,26050.26,26000,0.68,95,44.05,221617,295203,0.6216,-0.3784,IN_POSITION_PE@26000,11.25,Monitoring @ Rs. 44.05
14:41:52,26019.95,50,True,26050.48,26000,0.68,94.85,44,221617,295203,0.6217,-0.3783,IN_POSITION_PE@26000,7.5,Monitoring @ Rs. 44.00
14:41:59,26021.65,50,True,26050.75,26000,0.68,94.8,43.95,221617,295203,0.6217,-0.3783,IN_POSITION_PE@26000,3.75,Monitoring @ Rs. 43.95
14:42:05,26021.75,50,True,26050.65,26000,0.68,94.75,43.9,221617,295203,0.6217,-0.3783,IN_POSITION_PE@26000,0.0,Monitoring @ Rs. 43.90
14:42:12,26021.75,50,True,26050.78,26000,0.68,94.8,43.85,221617,295203,0.6211,-0.3789,IN_POSITION_PE@26000,-3.75,Monitoring @ Rs. 43.85
14:42:43,26020.0,50,True,26050.52,26000,0.68,94.95,43.9,221617,295203,0.6225,-0.3775,IN_POSITION_PE@26000,-7.5,Monitoring @ Rs. 43.90
14:42:50,26020.95,50,True,26051.06,26000,0.68,94.8,43.85,221617,295203,0.6232,-0.3768,IN_POSITION_PE@26000,-11.25,Monitoring @ Rs. 43.85
14:42:58,26020.7,50,True,26052.4,26000,0.68,94.45,44.15,221617,295203,0.6215,-0.3785,IN_POSITION_PE@26000,11.25,Monitoring @ Rs. 44.15
14:43:05,26019.6,50,True,26052.56,26000,0.68,95.2,43.85,221617,295203,0.6206,-0.3794,IN_POSITION_PE@26000,-11.25,Monitoring @ Rs. 43.85
14:43:12,26019.5,50,True,26052.41,26000,0.68,94.95,44.1,221617,295203,0.6206,-0.3794,IN_POSITION_PE@26000,7.5,Monitoring @ Rs. 44.10
14:43:20,26020.95,50,True,26052.32,26000,0.68,94.95,44.05,221617,295203,0.6219,-0.3781,IN_POSITION_PE@26000,3.75,Monitoring @ Rs. 44.05
14:43:27,26020.1,50,True,26052.34,26000,0.68,94.6,44.1,221617,295203,0.6215,-0.3785,IN_POSITION_PE@26000,7.5,Monitoring @ Rs. 44.10
14:43:34,26018.2,50,True,26052.57,26000,0.68,94.45,44.15,221617,295203,0.6215,-0.3785,IN_POSITION_PE@26000,11.25,Monitoring @ Rs. 44.15
14:43:40,26018.3,50,True,26052.47,26000,0.68,94.7,44.1,221617,295203,0.6202,-0.3798,IN_POSITION_PE@26000,7.5,Monitoring @ Rs. 44.10
14:43:47,26017.1,50,True,26052.35,26000,0.68,94.5,44,221617,295203,0.6202,-0.3798,IN_POSITION_PE@26000,0,Monitoring @ Rs. 44.00
14:43:54,26018.35,50,True,26052.45,26000,0.68,94.75,44,221617,295203,0.6196,-0.3804,IN_POSITION_PE@26000,0,Monitoring @ Rs. 44.00
14:44:01,26017.55,50,True,26052.44,26000,0.68,95,43.8,221617,295203,0.6208,-0.3792,IN_POSITION_PE@26000,-15.0,Monitoring @ Rs. 43.80
14:44:09,26020.65,50,True,26052.44,26000,0.68,95,43.9,221617,295203,0.6208,-0.3792,IN_POSITION_PE@26000,-7.5,Monitoring @ Rs. 43.90
14:44:16,26016.25,50,True,26052.45,26000,0.68,95,43.85,221617,295203,0.6199,-0.3801,IN_POSITION_PE@26000,-11.25,Monitoring @ Rs. 43.85
14:44:23,26020.15,50,True,26052.45,26000,0.68,95.15,44,221617,295203,0.6227,-0.3773,IN_POSITION_PE@26000,0,Monitoring @ Rs. 44.00
14:44:31,26018.1,50,True,26052.44,26000,0.68,95.15,43.9,221617,295203,0.6227,-0.3773,IN_POSITION_PE@26000,-7.5,Monitoring @ Rs. 43.90
14:44:38,26019.95,50,True,26052.46,26000,0.67,94.9,44.05,220507,289894,0.6221,-0.3779,IN_POSITION_PE@26000,3.75,Monitoring @ Rs. 44.05
14:44:45,26015.65,50,True,26052.52,26000,0.67,94.9,44.15,220507,289894,0.6222,-0.3778,IN_POSITION_PE@26000,11.25,Monitoring @ Rs. 44.15
