timestamp,open,high,low,close
2020-01-01 00:00:00+05:30,12201.55,12222.2,12165.3,12189.7
2020-01-02 00:00:00+05:30,12197.3,12289.9,12195.25,12282.95
2020-01-03 00:00:00+05:30,12257.0,12265.6,12191.35,12223.8
2020-01-06 00:00:00+05:30,12169.5,12179.1,11974.2,11989.65
2020-01-07 00:00:00+05:30,12073.0,12152.15,12005.35,12060.3
2020-01-08 00:00:00+05:30,11938.5,12044.95,11929.6,12021.6
2020-01-09 00:00:00+05:30,12132.55,12224.05,12132.55,12215.4
2020-01-10 00:00:00+05:30,12262.45,12311.2,12213.2,12256.5
2020-01-13 00:00:00+05:30,12285.8,12337.75,12285.8,12329.6
2020-01-14 00:00:00+05:30,12328.3,12374.25,12308.7,12360.3
2020-01-15 00:00:00+05:30,12346.2,12355.15,12278.75,12340.35
2020-01-16 00:00:00+05:30,12345.75,12389.05,12315.8,12354.05
2020-01-17 00:00:00+05:30,12333.15,12385.45,12321.4,12346.1
2020-01-20 00:00:00+05:30,12412.1,12418.7,12216.9,12230.75
2020-01-21 00:00:00+05:30,12184.35,12230.05,12162.3,12169.65
2020-01-22 00:00:00+05:30,12212.05,12225.05,12087.9,12108.15
2020-01-23 00:00:00+05:30,12121.6,12189.0,12094.1,12179.9
2020-01-24 00:00:00+05:30,12182.95,12272.15,12149.65,12253.45
2020-01-27 00:00:00+05:30,12190.3,12216.6,12107.0,12111.8
2020-01-28 00:00:00+05:30,12145.0,12163.55,12024.5,12060.25
2020-01-29 00:00:00+05:30,12120.85,12169.6,12103.8,12132.85
2020-01-30 00:00:00+05:30,12143.75,12143.75,12010.6,12025.45
2020-01-31 00:00:00+05:30,12089.95,12099.95,11945.85,11967.25
2020-02-01 00:00:00+05:30,11934.35,12017.35,11633.3,11643.8
2020-02-03 00:00:00+05:30,11626.5,11749.85,11614.5,11723.8
2020-02-04 00:00:00+05:30,11783.4,11986.15,11783.4,11982.45
2020-02-05 00:00:00+05:30,12000.0,12098.15,11953.35,12092.8
2020-02-06 00:00:00+05:30,12114.3,12160.6,12084.65,12133.65
2020-02-07 00:00:00+05:30,12143.4,12150.65,12073.95,12086.4
2020-02-10 00:00:00+05:30,12099.75,12099.75,11990.75,12036.8
2020-02-11 00:00:00+05:30,12104.8,12172.3,12099.0,12110.35
2020-02-12 00:00:00+05:30,12148.3,12231.75,12144.3,12203.55
2020-02-13 00:00:00+05:30,12216.1,12216.1,12139.8,12166.9
2020-02-14 00:00:00+05:30,12197.75,12246.7,12091.2,12112.6
2020-02-17 00:00:00+05:30,12127.5,12159.6,12037.0,12050.05
2020-02-18 00:00:00+05:30,12022.7,12030.75,11908.05,12007.7
2020-02-19 00:00:00+05:30,12082.6,12134.7,12042.1,12130.3
2020-02-20 00:00:00+05:30,12109.05,12152.0,12071.45,12083.7
2020-02-24 00:00:00+05:30,11997.55,11997.55,11813.4,11838.6
2020-02-25 00:00:00+05:30,11869.8,11883.05,11779.9,11813.2
2020-02-26 00:00:00+05:30,11741.35,11783.25,11639.6,11675.45
2020-02-27 00:00:00+05:30,11658.45,11658.45,11536.7,11618.45
2020-02-28 00:00:00+05:30,11374.05,11374.05,11175.05,11219.2
2020-03-02 00:00:00+05:30,11380.2,11433.0,11036.25,11149.25
2020-03-03 00:00:00+05:30,11215.95,11342.25,11152.55,11330.45
2020-03-04 00:00:00+05:30,11350.45,11353.2,11082.15,11254.2
2020-03-05 00:00:00+05:30,11300.25,11389.5,11244.6,11258.95
2020-03-06 00:00:00+05:30,10905.5,11035.1,10827.4,10979.55
2020-03-09 00:00:00+05:30,10736.9,10736.9,10294.45,10451.45
2020-03-11 00:00:00+05:30,10334.0,10545.1,10334.0,10448.9
2020-03-12 00:00:00+05:30,10009.55,10009.55,9508.0,9633.1
2020-03-13 00:00:00+05:30,9101.65,10159.4,8476.15,10023.65
2020-03-16 00:00:00+05:30,9570.2,9602.2,9165.1,9199.1
2020-03-17 00:00:00+05:30,9308.4,9403.8,8915.6,8966.7
2020-03-18 00:00:00+05:30,9088.25,9127.55,8407.05,8541.5
2020-03-19 00:00:00+05:30,8060.3,8575.45,7832.55,8269.7
2020-03-20 00:00:00+05:30,8263.4,8883.0,8178.2,8749.7
2020-03-23 00:00:00+05:30,7941.65,8355.55,7583.6,7634.6
2020-03-24 00:00:00+05:30,7847.9,8036.95,7511.1,7856.8
2020-03-25 00:00:00+05:30,7732.1,8376.75,7714.75,8297.8
2020-03-26 00:00:00+05:30,8443.65,8749.05,8304.9,8653.55
2020-03-27 00:00:00+05:30,8918.8,9038.9,8522.9,8674.4
2020-03-30 00:00:00+05:30,8383.45,8576.0,8244.0,8289.35
2020-03-31 00:00:00+05:30,8511.2,8678.3,8358.0,8557.0
2020-04-01 00:00:00+05:30,8574.1,8578.1,8198.35,8263.6
2020-04-03 00:00:00+05:30,8341.1,8341.1,8055.8,8106.6
2020-04-07 00:00:00+05:30,8425.1,8819.4,8360.95,8785.9
2020-04-08 00:00:00+05:30,8671.05,9131.7,8653.9,8754.4
2020-04-09 00:00:00+05:30,8941.05,9128.35,8904.55,9098.95
