Entry_Time,Exit_Time,Symbol,Type,Strike,Entry_Price,Exit_Price,Max_Price,PnL,PnL_Pct,Balance,Exit_Reason
9:54:29,9:58:30,NIFTY25DEC26050PE,PE,26050,40.35,51.1,51.1,806.25,26.64,10806.25,TARGET
10:01:17,10:31:24,NIFTY25DEC26050PE,PE,26050,53.15,56.35,60.7,240,6.02,11046.25,TIME_EXIT
,,,,,,,,1046,,,
10:37:08,10:47:12,NIFTY25DEC26000PE,PE,26000,35.75,45.85,45.85,757.5,28.25,10757.5,TARGET
10:48:16,11:07:09,NIFTY25DEC26000PE,PE,26000,43.9,56.7,56.7,960,29.16,11717.5,TARGET
,,,,,,,,1717,,,
11:08:26,11:38:34,NIFTY25DEC26000PE,PE,26000,55.8,58.3,60.35,187.5,4.48,10187.5,TIME_EXIT
11:39:38,11:46:57,NIFTY25DEC25950PE,PE,25950,35.15,29.5,35.3,-423.75,-16.07,9763.75,STOP_LOSS
11:57:17,12:10:38,NIFTY25DEC26000PE,PE,26000,55,49.65,56.5,-401.25,-9.73,9362.5,STOP_LOSS
12:20:16,12:34:33,NIFTY25DEC26000PE,PE,26000,52.3,63,63,802.5,20.46,10165,TARGET
12:35:38,13:05:41,NIFTY25DEC25950PE,PE,25950,37.05,33.9,38.55,-236.25,-8.5,9928.75,TIME_EXIT
13:14:34,13:37:35,NIFTY25DEC25950PE,PE,25950,38.45,51.95,51.95,1012.5,35.11,10941.25,TARGET
13:38:41,13:48:45,NIFTY25DEC25950PE,PE,25950,54.75,49.65,59.85,-382.5,-9.32,10558.75,STOP_LOSS
14:14:07,14:24:10,NIFTY25DEC25950PE,PE,25950,48.75,43.6,57.25,-386.25,-10.56,10172.5,STOP_LOSS
14:40:33,14:46:36,NIFTY25DEC25950PE,PE,25950,45.2,55.55,55.55,776.25,22.9,10948.75,TARGET
14:47:43,15:04:54,NIFTY25DEC25950PE,PE,25950,50.85,45.55,58.9,-397.5,-10.42,10551.25,STOP_LOSS
,,,,,,,,551.25,,,
,,,,,,,,,,,
,,,,,,,,total,,,
,,,,,,,,3314.25,,,
