Timestamp,Spot,Future,RSI,ADX,ATR,VWAP,EMA5,EMA13,ATM,PCR,Volume_Rel
15:22:11,23982.74,23987.74,64.4,32.7,49.8,23988.23,23977.84,23973.03,24000,0.92,2.02
15:22:12,24002.05,23998.39,37.1,37.2,41.1,23996.80,24004.69,24010.04,24000,1.08,1.66
15:22:13,24075.07,24078.47,46.6,24.0,40.5,24079.08,24075.64,24086.39,24100,0.66,2.03
15:22:14,23979.08,23994.07,42.0,25.2,53.6,23985.28,23980.48,23984.63,24000,0.79,1.20
15:22:15,23982.98,23960.85,59.0,20.4,47.4,23975.69,23985.59,23973.83,24000,1.06,1.58
15:22:16,23958.62,23966.57,42.5,29.0,58.8,23956.15,23949.24,23950.24,23950,0.91,1.07
15:22:17,24001.13,24002.16,54.9,23.5,56.1,24003.84,24013.21,24007.62,24000,0.88,1.39
15:22:18,23914.75,23898.29,41.2,37.0,57.8,23906.16,23901.62,23896.85,23900,1.07,1.46
15:22:19,24073.35,24084.10,38.4,24.2,55.9,24077.15,24082.39,24076.88,24050,1.02,1.03
15:22:21,23943.48,23966.91,35.7,39.9,57.1,23953.65,23955.91,23953.85,23950,0.88,1.60
15:22:22,23971.71,23985.76,34.1,32.1,48.4,23983.29,23975.29,23971.74,23950,0.82,1.30
15:22:23,24079.59,24093.76,50.8,35.6,50.3,24079.55,24077.04,24078.80,24100,0.78,2.01
15:22:24,24009.36,23989.64,59.3,33.4,44.6,24001.21,24011.14,24012.00,24000,0.94,1.30
15:22:25,23971.28,23959.34,38.7,39.8,53.2,23964.92,23969.41,23960.02,23950,0.84,1.87
15:22:26,23971.00,23988.04,52.8,31.1,56.9,23974.39,23962.91,23966.46,23950,1.05,1.35
15:22:27,24049.44,24048.99,41.8,23.3,52.0,24047.79,24058.85,24066.73,24050,1.00,0.88
15:22:28,23954.08,23955.77,30.5,25.1,43.7,23953.37,23955.58,23952.86,23950,1.05,2.19
15:22:29,24035.23,24018.76,33.6,36.8,42.4,24028.46,24037.40,24043.54,24050,0.99,1.15
15:22:30,23994.79,24005.81,42.7,29.2,52.9,23999.44,23986.93,23996.55,24000,0.80,1.98
15:22:31,24005.94,24025.51,45.0,36.7,56.4,24009.49,24015.80,24002.41,24000,0.75,1.96
15:22:32,23975.99,23965.19,68.9,25.4,49.0,23977.07,23974.77,23968.39,24000,0.87,1.11
15:22:33,23985.21,23990.24,42.9,23.9,44.4,23988.81,23987.04,23996.60,24000,0.81,1.13
15:22:34,23923.38,23913.77,32.8,31.0,58.0,23920.38,23914.22,23917.57,23900,0.84,1.53
15:22:35,24094.12,24084.73,39.8,32.8,48.2,24096.26,24099.93,24100.14,24100,1.22,1.63
15:22:36,23938.77,23930.89,41.4,27.2,45.2,23930.02,23936.37,23931.09,23950,1.21,1.86
15:22:37,23954.68,23942.35,53.6,32.7,52.3,23948.35,23952.62,23959.92,23950,1.01,0.93
15:22:38,23924.08,23926.26,44.1,34.3,59.1,23925.05,23930.52,23942.48,23900,0.93,0.88
15:22:39,23940.27,23926.42,52.1,35.0,57.9,23939.31,23931.28,23940.21,23950,0.88,2.13
15:22:40,24017.75,24021.81,32.3,23.4,57.0,24021.27,24018.49,24017.39,24000,1.18,1.60
15:22:41,24021.76,24040.50,31.3,32.8,44.4,24026.92,24019.68,24008.27,24000,1.07,1.03
15:22:42,24053.67,24042.47,64.5,37.3,52.8,24054.89,24051.73,24049.87,24050,1.07,1.88
15:22:43,23915.87,23920.20,38.3,20.0,59.6,23917.57,23926.22,23926.50,23900,1.06,1.11
15:22:44,23990.69,24003.97,52.9,20.3,54.4,23992.24,23986.89,23997.80,24000,0.97,1.73
15:22:45,24082.97,24083.71,54.8,25.4,44.9,24083.44,24078.01,24071.07,24100,1.13,0.88
15:22:46,23915.78,23936.89,44.9,36.2,52.4,23920.80,23903.57,23907.05,23900,1.14,2.23
15:22:47,24049.54,24051.76,43.3,29.5,50.8,24052.88,24051.29,24063.75,24050,1.19,2.20
15:22:48,23964.06,23977.41,58.8,39.3,40.8,23971.18,23958.14,23964.86,23950,1.39,1.60
15:22:49,23918.80,23895.08,40.5,26.8,53.6,23904.89,23914.59,23922.76,23900,0.91,1.22
