entry_time,exit_time,option_type,strike,strike_type,expiry,entry_price,exit_price,entry_spot,exit_spot,pnl_points,pnl,exit_reason,hold_time_minutes,is_winner
2025-11-24 09:30:00,2025-11-24 09:31:00,CE,26100,ATM,2025-11-25,103.55,98.1,26115.05,26107.4,-5.450000000000003,-408.7500000000002,STOP_LOSS,1.0,False
2025-11-24 09:34:00,2025-11-24 09:45:00,PE,26100,ATM,2025-11-25,72.95,87.8,26092.95,26071.95,14.849999999999994,1113.7499999999995,TARGET,11.0,True
2025-11-24 09:50:00,2025-11-24 09:52:00,CE,26100,ATM,2025-11-25,95.0,87.45,26103.1,26096.8,-7.549999999999997,-566.2499999999998,STOP_LOSS,2.0,False
2025-11-24 10:02:00,2025-11-24 10:37:00,CE,26100,ATM,2025-11-25,98.1,115.0,26106.75,26140.25,16.900000000000006,1267.5000000000005,TARGET,35.0,True
2025-11-24 10:39:00,2025-11-24 10:53:00,CE,26150,ATM,2025-11-25,78.45,70.65,26137.45,26119.25,-7.799999999999997,-584.9999999999998,STOP_LOSS,14.0,False
2025-11-24 10:59:00,2025-11-24 11:25:00,PE,26100,ATM,2025-11-25,58.7,58.9,26108.4,26104.5,0.19999999999999574,14.99999999999968,TRAILING_STOP,26.0,True
2025-11-24 11:27:00,2025-11-24 11:45:00,CE,26100,ATM,2025-11-25,92.85,89.2,26110.0,26106.7,-3.6499999999999915,-273.7499999999994,TRAILING_STOP,18.0,False
2025-11-24 11:47:00,2025-11-24 11:53:00,PE,26100,ATM,2025-11-25,59.45,74.2,26105.45,26073.8,14.75,1106.25,TARGET,6.0,True
2025-11-24 11:59:00,2025-11-24 12:18:00,PE,26100,ATM,2025-11-25,73.1,73.65,26077.4,26078.8,0.5500000000000114,41.25000000000085,TRAILING_STOP,19.0,True
2025-11-24 12:31:00,2025-11-24 12:32:00,PE,26050,ATM,2025-11-25,61.85,55.25,26058.7,26071.65,-6.600000000000001,-495.0000000000001,STOP_LOSS,1.0,False
2025-11-24 12:34:00,2025-11-24 12:45:00,PE,26100,ATM,2025-11-25,73.85,68.0,26077.6,26080.55,-5.849999999999994,-438.74999999999955,STOP_LOSS,11.0,False
2025-11-24 12:54:00,2025-11-24 12:59:00,PE,26050,ATM,2025-11-25,52.65,47.4,26074.85,26084.75,-5.25,-393.75,STOP_LOSS,5.0,False
2025-11-24 13:02:00,2025-11-24 13:07:00,PE,26100,ATM,2025-11-25,73.25,68.0,26075.55,26083.1,-5.25,-393.75,STOP_LOSS,5.0,False
2025-11-24 13:13:00,2025-11-24 13:18:00,PE,26100,ATM,2025-11-25,71.25,66.25,26083.4,26086.9,-5.0,-375.0,STOP_LOSS,5.0,False
2025-11-24 13:28:00,2025-11-24 13:35:00,PE,26100,ATM,2025-11-25,75.4,69.85,26079.4,26085.75,-5.550000000000011,-416.25000000000085,STOP_LOSS,7.0,False
2025-11-24 13:37:00,2025-11-24 13:44:00,PE,26100,ATM,2025-11-25,74.0,68.1,26080.95,26086.55,-5.900000000000006,-442.50000000000045,STOP_LOSS,7.0,False
2025-11-24 13:58:00,2025-11-24 14:08:00,PE,26100,ATM,2025-11-25,75.85,94.0,26076.3,26044.35,18.150000000000006,1361.2500000000005,TARGET,10.0,True
2025-11-24 14:11:00,2025-11-24 14:23:00,PE,26050,ATM,2025-11-25,64.4,82.75,26048.75,26026.45,18.349999999999994,1376.2499999999995,TARGET,12.0,True
