datetime,open,high,low,close,volume,oi
2025-11-26T09:15:00,35.0,52.0,35.0,48.55,1181775,36321.0
2025-11-26T09:16:00,48.95,50.4,45.5,48.9,969450,
2025-11-26T09:17:00,48.35,49.35,47.4,47.7,381975,
2025-11-26T09:18:00,47.9,51.3,47.75,50.4,394950,16923.0
2025-11-26T09:19:00,50.5,51.45,49.8,50.6,317025,
2025-11-26T09:20:00,50.55,51.0,48.55,49.7,242100,
2025-11-26T09:21:00,49.85,51.15,49.3,49.3,229275,18211.0
2025-11-26T09:22:00,49.45,49.9,49.05,49.4,146700,
2025-11-26T09:23:00,49.6,50.2,47.85,48.55,236925,
2025-11-26T09:24:00,48.35,49.3,46.9,47.0,190125,18914.0
2025-11-26T09:25:00,46.9,47.8,46.35,47.0,177750,
2025-11-26T09:26:00,47.1,50.1,47.1,50.1,160800,
2025-11-26T09:27:00,50.2,50.5,47.45,47.75,162375,19629.0
2025-11-26T09:28:00,47.85,51.2,47.75,51.0,159975,
2025-11-26T09:29:00,50.9,52.9,50.2,51.4,471750,
2025-11-26T09:30:00,51.3,52.45,51.0,51.6,221850,20710.0
2025-11-26T09:31:00,51.55,53.75,51.4,51.55,375375,
2025-11-26T09:32:00,51.45,53.25,51.4,52.9,207600,
2025-11-26T09:33:00,52.75,59.55,52.55,59.55,631050,20348.0
2025-11-26T09:34:00,58.2,60.85,58.2,60.65,554175,
2025-11-26T09:35:00,60.15,61.65,59.85,60.9,393150,
2025-11-26T09:36:00,60.95,61.2,57.55,57.7,351600,20616.0
2025-11-26T09:37:00,57.55,58.65,56.7,57.3,233025,
2025-11-26T09:38:00,57.5,57.7,55.6,55.7,161175,
2025-11-26T09:39:00,55.95,56.8,55.65,56.7,152925,21180.0
2025-11-26T09:40:00,56.9,57.5,56.2,56.75,118125,
2025-11-26T09:41:00,56.95,58.5,56.7,57.55,170400,
2025-11-26T09:42:00,57.65,59.75,57.5,59.5,155100,21525.0
2025-11-26T09:43:00,59.55,66.5,59.55,65.65,724725,
2025-11-26T09:44:00,65.6,68.35,65.55,67.35,468750,
2025-11-26T09:45:00,67.4,74.4,67.4,74.1,714075,19520.0
2025-11-26T09:46:00,72.85,74.8,72.85,74.0,454275,
2025-11-26T09:47:00,73.7,74.5,72.8,72.9,285000,
2025-11-26T09:48:00,72.8,75.65,72.6,74.7,324600,20131.0
2025-11-26T09:49:00,74.55,76.15,74.05,75.95,279900,
2025-11-26T09:50:00,76.6,88.35,76.5,87.8,909150,
2025-11-26T09:51:00,87.25,95.4,87.0,95.25,813525,19670.0
2025-11-26T09:52:00,95.55,96.45,86.45,88.0,882525,
2025-11-26T09:53:00,87.65,87.95,83.35,83.5,572475,
2025-11-26T09:54:00,83.35,89.5,83.35,89.25,457350,21262.0
2025-11-26T09:55:00,89.5,92.95,89.1,90.7,509025,
2025-11-26T09:56:00,90.5,91.4,86.25,86.55,345300,
2025-11-26T09:57:00,86.7,89.35,85.4,86.7,306600,21966.0
2025-11-26T09:58:00,86.9,88.3,86.9,87.35,164550,
2025-11-26T09:59:00,87.45,90.6,87.3,90.25,242475,
2025-11-26T10:00:00,90.3,93.3,90.3,93.2,419775,22364.0
2025-11-26T10:01:00,93.25,95.7,91.85,95.25,493200,
2025-11-26T10:02:00,95.0,95.5,92.8,93.1,320100,
2025-11-26T10:03:00,93.4,93.4,88.8,90.4,363075,22889.0
2025-11-26T10:04:00,90.5,93.0,90.45,92.1,203100,
2025-11-26T10:05:00,92.15,96.85,92.1,95.6,429450,
2025-11-26T10:06:00,95.75,97.6,92.75,93.6,419400,
2025-11-26T10:07:00,93.7,96.45,93.25,96.05,222075,22492.0
2025-11-26T10:08:00,96.4,96.5,93.6,94.5,205575,
2025-11-26T10:09:00,94.35,94.6,90.95,91.2,220275,
2025-11-26T10:10:00,91.15,93.05,89.5,89.6,214425,22737.0
2025-11-26T10:11:00,89.75,89.75,85.4,85.7,299850,
2025-11-26T10:12:00,85.45,90.5,84.7,90.15,312825,
2025-11-26T10:13:00,90.05,91.5,88.75,89.5,269475,22795.0
2025-11-26T10:14:00,89.55,91.5,87.75,90.5,187125,
2025-11-26T10:15:00,90.55,93.45,90.35,91.2,251775,
2025-11-26T10:16:00,91.15,92.15,89.6,92.0,153450,23286.0
2025-11-26T10:17:00,91.3,92.7,89.15,89.25,225825,
2025-11-26T10:18:00,89.3,90.7,88.75,89.55,105975,
2025-11-26T10:19:00,89.2,90.4,88.95,89.3,84000,23568.0
2025-11-26T10:20:00,89.4,89.4,86.5,86.8,247125,
2025-11-26T10:21:00,86.85,87.45,83.8,84.0,205575,
2025-11-26T10:22:00,84.3,88.6,84.3,88.0,171150,24144.0
2025-11-26T10:23:00,88.2,88.25,84.35,86.0,147000,
2025-11-26T10:24:00,86.1,88.7,86.05,88.0,177150,
2025-11-26T10:25:00,88.1,88.45,85.15,85.15,192225,25521.0
2025-11-26T10:26:00,85.3,86.25,84.45,84.45,108450,
2025-11-26T10:27:00,84.65,84.65,81.15,82.4,285975,
2025-11-26T10:28:00,83.2,83.55,81.35,82.05,164625,25972.0
2025-11-26T10:29:00,82.8,82.95,81.05,82.1,109725,
2025-11-26T10:30:00,82.05,85.2,81.75,82.3,318375,
2025-11-26T10:31:00,82.95,85.6,81.7,82.1,204300,26994.0
2025-11-26T10:32:00,82.05,86.55,81.3,85.65,216375,
2025-11-26T10:33:00,86.0,86.9,84.3,85.0,336225,
2025-11-26T10:34:00,84.9,85.8,82.9,84.75,193500,28540.0
2025-11-26T10:35:00,85.05,86.0,84.05,84.65,126075,
2025-11-26T10:36:00,84.6,85.7,83.7,85.05,123675,
2025-11-26T10:37:00,85.15,88.0,84.95,85.4,296775,28703.0
2025-11-26T10:38:00,85.55,88.35,85.5,87.85,184650,
2025-11-26T10:39:00,88.0,91.45,87.65,91.0,320325,
2025-11-26T10:40:00,90.9,92.0,88.85,88.85,277200,28191.0
