Entry_Time,Exit_Time,Symbol,Type,Entry_Price,Exit_Price,Max_Price,PnL,Balance,Exit_Reason
10:38:26,10:38:35,NIFTY25DEC26250PE,PE,94.55,73.6,94.6,-1571.25,8428.75,Structural Exit
10:40:26,10:40:34,NIFTY25DEC26250PE,PE,94.65,73.15,94.95,-1612.5,8387.5,Structural Exit
