threshold,trades,wins,precision,avg_ret_1m,trades_per_day,exp_rupees_per_trade
0.5,218641,116825,0.5343233885684753,,121.941438929169,
0.51,163774,88852,0.5425281180162908,,91.34076965978807,
0.52,118927,65317,0.5492192689633136,,66.32849972113776,
0.53,84261,47063,0.558538351075824,,46.99442275515895,
0.54,57818,32688,0.565360268428517,,32.246514221974344,
0.55,38269,22006,0.5750346233243617,,21.34355828220859,
0.56,24095,14102,0.5852666528325379,,13.438371444506414,
0.5700000000000001,14812,8789,0.5933702403456657,,8.261015058561071,
0.5800000000000001,8843,5331,0.6028497116363225,,4.931957612939208,
0.5900000000000001,5354,3294,0.61524094135226,,2.9860568878973788,
0.6000000000000001,3311,2093,0.6321353065539113,,1.8466257668711656,
0.6100000000000001,2095,1343,0.6410501193317423,,1.1684327941996653,
0.6200000000000001,1373,889,0.6474872541879096,,0.7657557166759621,
0.6300000000000001,952,619,0.6502100840336135,,0.5309537088678193,
0.6400000000000001,664,436,0.6566265060240963,,0.3703290574456219,
0.6500000000000001,481,321,0.6673596673596673,,0.2682654768544339,
0.6600000000000001,346,235,0.6791907514450867,,0.19297267150027886,
0.6700000000000002,245,167,0.6816326530612244,,0.13664249860568878,
0.6800000000000002,184,127,0.6902173913043478,,0.10262130507529281,
0.6900000000000002,126,90,0.7142857142857143,,0.07027328499721137,
0.7000000000000002,88,60,0.6818181818181818,,0.049079754601226995,
0.7100000000000002,51,35,0.6862745098039216,,0.02844394868934746,
0.7200000000000002,32,22,0.6875,,0.01784718349135527,
0.7300000000000002,18,12,0.6666666666666666,,0.010039040713887339,
0.7400000000000002,11,7,0.6363636363636364,,0.006134969325153374,
0.7500000000000002,7,5,0.7142857142857143,,0.0039040713887339654,
0.7600000000000002,3,1,0.3333333333333333,,0.0016731734523145567,
0.7700000000000002,1,0,0.0,,0.0005577244841048522,
0.7800000000000002,0,0,0.0,0.0,0.0,0.0
0.7900000000000003,0,0,0.0,0.0,0.0,0.0
0.8000000000000003,0,0,0.0,0.0,0.0,0.0
0.8100000000000003,0,0,0.0,0.0,0.0,0.0
0.8200000000000003,0,0,0.0,0.0,0.0,0.0
0.8300000000000003,0,0,0.0,0.0,0.0,0.0
0.8400000000000003,0,0,0.0,0.0,0.0,0.0
0.8500000000000003,0,0,0.0,0.0,0.0,0.0
0.8600000000000003,0,0,0.0,0.0,0.0,0.0
0.8700000000000003,0,0,0.0,0.0,0.0,0.0
0.8800000000000003,0,0,0.0,0.0,0.0,0.0
0.8900000000000003,0,0,0.0,0.0,0.0,0.0
0.9000000000000004,0,0,0.0,0.0,0.0,0.0
