Timestamp,Strategy,Spot,RSI,RSI_Ready,VWAP,ATM_Strike,PCR,CE_Price,PE_Price,CE_OI,PE_OI,CE_Delta,PE_Delta,Status,PnL,Reason
12:25:34,STRATEGY_C,25886.95,38,True,26088.3,25900,0.7,143,98,38506,49698,0.5645,-0.4355,SCANNING,0,Waiting for entry
12:25:44,STRATEGY_C,25886.4,37,True,26088.3,25900,0.7,143,98,38506,49698,0.5645,-0.4355,SCANNING,0,Waiting for entry
12:25:54,STRATEGY_C,25888.65,41,True,26088.3,25900,0.7,143.65,97.35,38506,49698,0.5645,-0.4355,SCANNING,0,Waiting for entry
12:26:07,STRATEGY_C,25888.4,40,True,26088.29,25900,0.7,144.5,96.7,38719,49764,0.5629,-0.4371,SCANNING,0,Waiting for entry
12:26:17,STRATEGY_C,25892.25,48,True,26088.27,25900,0.7,144.25,96.8,38719,49764,0.5683,-0.4317,SCANNING,0,Waiting for entry
12:26:28,STRATEGY_C,25893.45,50,True,26088.26,25900,0.7,145.15,95.95,38719,49764,0.5684,-0.4316,SCANNING,0,Waiting for entry
12:26:40,STRATEGY_C,25892.2,48,True,26088.25,25900,0.7,144.85,96.65,38719,49764,0.5684,-0.4316,SCANNING,0,Waiting for entry
12:26:51,STRATEGY_C,25894.2,51,True,26088.24,25900,0.7,145.75,95.8,38719,49764,0.568,-0.432,SCANNING,0,Waiting for entry
12:27:02,STRATEGY_C,25893.65,50,True,26088.23,25900,0.7,145.55,95.75,38719,49764,0.568,-0.432,SCANNING,0,Waiting for entry
12:27:12,STRATEGY_C,25892.2,48,True,26088.22,25900,0.7,145.4,96.35,38719,49764,0.5685,-0.4315,SCANNING,0,Waiting for entry
12:27:23,STRATEGY_C,25890.6,45,True,26088.21,25900,0.7,144.85,96.8,38719,49764,0.5685,-0.4315,SCANNING,0,Waiting for entry
12:27:33,STRATEGY_C,25887.85,42,True,26088.2,25900,0.7,143.65,97.55,38719,49764,0.569,-0.431,SCANNING,0,Waiting for entry
12:27:44,STRATEGY_C,25887.85,42,True,26088.2,25900,0.7,144.2,97.35,38719,49764,0.5661,-0.4339,SCANNING,0,Waiting for entry
12:27:54,STRATEGY_C,25887.3,41,True,26088.19,25900,0.7,144.15,97.5,38719,49764,0.5639,-0.4361,SCANNING,0,Waiting for entry
12:28:04,STRATEGY_C,25887.5,41,True,26088.18,25900,0.7,144.1,97.55,38719,49764,0.5653,-0.4347,SCANNING,0,Waiting for entry
12:28:15,STRATEGY_C,25885.95,39,True,26088.17,25900,0.7,144.25,97.6,38719,49764,0.5653,-0.4347,SCANNING,0,Waiting for entry
