Timestamp,Spot,RSI,ATM_Strike,PCR,CE_Price,PE_Price,CE_OI,PE_OI,CE_Delta,PE_Delta,Status,PnL,Reason
09:15:36,26152.8,33,26150,1.08,119.55,91.2,24373,31291,0.5499,-0.4501,WATCHING,0,Recording Morning Burst
09:15:40,26154.9,34,26150,1.08,118.4,92.9,24373,31291,0.5449,-0.4551,WATCHING,0,Recording Morning Burst
09:15:44,26153.15,33,26150,1.08,118.7,91.2,24373,31291,0.5449,-0.4551,WATCHING,0,Recording Morning Burst
09:15:49,26150.15,32,26150,1.08,118.05,92.55,24373,31291,0.5449,-0.4551,WATCHING,0,Recording Morning Burst
09:15:52,26152.65,33,26150,1.08,118.4,91.65,24373,31291,0.5449,-0.4551,WATCHING,0,Recording Morning Burst
09:15:55,26153.1,33,26150,1.08,118.5,91.45,24373,31291,0.5405,-0.4595,WATCHING,0,Recording Morning Burst
09:15:59,26151.85,33,26150,1.08,116.6,92.6,24373,31291,0.5405,-0.4595,WATCHING,0,Recording Morning Burst
09:16:02,26147.6,32,26150,1.09,114.1,94,30462,47389,0.5413,-0.4587,WATCHING,0,Recording Morning Burst
09:16:05,26145.25,31,26150,1.09,113,95.2,30462,47389,0.5413,-0.4587,WATCHING,0,Recording Morning Burst
09:16:08,26143.1,30,26150,1.09,114.1,94.9,30462,47389,0.5413,-0.4587,WATCHING,0,Recording Morning Burst
09:16:11,26144.3,30,26150,1.09,117,92.15,30462,47389,0.5366,-0.4634,WATCHING,0,Recording Morning Burst
09:16:14,26151.8,33,26150,1.09,118.5,92.45,30462,47389,0.5366,-0.4634,WATCHING,0,Recording Morning Burst
09:16:17,26155.25,34,26150,1.09,118.5,92.6,30462,47389,0.5366,-0.4634,WATCHING,0,Recording Morning Burst
09:16:20,26154.55,34,26150,1.09,120.4,91.3,30462,47389,0.5366,-0.4634,WATCHING,0,Recording Morning Burst
09:16:23,26152.9,33,26150,1.09,120.4,90.6,30462,47389,0.5366,-0.4634,WATCHING,0,Recording Morning Burst
09:16:26,26154.95,34,26150,1.09,120.4,90.4,30462,47389,0.5366,-0.4634,WATCHING,0,Recording Morning Burst
09:16:29,26156.95,35,26150,1.09,122.8,88.85,30462,47389,0.5459,-0.4541,WATCHING,0,Recording Morning Burst
09:16:34,26160.4,36,26150,1.09,122.4,88.75,30462,47389,0.5545,-0.4455,WATCHING,0,Recording Morning Burst
09:16:37,26159.0,36,26150,1.09,122.5,88.8,30462,47389,0.5459,-0.4541,WATCHING,0,Recording Morning Burst
09:16:40,26159.2,36,26150,1.09,121.7,88.55,30462,47389,0.5545,-0.4455,WATCHING,0,Recording Morning Burst
09:16:44,26157.6,35,26150,1.09,121.3,89.6,30462,47389,0.5545,-0.4455,WATCHING,0,Recording Morning Burst
