option_type,strike,entry_time,entry_price,entry_spot,entry_fut,exit_time,exit_price,exit_reason,pnl_points,pnl_rupees_gross,transaction_cost,pnl_rupees,hold_minutes,is_winner,peak_price,expiry,exit_slippage,signal_time,entry_delay,capital_after
PE,26100,2025-11-24 09:32:00,70.45,26100.25,26124.3,2025-11-24 09:37:00,79.45,TARGET,9.0,675.0,42.98,632.02,5.0,True,80.8,2025-11-25,-0.5,2025-11-24 09:31:00,60.0,10632.02
CE,26100,2025-11-24 09:51:00,96.75,26105.85,26126.8,2025-11-24 09:53:00,90.15,STOP_LOSS,-6.6,-495.0,43.38,-538.38,2.0,False,96.75,2025-11-25,-1.0,2025-11-24 09:50:00,60.0,10093.640000000001
CE,26100,2025-11-24 10:03:00,95.55,26104.4,26129.6,2025-11-24 10:17:00,96.0,TRAILING_STOP,0.45,33.75,43.6,-9.85,14.0,False,104.65,2025-11-25,-0.75,2025-11-24 10:02:00,60.0,10083.79
PE,26100,2025-11-24 11:00:00,59.7,26107.35,26129.1,2025-11-24 11:05:00,61.55,TRAILING_STOP,1.85,138.75,42.31,96.44,5.0,True,66.1,2025-11-25,-0.75,2025-11-24 10:59:00,60.0,10180.230000000001
CE,26100,2025-11-24 11:27:00,93.35,26110.0,26136.0,2025-11-24 11:40:00,94.85,TRAILING_STOP,1.5,112.5,43.56,68.94,13.0,True,100.4,2025-11-25,-0.75,2025-11-24 11:26:00,60.0,10249.170000000002
PE,26100,2025-11-24 11:48:00,63.3,26097.75,26120.9,2025-11-24 11:54:00,73.85,TARGET,10.55,791.25,42.77,748.48,6.0,True,74.2,2025-11-25,-0.5,2025-11-24 11:47:00,60.0,10997.650000000001
PE,25950,2025-11-25 09:22:00,57.35,25946.65,25949.1,2025-11-25 09:24:00,49.9,STOP_LOSS,-7.45,-558.75,41.87,-600.62,2.0,False,57.35,2025-11-25,-1.0,2025-11-25 09:21:00,60.0,10397.03
CE,25950,2025-11-25 09:27:00,53.3,25953.3,25955.3,2025-11-25 09:33:00,60.65,TARGET,7.35,551.25,42.27,508.98,6.0,True,63.35,2025-11-25,-0.5,2025-11-25 09:26:00,60.0,10906.01
PE,25950,2025-11-25 09:50:00,50.15,25955.3,25955.0,2025-11-25 09:52:00,43.15,STOP_LOSS,-7.0,-525.0,41.62,-566.62,2.0,False,50.15,2025-11-25,-1.0,2025-11-25 09:49:00,60.0,10339.39
PE,26000,2025-11-25 10:47:00,51.15,25986.6,25992.6,2025-11-25 10:56:00,73.5,TARGET,22.35,1676.25,42.76,1633.49,9.0,True,65.6,2025-11-25,-0.5,2025-11-25 10:46:00,60.0,11972.88
