Entry_Time,Exit_Time,Strategy,Timeframe,Symbol,Type,Strike,Entry_Price,Exit_Price,Max_Price,PnL,Gross_PnL,PnL_Pct,Balance,Exit_Reason
10:15:11,10:17:13,VWAP_EMA_Trend,5minute,NIFTY-25550-PE,PE,25550,67.6,65.5,71,-287.49999999999955,-157.49999999999957,-5.6706114398422,0.0,SHUTDOWN
10:25:27,10:27:04,VWAP_EMA_Trend,5minute,NIFTY-25600-PE,PE,25600,81.5,78.75,83.55,-336.25,-206.25,-5.5010224948875255,0.0,SHUTDOWN
10:35:22,10:43:17,VWAP_EMA_Trend,5minute,NIFTY-25550-PE,PE,25550,61.05,60.4,64.95,-178.7499999999999,-48.74999999999989,-3.903903903903901,0.0,AUTO_RESET_1
10:45:08,10:47:42,VWAP_EMA_Trend,5minute,NIFTY-25550-PE,PE,25550,64.4,69.1,73.4,222.49999999999915,352.49999999999915,4.606625258799154,0.0,TRAILING_STOP
