timestamp,open,high,low,close,nifty_ltp,expiry,atm_strike,ce_symbol,pe_symbol,atm_ce_ltp,atm_pe_ltp
11/7/2025 14:13,25472.7,25475.05,25471.65,25473.7,25473.7,11-Nov-25,25450,NSE-NIFTY-11Nov25-25450-CE,NSE-NIFTY-11Nov25-25450-PE,109.8,72.7
11/7/2025 14:14,25474.35,25476.35,25472.6,25474,25474,11-Nov-25,25450,NSE-NIFTY-11Nov25-25450-CE,NSE-NIFTY-11Nov25-25450-PE,111.7,71.55
11/7/2025 14:15,25474.95,25480.4,25469.3,25470.55,25470.55,11-Nov-25,25450,NSE-NIFTY-11Nov25-25450-CE,NSE-NIFTY-11Nov25-25450-PE,109.6,73.4
11/7/2025 14:16,25470.45,25481.8,25470.45,25479.7,25479.7,11-Nov-25,25500,NSE-NIFTY-11Nov25-25500-CE,NSE-NIFTY-11Nov25-25500-PE,85.85,93.5
11/7/2025 14:17,25480.2,25483.45,25473.65,25474.6,25474.6,11-Nov-25,25450,NSE-NIFTY-11Nov25-25450-CE,NSE-NIFTY-11Nov25-25450-PE,111.7,71
11/7/2025 14:18,25474.6,25477.8,25474.1,25476.75,25476.75,11-Nov-25,25500,NSE-NIFTY-11Nov25-25500-CE,NSE-NIFTY-11Nov25-25500-PE,87.65,90.75
11/7/2025 14:19,25476.8,25482.75,25476.6,25482.2,25482.2,11-Nov-25,25500,NSE-NIFTY-11Nov25-25500-CE,NSE-NIFTY-11Nov25-25500-PE,88.95,88.8
11/7/2025 14:20,25482.5,25490.35,25482.5,25489.5,25489.5,11-Nov-25,25500,NSE-NIFTY-11Nov25-25500-CE,NSE-NIFTY-11Nov25-25500-PE,91.3,86.1
11/7/2025 14:21,25489.55,25492.8,25488.4,25490,25490,11-Nov-25,25500,NSE-NIFTY-11Nov25-25500-CE,NSE-NIFTY-11Nov25-25500-PE,90.95,85.9
11/7/2025 14:22,25489.75,25490.7,25487.2,25490.4,25490.4,11-Nov-25,25500,NSE-NIFTY-11Nov25-25500-CE,NSE-NIFTY-11Nov25-25500-PE,92,86
11/7/2025 14:23,25490.55,25513.55,25490.55,25512.5,25512.5,11-Nov-25,25500,NSE-NIFTY-11Nov25-25500-CE,NSE-NIFTY-11Nov25-25500-PE,109.4,73.2
11/7/2025 14:24,25513.15,25518.3,25512.85,25516.2,25516.2,11-Nov-25,25500,NSE-NIFTY-11Nov25-25500-CE,NSE-NIFTY-11Nov25-25500-PE,109.05,72.3
11/7/2025 14:25,25515.9,25520.65,25515.7,25516,25516,11-Nov-25,25500,NSE-NIFTY-11Nov25-25500-CE,NSE-NIFTY-11Nov25-25500-PE,107.4,72.65
11/7/2025 14:26,25516.2,25522.35,25515.3,25521.3,25521.3,11-Nov-25,25500,NSE-NIFTY-11Nov25-25500-CE,NSE-NIFTY-11Nov25-25500-PE,112.15,69.55
11/7/2025 14:27,25522.2,25533.7,25522.2,25533.35,25533.35,11-Nov-25,25550,NSE-NIFTY-11Nov25-25550-CE,NSE-NIFTY-11Nov25-25550-PE,91.25,86.25
11/7/2025 14:28,25533,25536.45,25529.75,25534.75,25534.75,11-Nov-25,25550,NSE-NIFTY-11Nov25-25550-CE,NSE-NIFTY-11Nov25-25550-PE,91.3,86.3
11/7/2025 14:29,25535.4,25536.65,25531.75,25533.2,25533.2,11-Nov-25,25550,NSE-NIFTY-11Nov25-25550-CE,NSE-NIFTY-11Nov25-25550-PE,91,86.05
11/7/2025 14:30,25533.7,25540.5,25530.85,25531.95,25531.95,11-Nov-25,25550,NSE-NIFTY-11Nov25-25550-CE,NSE-NIFTY-11Nov25-25550-PE,88.35,88.15
11/7/2025 14:31,25531.65,25533.55,25527.15,25527.8,25527.8,11-Nov-25,25550,NSE-NIFTY-11Nov25-25550-CE,NSE-NIFTY-11Nov25-25550-PE,86.7,89.35
11/7/2025 14:32,25527.1,25535.2,25526.8,25530.65,25530.65,11-Nov-25,25550,NSE-NIFTY-11Nov25-25550-CE,NSE-NIFTY-11Nov25-25550-PE,89.4,87.65
11/7/2025 14:33,25530.7,25534.1,25524.15,25524.8,25524.8,11-Nov-25,25500,NSE-NIFTY-11Nov25-25500-CE,NSE-NIFTY-11Nov25-25500-PE,113.45,68.3
